ID, Distance
2, 0.265992
2, 0.515849
3, 0.752609
4, 0.970148
6, 1.162839
6, 1.325699
7, 1.454514
8, 1.545953
10, 1.597650
10, 1.608269
11, 1.577535
14, 1.396236
12, 1.506243
14, 1.250360
16, 0.866926
15, 1.072389
18, 0.639284
18, 0.395353
19, 0.141441
22, -0.369964
20, -0.115883
23, -0.842363
22, -0.614230
24, -1.048462
26, -1.373942
27, -1.484905
26, -1.227196
28, -1.557213
30, -1.588998
30, -1.579436
31, -1.528776
32, -1.438327
34, -1.310429
34, -1.148390
35, -0.956402
0, -0.739429
38, -0.503086
2, -0.253484
3, 0.002921
0, 0.009500
2, 0.265992
2, 0.515849
3, 0.752609
4, 0.977659
6, 1.160489
6, 1.318170
7, 1.449881
10, 1.606338
16, 0.866926
18, 0.395353
8, 1.541055
14, 1.389885
11, 1.573214
14, 1.243465
12, 1.503364
10, 1.595160
19, 0.141441
15, 1.079900
22, -0.369964
20, -0.115883
18, 0.639284
22, -0.614230
23, -0.842363
24, -1.055991
26, -1.367381
26, -1.220617
27, -1.481955
28, -1.552874
30, -1.587057
30, -1.576993
32, -1.433756
34, -1.302918
31, -1.523917
34, -1.146123
35, -0.963931
0, -0.739429
38, -0.503086
2, -0.253484
3, 0.002921
0, 0.009500
2, 0.265992
2, 0.515849
3, 0.752609
4, 0.984978
6, 1.155968
6, 1.307385
7, 1.440985
8, 1.531564
10, 1.590298
10, 1.602578
12, 1.497738
11, 1.564831
14, 1.380705
14, 1.230354
15, 1.086901
16, 0.866926
18, 0.639284
18, 0.395353
19, 0.141441
22, -0.369964
20, -0.115883
22, -0.614230
23, -0.842363
24, -1.062966
26, -1.214992
26, -1.358038
27, -1.476186
34, -1.292118
28, -1.544437
31, -1.514479
32, -1.424959
30, -1.572219
30, -1.583277
34, -1.141753
35, -0.971217
0, -0.739429
38, -0.503086
2, -0.253484
3, 0.002921
0, 0.009500
2, 0.265992
2, 0.515849
3, 0.752609
4, 0.988645
6, 1.153346
7, 1.432252
6, 1.296604
8, 1.521861
10, 1.584098
10, 1.598042
11, 1.555305
12, 1.489806
14, 1.370131
14, 1.224853
15, 1.091755
16, 0.866926
18, 0.639284
18, 0.395353
19, 0.141441
20, -0.115883
22, -0.369964
22, -0.614230
23, -0.842363
24, -1.067816
26, -1.207761
26, -1.347375
27, -1.468029
28, -1.534892
30, -1.578695
30, -1.566132
31, -1.504830
32, -1.416215
34, -1.281334
34, -1.139415
35, -0.974899
0, -0.739429
38, -0.503086
2, -0.253484
3, 0.002921
0, 0.009500
2, 0.265992
2, 0.515849
3, 0.752609
4, 0.986843
6, 1.151057
6, 1.286989
7, 1.422445
8, 1.512156
10, 1.576724
10, 1.592966
11, 1.547758
12, 1.480100
14, 1.360488
15, 1.090837
14, 1.219267
16, 0.866926
18, 0.395353
18, 0.639284
20, -0.115883
19, 0.141441
22, -0.369964
22, -0.614230
23, -0.842363
24, -1.069010
26, -1.198111
26, -1.339455
27, -1.458418
30, -1.573261
28, -1.525234
30, -1.558892
32, -1.406409
31, -1.495166
34, -1.271719
35, -0.973561
34, -1.131867
0, -0.739429
38, -0.503086
2, -0.253484
3, 0.002921
0, 0.009500
2, 0.265992
2, 0.515849
3, 0.752609
4, 0.977057
6, 1.143053
6, 1.277960
7, 1.412578
8, 1.502459
10, 1.568213
10, 1.586705
11, 1.539011
12, 1.470360
14, 1.350865
14, 1.220686
15, 1.079665
16, 0.874427
18, 0.639284
18, 0.395353
19, 0.141441
20, -0.115883
22, -0.369964
22, -0.614230
23, -0.842363
24, -1.058768
26, -1.195461
26, -1.330205
27, -1.448732
28, -1.516938
30, -1.567266
30, -1.550534
31, -1.485491
32, -1.396545
34, -1.262617
34, -1.119596
35, -0.963079
0, -0.739429
2, -0.253484
38, -0.503086
3, 0.002921
0, 0.009500
2, 0.265992
2, 0.515849
3, 0.752609
4, 0.968448
6, 1.132540
6, 1.273385
7, 1.402699
8, 1.493079
10, 1.558832
10, 1.579853
11, 1.528905
12, 1.460605
14, 1.341259
14, 1.219998
15, 1.068213
16, 0.885229
18, 0.639284
18, 0.395353
19, 0.141441
20, -0.115883
22, -0.369964
23, -0.842363
22, -0.614230
24, -1.048354
26, -1.194232
26, -1.320169
27, -1.439021
28, -1.507891
30, -1.560145
30, -1.541308
32, -1.386668
31, -1.475813
34, -1.256057
34, -1.111277
35, -0.952369
0, -0.739429
38, -0.503086
2, -0.253484
3, 0.002921
0, 0.009500
2, 0.265992
2, 0.515849
3, 0.752609
6, 1.122050
4, 0.958624
6, 1.268534
7, 1.393093
8, 1.484128
10, 1.550853
10, 1.570173
11, 1.519647
12, 1.450860
14, 1.332544
14, 1.213409
15, 1.059432
16, 0.895991
18, 0.639284
18, 0.395353
19, 0.141441
20, -0.115883
22, -0.369964
22, -0.614230
23, -0.842363
24, -1.038354
26, -1.190790
26, -1.311649
27, -1.429299
28, -1.497683
30, -1.552458
30, -1.531654
31, -1.466138
34, -1.249613
32, -1.377060
34, -1.101975
35, -0.942256
0, -0.739429
38, -0.503086
2, -0.253484
3, 0.002921
0, 0.009500
2, 0.265992
2, 0.515849
4, 0.948739
3, 0.752609
6, 1.262635
7, 1.383516
6, 1.112451
8, 1.476690
10, 1.541886
10, 1.561110
11, 1.509820
12, 1.441240
14, 1.327773
14, 1.203947
15, 1.049668
16, 0.895324
18, 0.639284
18, 0.395353
19, 0.141441
22, -0.369964
20, -0.115883
22, -0.614230
23, -0.849881
24, -1.028843
26, -1.181639
26, -1.305093
27, -1.419585
30, -1.542775
28, -1.488164
30, -1.523317
31, -1.456474
32, -1.367483
34, -1.243148
34, -1.091616
35, -0.932832
0, -0.739429
38, -0.503086
2, -0.253484
3, 0.002921
0, 0.009500
2, 0.265992
2, 0.515849
3, 0.760108
4, 0.938839
6, 1.102886
6, 1.252989
7, 1.373955
8, 1.467554
10, 1.531893
10, 1.552533
11, 1.499960
12, 1.431646
14, 1.322470
14, 1.194241
15, 1.039856
16, 0.890334
18, 0.639284
18, 0.395353
19, 0.141441
20, -0.115883
22, -0.369964
22, -0.614230
23, -0.856916
24, -1.019363
26, -1.171978
26, -1.298878
27, -1.409916
28, -1.478679
30, -1.533096
30, -1.514252
31, -1.446823
32, -1.357920
34, -1.234105
34, -1.082065
35, -0.923451
0, -0.746947
38, -0.503086
2, -0.253484
3, 0.002921
0, 0.009500
2, 0.265992
4, 0.929239
3, 0.766013
2, 0.515849
6, 1.093338
6, 1.243319
7, 1.364390
8, 1.457417
10, 1.522549
10, 1.542740
11, 1.490219
14, 1.184506
