ID, Distance
4, 1.000168
2, 0.531672
6, 1.366830
15, 1.105604
16, 0.893720
7, 1.499671
10, 1.647280
10, 1.658231
8, 1.593967
18, 0.658965
11, 1.626536
14, 1.289137
14, 1.439571
18, 0.407411
6, 1.198881
20, -0.119801
12, 1.553016
19, 0.145564
22, -0.381823
22, -0.633722
26, -1.265843
24, -1.081524
27, -1.531605
23, -0.868984
26, -1.417175
28, -1.606173
30, -1.629091
30, -1.638951
31, -1.576847
32, -1.483571
35, -0.986586
38, -0.519104
0, -0.762833
34, -1.351677
2, -0.261702
3, 0.002715
34, -1.184574
2, 0.272199
2, 0.531672
6, 1.191352
3, 0.775831
6, 1.366106
7, 1.499274
8, 1.593568
11, 1.626192
10, 1.639751
10, 1.658198
12, 1.552770
14, 1.432042
14, 1.286851
19, 0.145564
20, -0.119801
18, 0.407411
22, -0.633722
22, -0.379309
23, -0.868984
24, -1.083816
26, -1.417951
27, -1.531353
28, -1.605827
30, -1.631440
26, -1.258332
30, -1.628901
32, -1.483181
34, -1.184368
34, -1.344166
35, -0.989019
0, -0.762833
38, -0.515691
2, -0.261702
0, 0.009500
4, 1.002607
15, 1.107889
16, 0.893720
18, 0.654628
31, -1.576451
3, 0.002715
0, 0.009500
2, 0.268687
2, 0.531298
3, 0.775368
4, 1.002128
10, 1.628966
12, 1.546398
7, 1.495155
6, 1.180567
10, 1.648522
6, 1.361118
8, 1.583879
14, 1.421257
11, 1.620737
14, 1.281288
15, 1.108296
16, 0.892959
18, 0.649947
18, 0.406887
20, -0.119582
22, -0.374421
19, 0.145547
22, -0.633319
24, -1.082959
23, -0.868523
26, -1.247533
26, -1.416640
28, -1.596147
27, -1.527274
30, -1.619254
31, -1.572141
32, -1.480867
34, -1.183468
0, -0.762813
38, -0.509050
2, -0.261694
3, 0.002715
35, -0.990345
34, -1.333366
30, -1.620641
2, 0.529910
3, 0.773601
2, 0.264811
0, 0.009500
4, 0.996699
7, 1.487305
15, 1.104982
14, 1.410476
18, 0.644736
6, 1.169786
10, 1.638801
19, 0.145235
8, 1.574144
11, 1.611065
16, 0.893277
18, 0.404960
22, -0.369013
20, -0.118741
12, 1.536736
14, 1.271517
6, 1.352355
10, 1.618185
23, -0.869681
22, -0.631836
24, -1.077022
26, -1.236748
26, -1.408575
27, -1.519339
28, -1.586425
30, -1.609856
30, -1.609567
31, -1.563913
32, -1.476265
35, -0.990028
0, -0.762425
38, -0.501365
2, -0.261612
3, 0.002715
34, -1.322581
34, -1.181991
0, 0.009500
2, 0.260164
2, 0.527693
4, 0.987732
6, 1.342653
14, 1.261692
10, 1.629058
10, 1.608571
14, 1.400862
7, 1.477633
3, 0.770701
15, 1.101434
6, 1.160172
8, 1.564387
12, 1.527048
11, 1.601363
16, 0.893981
19, 0.144789
18, 0.401896
20, -0.117376
18, 0.640444
22, -0.362522
22, -0.629482
23, -0.871684
24, -1.067222
26, -1.398862
28, -1.576681
27, -1.509677
30, -1.600242
30, -1.599864
32, -1.469234
31, -1.554238
34, -1.312967
34, -1.178966
35, -0.989448
0, -0.761777
2, -0.261364
38, -0.492674
26, -1.227134
3, 0.002715
0, 0.009500
3, 0.766567
2, 0.524622
2, 0.255083
4, 0.978053
6, 1.150586
6, 1.332920
7, 1.467936
8, 1.554630
14, 1.391276
18, 0.636171
20, -0.115465
14, 1.251848
19, 0.144026
10, 1.619314
11, 1.591644
12, 1.517344
18, 0.397669
16, 0.893528
10, 1.598985
15, 1.093627
22, -0.355432
22, -0.626239
23, -0.873080
24, -1.057361
26, -1.217547
26, -1.389116
30, -1.590655
31, -1.544538
34, -1.174684
35, -0.987223
0, -0.760832
28, -1.566935
34, -1.303381
32, -1.459639
30, -1.590154
27, -1.499994
38, -0.483111
2, -0.261043
3, 0.002715
0, 0.009500
2, 0.249729
2, 0.520698
10, 1.589415
4, 0.968349
10, 1.609633
11, 1.581920
7, 1.458223
6, 1.323174
3, 0.761142
8, 1.544997
6, 1.141017
14, 1.381707
12, 1.507634
14, 1.242214
15, 1.084824
16, 0.893034
18, 0.631558
18, 0.392292
19, 0.143045
20, -0.113003
22, -0.347968
22, -0.622116
26, -1.207978
26, -1.379354
27, -1.490295
30, -1.581086
30, -1.580452
31, -1.534824
32, -1.449976
35, -0.984695
28, -1.557254
34, -1.169029
24, -1.047482
23, -0.874385
34, -1.293812
0, -0.759671
38, -0.473458
2, -0.260547
3, 0.002715
0, 0.009500
2, 0.515963
3, 0.754431
6, 1.131449
8, 1.535386
16, 0.891958
10, 1.579848
15, 1.074962
18, 0.626919
2, 0.244183
12, 1.497934
14, 1.232603
18, 0.385848
10, 1.600024
7, 1.448511
11, 1.572241
6, 1.313436
14, 1.372139
4, 0.958632
20, -0.110202
22, -0.617166
22, -0.340237
23, -0.874444
19, 0.141842
24, -1.037865
26, -1.198410
27, -1.480594
26, -1.369655
28, -1.547646
30, -1.571518
30, -1.570789
31, -1.525111
32, -1.440294
34, -1.284244
34, -1.162134
35, -0.981177
0, -0.757995
38, -0.463789
2, -0.259925
3, 0.002715
2, 0.510478
0, 0.009500
3, 0.746470
2, 0.238527
4, 0.948918
