ID, Distance
2, 0.274007
2, 0.531672
4, 1.000168
3, 0.775831
6, 1.198881
7, 1.499671
6, 1.366830
8, 1.593967
10, 1.658231
10, 1.647280
12, 1.553016
11, 1.626536
14, 1.439571
14, 1.289137
16, 0.893720
18, 0.658965
15, 1.105604
18, 0.407411
19, 0.145564
22, -0.381823
20, -0.119801
22, -0.633722
23, -0.868984
24, -1.081524
26, -1.265843
26, -1.417175
27, -1.531605
28, -1.606173
30, -1.638951
30, -1.629091
31, -1.576847
32, -1.483571
34, -1.351677
34, -1.184574
35, -0.986586
0, -0.762833
2, -0.261702
38, -0.519104
3, 0.002715
2, 0.272199
0, 0.009500
2, 0.531672
3, 0.775831
12, 1.552770
6, 1.191352
10, 1.658198
11, 1.626192
4, 1.002607
10, 1.639751
7, 1.499274
6, 1.366106
8, 1.593568
15, 1.107889
14, 1.432042
14, 1.286851
16, 0.893720
18, 0.654628
18, 0.407411
19, 0.145564
20, -0.119801
22, -0.374312
22, -0.633722
23, -0.868984
24, -1.083816
26, -1.258332
26, -1.417951
27, -1.531353
30, -1.631440
28, -1.605827
30, -1.628901
31, -1.576451
34, -1.344166
32, -1.483181
34, -1.184368
35, -0.989019
0, -0.762833
38, -0.515691
2, -0.261702
3, 0.002715
0, 0.009500
2, 0.268687
2, 0.529869
3, 0.774028
6, 1.356338
7, 1.489585
10, 1.628966
12, 1.543112
14, 1.421257
11, 1.616513
15, 1.104807
4, 0.999880
10, 1.648522
6, 1.180567
14, 1.276977
8, 1.583879
18, 0.649947
18, 0.403079
16, 0.889388
19, 0.141232
20, -0.117293
22, -0.631214
22, -0.363512
34, -1.174718
26, -1.411223
32, -1.473492
0, -0.759425
2, -0.258294
23, -0.866476
27, -1.521693
30, -1.620641
26, -1.247533
34, -1.333366
30, -1.619254
3, 0.002715
24, -1.080771
38, -0.509050
31, -1.566762
28, -1.596147
35, -0.986323
2, 0.264811
2, 0.526366
3, 0.772173
4, 0.989760
6, 1.169786
6, 1.346508
7, 1.479851
0, 0.009500
8, 1.574144
10, 1.618185
10, 1.638801
11, 1.606791
12, 1.533413
14, 1.410476
14, 1.267017
15, 1.094105
18, 0.644736
16, 0.880995
18, 0.394666
19, 0.133037
20, -0.116300
22, -0.352727
23, -0.863078
22, -0.626340
24, -1.070053
26, -1.236748
27, -1.511993
26, -1.400454
28, -1.586425
30, -1.609567
30, -1.609856
31, -1.557028
32, -1.463760
34, -1.165028
34, -1.322581
35, -0.975598
0, -0.756262
38, -0.501365
2, -0.251662
3, 0.002715
0, 0.009500
2, 0.260164
2, 0.522491
3, 0.770718
4, 0.979271
6, 1.160172
6, 1.336654
7, 1.470095
8, 1.564387
10, 1.608571
10, 1.629058
11, 1.597048
12, 1.523695
14, 1.400862
14, 1.257038
15, 1.083111
16, 0.871796
18, 0.384975
18, 0.640444
19, 0.126757
20, -0.117072
22, -0.343113
22, -0.621010
23, -0.859075
24, -1.059050
26, -1.227134
27, -1.502273
26, -1.389729
28, -1.576681
30, -1.599864
30, -1.600242
31, -1.547272
32, -1.454004
34, -1.312967
34, -1.155320
35, -0.964587
0, -0.754124
38, -0.492674
2, -0.243971
3, 0.002715
0, 0.009500
2, 0.255083
2, 0.517837
7, 1.460338
3, 0.768218
6, 1.326926
6, 1.150586
4, 0.968668
8, 1.554630
10, 1.598985
10, 1.619314
12, 1.513972
14, 1.247459
14, 1.391276
15, 1.073106
11, 1.587303
16, 0.862002
18, 0.636171
18, 0.375256
22, -0.614727
22, -0.333527
23, -0.854883
26, -1.217547
19, 0.119041
20, -0.117899
27, -1.492549
24, -1.049046
26, -1.380190
28, -1.566935
30, -1.590655
32, -1.444249
30, -1.590154
34, -1.303381
31, -1.537515
35, -0.954580
34, -1.145607
38, -0.483111
0, -0.751233
2, -0.235276
3, 0.002715
0, 0.009500
2, 0.249729
2, 0.512752
3, 0.766344
4, 0.959173
6, 1.141017
12, 1.504262
8, 1.544997
6, 1.317345
7, 1.450705
10, 1.609633
11, 1.577622
10, 1.589415
14, 1.381707
14, 1.237918
15, 1.064170
16, 0.852153
18, 0.365522
18, 0.631558
22, -0.323958
22, -0.607911
20, -0.120427
19, 0.109773
23, -0.850335
24, -1.040111
38, -0.473458
26, -1.370698
34, -1.293812
35, -0.945649
30, -1.581086
32, -1.434615
27, -1.482838
31, -1.527882
0, -0.748673
28, -1.557254
26, -1.207978
34, -1.135902
30, -1.580452
2, -0.225711
3, 0.002715
0, 0.009500
2, 0.244183
2, 0.507397
6, 1.131449
3, 0.764481
4, 0.949738
6, 1.307787
7, 1.441094
8, 1.535386
10, 1.579848
11, 1.568014
10, 1.600024
12, 1.494634
14, 1.372139
14, 1.228391
15, 1.054394
16, 0.842293
18, 0.626919
18, 0.355794
19, 0.100290
20, -0.125356
22, -0.314390
22, -0.600786
23, -0.845653
24, -1.030334
26, -1.361223
26, -1.198410
27, -1.473211
28, -1.547646
30, -1.571518
30, -1.570789
31, -1.518271
32, -1.425003
34, -1.284244
34, -1.126265
35, -0.935870
38, -0.463789
0, -0.746078
3, 0.002715
2, -0.216057
0, 0.009500
2, 0.238527
2, 0.501849
3, 0.762066
4, 0.940320
6, 1.121798
6, 1.298235
7, 1.431498
8, 1.525791
10, 1.570197
10, 1.590435
11, 1.558426
12, 1.485029
14, 1.362488
15, 1.044569
14, 1.218797
16, 0.832682
18, 0.622271
19, 0.090612
20, -0.132483
22, -0.593457
22, -0.304740
18, 0.346159
23, -0.840853
24, -1.020509
26, -1.188760
26, -1.351566
27, -1.463609
28, -1.538060
30, -1.561868
30, -1.561170
31, -1.508675
32, -1.415406
34, -1.274594
34, -1.116650
35, -0.926043
0, -0.743456
38, -0.454110
2, -0.206387
3, 0.002715
0, 0.009500
2, 0.232833
2, 0.496193
4, 0.930637
3, 0.759497
7, 1.421907
6, 1.112133
8, 1.516200
6, 1.288624
10, 1.560532
10, 1.580856
11, 1.548848
12, 1.475440
14, 1.352823
14, 1.209124
15, 1.034733
16, 0.823099
18, 0.617705
18, 0.336546
19, 0.080911
20, -0.140374
22, -0.295074
22, -0.586037
23, -0.836016
24, -1.010673
26, -1.179095
26, -1.341893
27, -1.454021
30, -1.552203
28, -1.528481
30, -1.551570
31, -1.499084
32, -1.405814
34, -1.264928
34, -1.107049
35, -0.916205
0, -0.740812
38, -0.444429
2, -0.196707
3, 0.002715
0, 0.009500
2, 0.227107
2, 0.490499
3, 0.756805
4, 0.920930
6, 1.102456
6, 1.278946
7, 1.412308
8, 1.506602
10, 1.550855
10, 1.571270
11, 1.539262
12, 1.465853
14, 1.343146
14, 1.199435
15, 1.025107
16, 0.813532
18, 0.613293
18, 0.326948
19, 0.071201
20, -0.149629
22, -0.285397
22, -0.578598
23, -0.831161
24, -1.001046
26, -1.169417
26, -1.332208
27, -1.444436
28, -1.518897
30, -1.542525
30, -1.541979
31, -1.489485
32, -1.396215
34, -1.097453
34, -1.255251
35, -0.906580
2, -0.187024
38, -0.434751
3, 0.002715
0, -0.738149
0, 0.009500
2, 0.221370
3, 0.754013
2, 0.484773
4, 0.911211
7, 1.402653
15, 1.015504
24, -0.991443
18, 0.317353
26, -1.159734
16, 0.803962
10, 1.561613
18, 0.608956
22, -0.275713
23, -0.826300
6, 1.269252
8, 1.496946
12, 1.456233
11, 1.529604
26, -1.322520
20, -0.158924
10, 1.541171
30, -1.532842
6, 1.092772
22, -0.571151
30, -1.532385
19, 0.061493
14, 1.189738
31, -1.479830
14, 1.333462
32, -1.386561
34, -1.245567
34, -1.087850
35, -0.896978
0, -0.735460
38, -0.425083
2, -0.177346
3, 0.002715
27, -1.434815
28, -1.509238
3, 0.751179
0, 0.009500
2, 0.479035
2, 0.215635
4, 0.901495
6, 1.259550
6, 1.083092
8, 1.487273
7, 1.392980
10, 1.531490
12, 1.446573
14, 1.323782
10, 1.551937
14, 1.180045
15, 1.005913
16, 0.794306
11, 1.519927
18, 0.604303
18, 0.307751
19, 0.051821
20, -0.167805
22, -0.266033
22, -0.563713
34, -1.235887
32, -1.376889
26, -1.312835
27, -1.425154
