ID, Distance
2, 0.265992
2, 0.515849
3, 0.752609
4, 0.970148
6, 1.162839
7, 1.454514
8, 1.545953
10, 1.597650
10, 1.608269
11, 1.577535
12, 1.506243
6, 1.325699
14, 1.396236
14, 1.250360
15, 1.072389
16, 0.866926
19, 0.141441
18, 0.395353
20, -0.115883
22, -0.369964
23, -0.842363
22, -0.614230
24, -1.048462
26, -1.227196
26, -1.373942
27, -1.484905
28, -1.557213
30, -1.588998
18, 0.639284
30, -1.579436
31, -1.528776
34, -1.310429
34, -1.148390
35, -0.956402
0, -0.739429
2, -0.253484
38, -0.503086
3, 0.002921
32, -1.438327
0, 0.009500
2, 0.264236
2, 0.515849
3, 0.752609
4, 0.977659
6, 1.321006
6, 1.155310
7, 1.452195
12, 1.504798
8, 1.543502
10, 1.607493
10, 1.590121
11, 1.575371
14, 1.388707
14, 1.246917
15, 1.079900
16, 0.866926
18, 0.635077
18, 0.395353
19, 0.141441
22, -0.614230
26, -1.219685
26, -1.370662
20, -0.115883
22, -0.367529
24, -1.055991
23, -0.842363
27, -1.483424
28, -1.555039
30, -1.581487
30, -1.578208
31, -1.526342
32, -1.436037
34, -1.302918
34, -1.147250
35, -0.963931
0, -0.739429
2, -0.253484
3, 0.002921
38, -0.499778
0, 0.009500
2, 0.260827
2, 0.514098
3, 0.750858
4, 0.978433
6, 1.144525
6, 1.310806
7, 1.442315
8, 1.533605
10, 1.579336
10, 1.597711
11, 1.565513
12, 1.495037
14, 1.377922
14, 1.236886
15, 1.080018
16, 0.862723
18, 0.636264
18, 0.391150
19, 0.137239
20, -0.113453
22, -0.362792
22, -0.611800
23, -0.839933
24, -1.056539
26, -1.208886
26, -1.360650
27, -1.473658
28, -1.545178
30, -1.570687
30, -1.568477
31, -1.516446
32, -1.426160
34, -1.292118
34, -1.137530
35, -0.964348
0, -0.736126
38, -0.493342
2, -0.250181
3, 0.002921
0, 0.009500
2, 0.257065
2, 0.510698
3, 0.755321
4, 0.966104
6, 1.133744
6, 1.300444
7, 1.432350
8, 1.523617
10, 1.568555
10, 1.587865
11, 1.555574
12, 1.485219
14, 1.367141
14, 1.226733
15, 1.072806
16, 0.863909
18, 0.637264
18, 0.382989
19, 0.129077
20, -0.108725
22, -0.357553
23, -0.842742
22, -0.614609
24, -1.043753
26, -1.198101
26, -1.350522
27, -1.463833
28, -1.535236
30, -1.559903
31, -1.506461
30, -1.558694
32, -1.416199
34, -1.281334
35, -0.951327
34, -1.127763
0, -0.737665
38, -0.485895
2, -0.243754
3, 0.002921
0, 0.009500
2, 0.252554
3, 0.759195
2, 0.506936
4, 0.957009
6, 1.290469
7, 1.422365
6, 1.124130
8, 1.513611
10, 1.577994
10, 1.558941
11, 1.545615
12, 1.475379
14, 1.357526
14, 1.216838
15, 1.067658
16, 0.865125
18, 0.632416
18, 0.373431
19, 0.119520
20, -0.103255
22, -0.351264
22, -0.616363
23, -0.844713
24, -1.034524
26, -1.188487
26, -1.340638
27, -1.453987
28, -1.525275
30, -1.550289
30, -1.548890
31, -1.496457
32, -1.406219
34, -1.271719
34, -1.117973
35, -0.942126
0, -0.738939
38, -0.477472
2, -0.236301
3, 0.002921
0, 0.009500
2, 0.247622
2, 0.502419
4, 0.947103
3, 0.758438
6, 1.114544
6, 1.280951
7, 1.412790
8, 1.504045
10, 1.549355
10, 1.568358
11, 1.536027
12, 1.465656
14, 1.347940
14, 1.207255
15, 1.058760
16, 0.861108
18, 0.625124
18, 0.363756
19, 0.109845
20, -0.097064
22, -0.344395
22, -0.614171
23, -0.843644
24, -1.024570
26, -1.178901
27, -1.444264
26, -1.331046
28, -1.515688
30, -1.540702
30, -1.539172
31, -1.486890
32, -1.396641
34, -1.262133
34, -1.108257
35, -0.932161
0, -0.736143
38, -0.468205
2, -0.227875
3, 0.002921
0, 0.009500
2, 0.242426
2, 0.497484
3, 0.755161
4, 0.937149
6, 1.104975
6, 1.271465
7, 1.403251
8, 1.494520
10, 1.539786
10, 1.558743
11, 1.526473
12, 1.456069
14, 1.338371
14, 1.197695
15, 1.049596
16, 0.855224
18, 0.613091
18, 0.354059
19, 0.100147
20, -0.090248
22, -0.337163
22, -0.609913
23, -0.836250
24, -1.015020
26, -1.321477
26, -1.169331
27, -1.434681
31, -1.477363
28, -1.506135
30, -1.531133
30, -1.529557
32, -1.387099
34, -1.252564
34, -1.098631
35, -0.922662
0, -0.731196
38, -0.458554
2, -0.218606
3, 0.002921
0, 0.009500
2, 0.237042
2, 0.492286
3, 0.746722
4, 0.927506
6, 1.095407
6, 1.261898
7, 1.393728
8, 1.485011
10, 1.530218
10, 1.549143
11, 1.516934
12, 1.446506
14, 1.328803
14, 1.188142
15, 1.040260
16, 0.844617
18, 0.604629
18, 0.344350
19, 0.090438
20, -0.081235
22, -0.329672
22, -0.602025
24, -1.005498
23, -0.826618
26, -1.159764
26, -1.311916
27, -1.425123
28, -1.496597
30, -1.521565
30, -1.519963
31, -1.467852
32, -1.377574
34, -1.089024
34, -1.242996
35, -0.913197
0, -0.721130
38, -0.448886
2, -0.208953
3, 0.002921
0, 0.009500
2, 0.231551
2, 0.486901
3, 0.736995
4, 0.917882
6, 1.085756
6, 1.252234
7, 1.384135
10, 1.520567
8, 1.475419
10, 1.539550
11, 1.507338
12, 1.436949
14, 1.319153
14, 1.178532
15, 1.030813
16, 0.834974
18, 0.595494
18, 0.334644
19, 0.080733
20, -0.070266
22, -0.322035
23, -0.816902
22, -0.592660
24, -0.995978
26, -1.150113
26, -1.302306
27, -1.415571
28, -1.487001
30, -1.511915
30, -1.510378
31, -1.458260
32, -1.367979
34, -1.233346
34, -1.079427
35, -0.903636
0, -0.711023
38, -0.439208
2, -0.199284
3, 0.002921
2, 0.226024
0, 0.009500
2, 0.481409
3, 0.727230
4, 0.908274
12, 1.427338
6, 1.076091
10, 1.510902
10, 1.529951
7, 1.374459
8, 1.465733
6, 1.242557
11, 1.497674
14, 1.309488
14, 1.168858
15, 1.021295
16, 0.825349
18, 0.585584
18, 0.324955
19, 0.071044
20, -0.061290
22, -0.314326
22, -0.582993
24, -0.986311
23, -0.807154
26, -1.140448
26, -1.292640
27, -1.405960
28, -1.477336
30, -1.502250
30, -1.500790
31, -1.448576
32, -1.358306
34, -1.223680
34, -1.069832
35, -0.893963
0, -0.701455
38, -0.429527
2, -0.189605
3, 0.002921
0, 0.009500
2, 0.220466
7, 1.364767
2, 0.475882
4, 0.898674
6, 1.066414
3, 0.717452
6, 1.232871
8, 1.456031
10, 1.501225
10, 1.520301
11, 1.487995
14, 1.299810
