ID, Distance
, 1.366830
5, 1.198881
8, 1.593967
7, 1.499671
3, 0.775831
10, 1.647280
3, 1.439571
1, 1.626536
4, 1.289137
2, 1.553016
0, 1.658231
5, 1.105604
7, 0.658965
6, 0.893720
8, 0.407411
-1, 0.145564
20, -0.119801
21, -0.381823
23, -0.868984
24, -1.081524
25, -1.265843
27, -1.531605
28, -1.606173
30, -1.638951
20, -1.629091
21, -1.576847
22, -0.633722
23, -1.351677
24, -1.184574
25, -0.986586
27, -0.519104
26, -0.762833
28, -0.261702
19, 0.002715
26, -1.417175
22, -1.483571
0, 0.009500
1, 0.272199
2, 0.528172
3, 0.770724
5, 1.102893
4, 1.281608
5, 1.191352
6, 1.359301
1, 1.619007
6, 0.887831
10, 1.639751
20, -0.119170
2, 1.545487
3, 1.432042
-1, 0.144792
7, 1.492142
8, 0.404727
7, 0.654628
0, 1.650702
4, 0.998456
8, 1.586438
21, -0.379309
22, -0.629557
23, -0.863273
24, -1.078985
25, -1.258332
26, -1.409779
27, -1.524094
28, -1.598662
21, -1.569336
20, -1.621580
22, -1.476060
23, -1.344166
24, -1.177063
25, -0.984949
26, -0.757820
27, -0.515691
28, -0.259976
19, 0.002715
30, -1.631440
2, 0.528163
1, 0.268687
0, 0.009500
3, 0.767370
4, 0.995138
8, 1.575653
2, 1.534702
10, 1.628966
7, 1.481356
1, 1.608222
5, 1.180567
0, 1.639917
6, 1.348516
3, 1.421257
4, 1.270823
5, 1.097635
7, 0.652897
6, 0.882807
21, -0.374421
20, -0.117695
-1, 0.142996
23, -0.858539
22, -0.628124
8, 0.399515
25, -1.247533
24, -1.074055
26, -1.399030
28, -1.587863
27, -1.513294
30, -1.620641
20, -1.610780
21, -1.558536
22, -1.465261
24, -1.166264
23, -1.333366
26, -0.754592
25, -0.981775
27, -0.515811
28, -0.256620
19, 0.002715
0, 0.009500
1, 0.264811
2, 0.531628
3, 0.766544
4, 0.991326
1, 1.597441
5, 1.169786
7, 1.470575
8, 1.564872
10, 1.618185
0, 1.629136
6, 1.337735
2, 1.523921
3, 1.410476
4, 1.260042
5, 1.091735
6, 0.879815
7, 0.654163
8, 0.393743
-1, 0.140752
20, -0.115851
21, -0.369013
22, -0.629754
23, -0.855912
24, -1.068516
25, -1.236748
26, -1.388292
27, -1.502510
28, -1.577078
30, -1.609856
20, -1.599995
21, -1.547752
22, -1.454476
23, -1.322581
24, -1.155479
25, -0.978122
26, -0.753915
28, -0.252919
27, -0.519421
19, 0.002715
0, 0.009500
1, 0.260164
2, 0.536892
4, 0.986455
3, 0.765284
6, 1.328121
5, 1.160172
7, 1.460961
10, 1.608571
8, 1.555258
0, 1.619522
-1, 0.138263
7, 0.655438
1, 1.587827
6, 0.875867
20, -0.113804
3, 1.400862
8, 0.386814
2, 1.514306
5, 1.084499
21, -0.362522
4, 1.250428
22, -0.631477
23, -0.852403
24, -1.061696
25, -1.227134
27, -1.492895
26, -1.378649
30, -1.600242
21, -1.538138
28, -1.567464
22, -1.444862
20, -1.590381
23, -1.312967
24, -1.145865
25, -0.973436
26, -0.752836
27, -0.524863
28, -0.248482
19, 0.002715
0, 0.009500
1, 0.255083
2, 0.542259
4, 1.240842
20, -0.111573
-1, 0.135551
21, -0.355432
8, 1.545672
6, 0.872452
3, 0.765663
5, 1.150586
10, 1.598985
7, 1.451375
7, 0.659592
0, 1.609935
1, 1.578241
4, 0.980897
8, 0.379248
2, 1.504720
6, 1.318535
5, 1.076473
3, 1.391276
22, -0.636091
23, -0.850239
24, -1.054111
25, -1.217547
26, -1.369027
27, -1.483309
28, -1.557878
21, -1.528551
28, -0.243630
23, -1.303381
30, -1.590655
27, -0.530429
22, -1.435276
19, 0.002715
25, -0.968081
26, -0.753406
24, -1.136278
20, -1.580795
2, 0.549145
0, 0.009500
1, 0.249729
3, 0.765974
4, 0.974849
6, 1.308965
7, 1.441806
5, 1.141017
8, 1.536102
10, 1.589415
0, 1.600366
1, 1.568672
2, 1.495151
3, 1.381707
4, 1.231272
6, 0.869876
5, 1.067939
7, 0.661755
8, 0.371283
20, -0.109227
23, -0.846884
22, -0.638830
-1, 0.132700
21, -0.347968
24, -1.046029
26, -1.359421
25, -1.207978
27, -1.473740
30, -1.581086
28, -1.548308
21, -1.518982
20, -1.571226
23, -1.293812
22, -1.425707
24, -1.126709
25, -0.962243
27, -0.537528
26, -0.753922
19, 0.002715
28, -0.238518
0, 0.009500
1, 0.244183
2, 0.556601
3, 0.767305
4, 0.968393
1, 1.559104
8, 1.526535
0, 1.590798
10, 1.579848
6, 1.299398
5, 1.131449
7, 1.432238
2, 1.485583
3, 1.372139
4, 1.221705
5, 1.058274
7, 0.664403
6, 0.867438
8, 0.363034
-1, 0.129749
20, -0.106798
21, -0.340237
22, -0.642088
23, -0.839261
24, -1.036368
25, -1.198410
20, -1.561658
21, -1.509414
22, -1.416139
26, -1.349825
