ID, Distance
, 0.265992
4, 0.752609
5, 1.162839
4, 0.970148
6, 1.325699
7, 1.454514
17, 0.639284
18, 0.395353
12, 1.577535
16, 0.866926
10, 1.608269
13, 1.396236
15, 1.072389
14, 1.250360
8, 1.545953
9, 1.597650
12, 1.506243
20, 0.141441
20, 0.134883
21, 0.388964
22, 0.633230
24, 1.067462
26, 1.392942
29, 1.607998
33, 1.329429
28, 1.576213
30, 1.598436
37, 0.522086
38, 0.272484
36, 0.975402
36, 0.758429
28, 1.503905
25, 1.246196
23, 0.861363
31, 1.547776
32, 1.457327
39, 0.016079
34, 1.167390
2, 0.515849
0, 0.009500
4, 0.970148
6, 1.325699
5, 1.162839
7, 1.454514
1, 0.265992
8, 1.545953
4, 0.750130
10, 1.608269
9, 1.597650
12, 1.506243
12, 1.572343
13, 1.396236
15, 1.072389
14, 1.250360
16, 0.866926
17, 0.639284
20, 0.141075
18, 0.395353
22, 0.633230
30, 1.598436
28, 1.576213
26, 1.392942
24, 1.067462
23, 0.861363
28, 1.498955
31, 1.547776
29, 1.607998
32, 1.457327
21, 0.388964
25, 1.246196
33, 1.329429
34, 1.167390
36, 0.758429
37, 0.522086
38, 0.272484
36, 0.972191
39, 0.016079
20, 0.134883
1, 0.263518
0, 0.009500
2, 0.513375
4, 0.967674
4, 0.745313
12, 1.562260
13, 1.391049
8, 1.540766
14, 1.245173
5, 1.160365
7, 1.452040
10, 1.603082
12, 1.501056
16, 0.866559
18, 0.394987
6, 1.323225
15, 1.067202
9, 1.592463
20, 0.140214
21, 0.388598
20, 0.134517
17, 0.638918
23, 0.860997
22, 0.632864
24, 1.064325
25, 1.241252
28, 1.489343
26, 1.387998
28, 1.571269
30, 1.593492
34, 1.164184
32, 1.454121
36, 0.965953
36, 0.755224
37, 0.518880
38, 0.269278
39, 0.016079
29, 1.603054
31, 1.542831
33, 1.326223
0, 0.009500
2, 0.508567
4, 0.739959
1, 0.258709
7, 1.446237
10, 1.593123
5, 1.155433
4, 0.962866
9, 1.582561
8, 1.530919
6, 1.317857
12, 1.552020
13, 1.381076
14, 1.235298
15, 1.059825
17, 0.635791
20, 0.139125
20, 0.133656
21, 0.387021
22, 0.630570
23, 0.857987
25, 1.234211
26, 1.378583
28, 1.479522
29, 1.593487
12, 1.490982
31, 1.533338
32, 1.447163
33, 1.319544
