ID, Distance
2, 0.531672
4, 0.775831
4, 1.000168
5, 1.198881
9, 1.647280
7, 1.499671
8, 1.593967
6, 1.366830
10, 1.658231
12, 1.626536
12, 1.553016
13, 1.439571
14, 1.289137
15, 1.105604
16, 0.893720
17, 0.658965
20, -0.119801
18, 0.407411
20, 0.145564
21, -0.381823
22, -0.633722
23, -0.868984
24, -1.081524
25, -1.265843
26, -1.417175
29, -1.638951
28, -1.606173
28, -1.531605
30, -1.629091
31, -1.576847
32, -1.483571
33, -1.351677
34, -1.184574
36, -0.986586
37, -0.519104
36, -0.762833
39, 0.002715
38, -0.261702
1, 0.274007
0, 0.009500
4, 0.783342
2, 0.531672
4, 1.003821
6, 1.365473
9, 1.646981
8, 1.593360
7, 1.499068
12, 1.552639
10, 1.658009
12, 1.620518
14, 1.285712
15, 1.109027
13, 1.441005
16, 0.893720
17, 0.658965
5, 1.198558
18, 0.407411
20, 0.145187
20, -0.119801
21, -0.381823
23, -0.868984
22, -0.633722
25, -1.262410
24, -1.084959
26, -1.418626
28, -1.526083
28, -1.605645
29, -1.638727
30, -1.628798
31, -1.576245
32, -1.482977
33, -1.350307
34, -1.184257
36, -0.762833
37, -0.519104
36, -0.986898
38, -0.261702
39, 0.002715
1, 0.271457
0, 0.009500
2, 0.529122
4, 1.003528
5, 1.194538
6, 1.359824
12, 1.544917
15, 1.107778
7, 1.494409
9, 1.639424
10, 1.650612
4, 0.794142
12, 1.608913
8, 1.585101
13, 1.438147
16, 0.893343
17, 0.658588
18, 0.407033
20, -0.120179
21, -0.382200
20, 0.144300
14, 1.276778
22, -0.634099
23, -0.869361
24, -1.083648
25, -1.253820
26, -1.413248
28, -1.515345
28, -1.597917
30, -1.621655
29, -1.631745
34, -1.179366
31, -1.568395
32, -1.477449
33, -1.343743
36, -0.987628
36, -0.759595
37, -0.515865
39, 0.002715
38, -0.258463
1, 0.267969
0, 0.009500
2, 0.524278
4, 0.804926
4, 0.999260
5, 1.188970
10, 1.641668
12, 1.535227
7, 1.486891
8, 1.576037
12, 1.599738
9, 1.630731
6, 1.351603
14, 1.267010
15, 1.099172
16, 0.894133
13, 1.432225
17, 0.655364
18, 0.404589
20, 0.143179
20, -0.121066
21, -0.382845
22, -0.633677
23, -0.868333
25, -1.245143
24, -1.078367
26, -1.400341
28, -1.588206
28, -1.505173
29, -1.622083
31, -1.558674
32, -1.470161
30, -1.611981
33, -1.335233
36, -0.758040
36, -0.988481
39, 0.002715
38, -0.252157
34, -1.172996
37, -0.509560
0, 0.009500
1, 0.263747
2, 0.520255
4, 0.814540
5, 1.181674
4, 0.993443
10, 1.632006
12, 1.590006
6, 1.341913
7, 1.477236
12, 1.525508
8, 1.566345
9, 1.621064
13, 1.421927
14, 1.257155
15, 1.091479
16, 0.896287
31, -1.548915
33, -1.325542
20, 0.141926
30, -1.602282
23, -0.870014
28, -1.495714
20, -0.122186
18, 0.401392
26, -1.392429
28, -1.578461
24, -1.070309
32, -1.460794
25, -1.236342
17, 0.651130
34, -1.164845
22, -0.632468
21, -0.382760
29, -1.612398
36, -0.989354
36, -0.758527
37, -0.502147
38, -0.244745
39, 0.002715
0, 0.009500
1, 0.259192
2, 0.515471
4, 0.824127
4, 0.987649
5, 1.173310
12, 1.580249
8, 1.556624
6, 1.332195
10, 1.622324
7, 1.467548
9, 1.611376
12, 1.515774
13, 1.412294
14, 1.247269
15, 1.081163
17, 0.645753
16, 0.898124
18, 0.397391
20, -0.123440
20, 0.140551
21, -0.382542
22, -0.631194
23, -0.875639
24, -1.063268
25, -1.226896
26, -1.382347
28, -1.568700
29, -1.602696
28, -1.486293
30, -1.592565
31, -1.539141
32, -1.451119
33, -1.315822
34, -1.155754
36, -0.990218
36, -0.758934
37, -0.493689
38, -0.236286
39, 0.002715
2, 0.509355
0, 0.009500
1, 0.254115
4, 0.980708
4, 0.833696
5, 1.164034
6, 1.322462
8, 1.546891
18, 0.392883
20, 0.139094
12, 1.506043
17, 0.639680
12, 1.570492
14, 1.237530
20, -0.124815
16, 0.899920
10, 1.612629
9, 1.601673
13, 1.402683
21, -0.382281
7, 1.457839
15, 1.071561
22, -0.629409
23, -0.879680
25, -1.217220
24, -1.055767
26, -1.372708
28, -1.559000
28, -1.476746
29, -1.592989
31, -1.529439
30, -1.582848
32, -1.441420
33, -1.306089
34, -1.146099
36, -0.990689
37, -0.484279
38, -0.226876
39, 0.002715
36, -0.760885
1, 0.248679
2, 0.502879
0, 0.009500
4, 0.973208
4, 0.843264
5, 1.154382
6, 1.312735
7, 1.448123
8, 1.537165
9, 1.591971
10, 1.602933
12, 1.560857
12, 1.496406
13, 1.393087
14, 1.227960
15, 1.061989
16, 0.901700
17, 0.633015
18, 0.387954
20, 0.137595
21, -0.381979
22, -0.627379
23, -0.884832
24, -1.047765
25, -1.207523
26, -1.363086
28, -1.467051
28, -1.549372
30, -1.573172
29, -1.583292
31, -1.519822
33, -1.296361
32, -1.431711
34, -1.136425
36, -0.990990
36, -0.762669
37, -0.474623
38, -0.217221
39, 0.002715
20, -0.126271
0, 0.009500
