ID, Distance
, 0.265992
4, 0.970148
4, 0.752609
5, 1.162839
14, 1.250360
6, 1.325699
13, 1.396236
9, 1.597650
12, 1.577535
10, 1.608269
12, 1.506243
8, 1.545953
7, 1.454514
15, 1.072389
16, 0.866926
17, 0.639284
18, 0.395353
20, -0.115883
21, -0.369964
20, 0.141441
22, -0.614230
23, -0.842363
24, -1.048462
25, -1.227196
26, -1.373942
28, -1.484905
28, -1.557213
29, -1.588998
30, -1.579436
36, -0.956402
36, -0.739429
31, -1.528776
32, -1.438327
33, -1.310429
39, 0.002921
38, -0.253484
37, -0.503086
34, -1.148390
1, 0.265992
0, 0.009500
4, 0.977659
2, 0.515849
4, 0.752609
7, 1.449881
5, 1.160489
10, 1.606338
9, 1.595160
17, 0.639284
24, -1.055991
28, -1.552874
8, 1.541055
13, 1.389885
20, 0.141441
22, -0.614230
6, 1.318170
14, 1.243465
15, 1.079900
23, -0.842363
21, -0.369964
26, -1.367381
16, 0.866926
18, 0.395353
20, -0.115883
28, -1.481955
12, 1.573214
12, 1.503364
25, -1.220617
29, -1.587057
30, -1.576993
31, -1.523917
32, -1.433756
33, -1.302918
34, -1.146123
36, -0.963931
36, -0.739429
37, -0.503086
38, -0.253484
39, 0.002921
0, 0.009500
1, 0.265992
2, 0.515849
4, 0.984978
4, 0.752609
5, 1.155968
6, 1.307385
7, 1.440985
10, 1.602578
8, 1.531564
16, 0.866926
28, -1.476186
18, 0.395353
23, -0.842363
9, 1.590298
17, 0.639284
21, -0.369964
15, 1.086901
12, 1.564831
14, 1.230354
20, -0.115883
20, 0.141441
13, 1.380705
12, 1.497738
26, -1.358038
25, -1.214992
22, -0.614230
28, -1.544437
24, -1.062966
29, -1.583277
30, -1.572219
31, -1.514479
32, -1.424959
33, -1.292118
34, -1.141753
36, -0.971217
36, -0.739429
37, -0.503086
38, -0.253484
39, 0.002921
0, 0.009500
1, 0.265992
4, 0.988645
5, 1.153346
6, 1.296604
7, 1.432252
4, 0.752609
2, 0.515849
8, 1.521861
10, 1.598042
12, 1.555305
20, -0.115883
15, 1.091755
17, 0.639284
18, 0.395353
21, -0.369964
23, -0.841752
26, -1.347375
9, 1.584098
24, -1.067816
28, -1.534892
14, 1.224853
12, 1.489806
13, 1.370131
20, 0.141441
25, -1.207761
22, -0.614230
16, 0.866926
29, -1.578695
31, -1.504830
32, -1.416215
33, -1.281334
30, -1.566132
34, -1.139415
36, -0.739429
37, -0.503086
38, -0.253484
39, 0.002921
