ID, Distance

25, -1.227196
26, -1.373942
28, -1.484905
28, -1.557213
29, -1.588998
30, -1.579436
31, -1.528776
32, -1.438327
33, -1.310429
34, -1.148390
36, -0.956402
36, -0.739429
37, -0.503086
38, -0.253484
39, 0.002921
0, 0.009500
1, 0.265992
2, 0.515849
4, 0.752609
10, 1.606338
9, 1.595160
8, 1.541055
7, 1.449881
12, 1.573214
5, 1.160489
4, 0.977659
6, 1.318170
12, 1.503364
13, 1.389885
14, 1.243465
15, 1.079900
16, 0.866926
18, 0.395353
17, 0.639284
22, -0.614230
20, 0.141441
21, -0.369964
20, -0.115883
23, -0.842363
25, -1.220617
24, -1.055991
26, -1.367381
28, -1.481955
28, -1.552874
29, -1.587057
30, -1.576993
31, -1.523917
32, -1.433756
33, -1.302918
34, -1.146123
36, -0.963931
36, -0.739429
37, -0.503086
38, -0.253484
39, 0.002921
1, 0.265992
0, 0.009500
2, 0.515849
4, 0.752609
4, 0.984978
5, 1.155968
6, 1.307385
7, 1.440985
8, 1.531564
9, 1.590298
10, 1.602578
12, 1.564831
12, 1.497738
14, 1.230354
16, 0.866926
15, 1.086901
13, 1.380705
17, 0.639284
18, 0.395353
20, 0.141441
20, -0.115883
32, -1.424959
28, -1.476186
29, -1.583277
21, -0.369964
31, -1.514479
23, -0.842363
33, -1.292118
24, -1.062966
30, -1.572219
25, -1.214992
22, -0.614230
26, -1.358038
28, -1.544437
34, -1.141753
36, -0.971217
36, -0.739429
37, -0.503086
38, -0.253484
39, 0.002921
1, 0.265992
0, 0.009500
2, 0.515849
4, 0.752609
4, 0.988645
5, 1.153346
6, 1.296604
7, 1.432252
8, 1.521861
9, 1.584098
10, 1.598042
12, 1.555305
12, 1.489806
13, 1.370131
14, 1.224853
15, 1.091755
16, 0.866926
17, 0.639284
18, 0.395353
20, 0.141441
20, -0.115883
21, -0.369964
22, -0.614230
25, -1.207761
23, -0.842363
24, -1.067816
26, -1.347375
28, -1.468029
28, -1.534892
29, -1.578695
30, -1.566132
31, -1.504830
34, -1.139415
36, -0.974899
36, -0.739429
32, -1.416215
33, -1.281334
37, -0.503086
38, -0.253484
39, 0.002921
1, 0.265992
0, 0.009500
2, 0.515849
4, 0.752609
4, 0.986843
5, 1.151057
6, 1.286989
7, 1.422445
8, 1.512156
9, 1.576724
10, 1.592966
12, 1.547758
12, 1.480100
13, 1.360488
14, 1.219267
15, 1.090837
16, 0.866926
17, 0.639284
18, 0.395353
20, 0.141441
20, -0.115883
22, -0.614230
21, -0.369964
24, -1.069010
23, -0.842363
25, -1.198111
26, -1.339455
28, -1.458418
28, -1.525234
29, -1.573261
30, -1.558892
31, -1.495166
32, -1.406409
33, -1.271719
34, -1.131867
36, -0.973561
36, -0.739429
37, -0.503086
38, -0.253484
39, 0.002921
0, 0.009500
1, 0.265992
2, 0.515849
4, 0.752609
4, 0.977057
5, 1.143053
6, 1.277960
8, 1.502459
7, 1.412578
9, 1.568213
10, 1.586705
12, 1.539011
12, 1.470360
13, 1.350865
14, 1.220686
15, 1.079665
16, 0.874427
17, 0.639284
18, 0.395353
20, 0.141441
20, -0.115883
21, -0.369964
22, -0.614230
23, -0.842363
24, -1.058768
25, -1.195461
28, -1.448732
26, -1.330205
28, -1.516938
29, -1.567266
30, -1.550534
31, -1.485491
32, -1.396545
33, -1.262617
34, -1.119596
36, -0.963079
36, -0.739429
37, -0.503086
38, -0.253484
39, 0.002921
0, 0.009500
1, 0.265992
2, 0.515849
4, 0.752609
4, 0.968448
5, 1.132540
6, 1.273385
7, 1.402699
8, 1.493079
9, 1.558832
10, 1.579853
12, 1.528905
12, 1.460605
13, 1.341259
14, 1.219998
15, 1.068213
16, 0.885229
17, 0.639284
28, -1.507891
22, -0.614230
29, -1.560145
25, -1.194232
20, -0.115883
18, 0.395353
26, -1.320169
23, -0.842363
28, -1.439021
21, -0.369964
20, 0.141441
24, -1.048354
30, -1.541308
31, -1.475813
32, -1.386668
33, -1.256057
34, -1.111277
36, -0.739429
37, -0.503086
36, -0.952369
38, -0.253484
39, 0.002921
0, 0.009500
18, 0.395353
2, 0.515849
6, 1.268534
5, 1.122050
4, 0.752609
1, 0.265992
4, 0.958624
7, 1.393093
8, 1.484128
9, 1.550853
10, 1.570173
12, 1.519647
12, 1.450860
13, 1.332544
14, 1.213409
15, 1.059432
17, 0.639284
16, 0.895991
20, 0.141441
20, -0.115883
21, -0.369964
24, -1.038354
28, -1.497683
23, -0.842363
26, -1.311649
28, -1.429299
22, -0.614230
25, -1.190790
29, -1.552458
30, -1.531654
31, -1.466138
33, -1.249613
32, -1.377060
36, -0.942256
34, -1.101975
