ID, Distance
2, 0.515849
4, 0.752609
5, 1.162839
4, 0.970148
7, 1.454514
6, 1.325699
8, 1.545953
9, 1.597650
10, 1.608269
12, 1.506243
12, 1.577535
14, 1.250360
15, 1.072389
13, 1.396236
16, 0.866926
17, 0.639284
18, 0.395353
20, 0.141441
20, -0.115883
22, -0.614230
28, -1.557213
28, -1.484905
21, -0.369964
24, -1.048462
23, -0.842363
26, -1.373942
25, -1.227196
30, -1.579436
29, -1.588998
32, -1.438327
33, -1.310429
34, -1.148390
36, -0.956402
37, -0.503086
38, -0.253484
39, 0.002921
31, -1.528776
36, -0.739429
0, 0.009500
1, 0.265992
2, 0.515849
4, 0.745080
4, 0.972522
5, 1.162663
6, 1.324943
7, 1.454150
8, 1.545567
9, 1.597463
10, 1.608237
12, 1.570006
12, 1.506023
13, 1.395731
14, 1.249811
15, 1.074625
16, 0.866926
17, 0.639284
18, 0.395353
20, 0.136787
20, -0.115883
21, -0.369964
22, -0.614230
23, -0.842363
24, -1.050705
25, -1.226672
26, -1.373419
28, -1.477394
28, -1.556873
29, -1.588965
30, -1.579252
31, -1.528393
32, -1.437967
33, -1.309665
34, -1.148221
36, -0.739429
36, -0.948891
38, -0.253484
37, -0.503086
39, 0.002921
1, 0.261214
0, 0.009500
2, 0.508324
4, 0.734295
4, 0.969661
5, 1.153019
6, 1.315167
7, 1.444467
9, 1.587816
8, 1.535880
10, 1.598561
12, 1.559221
12, 1.496370
13, 1.386019
14, 1.240087
15, 1.071422
16, 0.862276
17, 0.634634
18, 0.390703
20, 0.127769
20, -0.120533
21, -0.374614
22, -0.618880
23, -0.847013
24, -1.047538
25, -1.216954
26, -1.363702
28, -1.466594
28, -1.547195
29, -1.579289
30, -1.569606
31, -1.518706
32, -1.428285
33, -1.299887
34, -1.138578
36, -0.938091
36, -0.731923
37, -0.495579
39, 0.002921
38, -0.245977
0, 0.009500
1, 0.251583
2, 0.497537
4, 0.723514
4, 0.958955
5, 1.143336
6, 1.305327
7, 1.434741
8, 1.526148
9, 1.578130
10, 1.588840
12, 1.548440
12, 1.486676
13, 1.376258
14, 1.230313
15, 1.060722
16, 0.852079
17, 0.624437
18, 0.380506
20, 0.118282
23, -0.852217
21, -0.379440
20, -0.129540
22, -0.623854
24, -1.036821
25, -1.207187
28, -1.455809
26, -1.353936
28, -1.537474
29, -1.569568
30, -1.559921
31, -1.508975
32, -1.418560
33, -1.290044
34, -1.128896
36, -0.927306
36, -0.721122
37, -0.484778
39, 0.002921
38, -0.235176
1, 0.241942
0, 0.009500
2, 0.486766
4, 0.713899
4, 0.947956
5, 1.133636
6, 1.295463
7, 1.424992
8, 1.516394
9, 1.568427
10, 1.579098
12, 1.476965
13, 1.366473
14, 1.220513
15, 1.049730
16, 0.841721
17, 0.614079
18, 0.370148
20, 0.108546
12, 1.538826
20, -0.139028
21, -0.384362
26, -1.344145
24, -1.025822
22, -0.629019
28, -1.527732
25, -1.197396
28, -1.446195
23, -0.860773
29, -1.559825
30, -1.550219
31, -1.499222
32, -1.408813
34, -1.119197
33, -1.280177
36, -0.917692
37, -0.474003
36, -0.710347
38, -0.224401
39, 0.002921
1, 0.232288
0, 0.009500
4, 0.704313
2, 0.477147
4, 0.937949
5, 1.123929
6, 1.285734
7, 1.415243
8, 1.506640
9, 1.558718
12, 1.529240
10, 1.569354
12, 1.467249
13, 1.356691
14, 1.210794
15, 1.039727
16, 0.831747
17, 0.604105
18, 0.360174
20, 0.098785
20, -0.148773
21, -0.387687
22, -0.632703
23, -0.868700
24, -1.015819
25, -1.187609
26, -1.334358
28, -1.436609
28, -1.517987
29, -1.550081
30, -1.540511
31, -1.489468
32, -1.399064
33, -1.270538
34, -1.109492
36, -0.700727
36, -0.908106
37, -0.464384
38, -0.214782
39, 0.002921
0, 0.009500
1, 0.222623
2, 0.467553
4, 0.694744
4, 0.929016
5, 1.114229
6, 1.276160
7, 1.405604
8, 1.497005
9, 1.549016
10, 1.559673
12, 1.519670
12, 1.457542
14, 1.201170
13, 1.347076
15, 1.030790
16, 0.822227
17, 0.594586
18, 0.350655
20, 0.089025
20, -0.158545
21, -0.390630
22, -0.636042
24, -1.006882
23, -0.877298
25, -1.177999
26, -1.324748
28, -1.427040
28, -1.508306
29, -1.540400
30, -1.530810
33, -1.260920
31, -1.479832
36, -0.691134
32, -1.389383
34, -1.099793
36, -0.898537
37, -0.454790
38, -0.205188
39, 0.002921
0, 0.009500
1, 0.212953
2, 0.457977
4, 0.685176
4, 0.919239
5, 1.104565
6, 1.266610
7, 1.395987
8, 1.487392
9, 1.539353
10, 1.550064
12, 1.510103
12, 1.447908
13, 1.337489
14, 1.191566
15, 1.021014
16, 0.812740
17, 0.585098
18, 0.341167
20, 0.079394
20, -0.168314
21, -0.392749
22, -0.638596
23, -0.885441
24, -0.997106
25, -1.168418
26, -1.315167
28, -1.417472
28, -1.498697
29, -1.530791
30, -1.521146
31, -1.470219
32, -1.379778
33, -1.251317
34, -1.090129
36, -0.888969
36, -0.681558
38, -0.195612
39, 0.002921
37, -0.445214
0, 0.009500
1, 0.203283
2, 0.448403
4, 0.675526
4, 0.909413
5, 1.094942
6, 1.257066
7, 1.386385
8, 1.477794
9, 1.529733
10, 1.540475
12, 1.438296
12, 1.500452
13, 1.327917
14, 1.181972
15, 1.011190
16, 0.803172
17, 0.575531
18, 0.331600
20, 0.069786
20, -0.177938
21, -0.394044
22, -0.640352
23, -0.892527
24, -0.987282
25, -1.158853
26, -1.305601
28, -1.407822
28, -1.489109
29, -1.521202
30, -1.511526
31, -1.460620
32, -1.370195
33, -1.241722
34, -1.080504
36, -0.879318
36, -0.671984
37, -0.435640
38, -0.186038
39, 0.002921
0, 0.009500
1, 0.193619
2, 0.438786
4, 0.899575
4, 0.665861
5, 1.085338
6, 1.247413
7, 1.376789
8, 1.468201
10, 1.530895
9, 1.520133
24, -0.977446
14, 1.172378
17, 0.565868
12, 1.428700
21, -0.394380
13, 1.318345
20, -0.187538
15, 1.001355
12, 1.490787
20, 0.060194
23, -0.897994
18, 0.321937
16, 0.793509
22, -0.641171
25, -1.149286
26, -1.296033
28, -1.398156
28, -1.479529
29, -1.511623
30, -1.501924
31, -1.451027
32, -1.360619
33, -1.232123
34, -1.070898
36, -0.869653
36, -0.662366
37, -0.426023
38, -0.176421
39, 0.002921
0, 0.009500
1, 0.183963
2, 0.429117
4, 0.656183
4, 0.889950
5, 1.075744
6, 1.237744
7, 1.367187
8, 1.458602
9, 1.510542
10, 1.521309
12, 1.481110
12, 1.419107
13, 1.308693
14, 1.162753
15, 0.991728
16, 0.783833
17, 0.556191
18, 0.312260
20, 0.050619
20, -0.197123
21, -0.393716
22, -0.641009
23, -0.902174
24, -0.967820
25, -1.139628
26, -1.286376
28, -1.388479
28, -1.469943
29, -1.502037
30, -1.492332
31, -1.441428
32, -1.351037
33, -1.222493
34, -1.061302
36, -0.859976
36, -0.652698
37, -0.416354
38, -0.166752
39, 0.002921
0, 0.009500
1, 0.174316
2, 0.419433
4, 0.646500
5, 1.066146
4, 0.880347
6, 1.228063
7, 1.357556
8, 1.448949
9, 1.500946
10, 1.511652
12, 1.471426
13, 1.299024
12, 1.409505
14, 1.153091
15, 0.982125
16, 0.774147
17, 0.546506
18, 0.302575
20, 0.042456
20, -0.206707
21, -0.392981
22, -0.639806
23, -0.905025
24, -0.958216
25, -1.129953
26, -1.276701
28, -1.378796
28, -1.460286
29, -1.492379
30, -1.482736
31, -1.431775
32, -1.341375
33, -1.212828
