ID, Distance
2, 0.531672
4, 0.775831
4, 1.000168
6, 1.366830
9, 1.647280
7, 1.499671
5, 1.198881
12, 1.626536
8, 1.593967
10, 1.658231
12, 1.553016
13, 1.439571
15, 1.105604
16, 0.893720
14, 1.289137
22, -0.633722
21, -0.381823
24, -1.081524
20, 0.145564
23, -0.868984
18, 0.407411
20, -0.119801
17, 0.658965
25, -1.265843
26, -1.417175
28, -1.606173
28, -1.531605
30, -1.629091
31, -1.576847
32, -1.483571
33, -1.351677
29, -1.638951
34, -1.184574
36, -0.762833
38, -0.261702
37, -0.519104
39, 0.002715
36, -0.986586
1, 0.274007
2, 0.531672
0, 0.009500
4, 1.002607
4, 0.770724
15, 1.107889
13, 1.440337
9, 1.647086
8, 1.593568
18, 0.407411
6, 1.366106
10, 1.658198
7, 1.499274
12, 1.552770
12, 1.619007
14, 1.286851
17, 0.658965
5, 1.198672
16, 0.893720
20, 0.144792
23, -0.868984
21, -0.381823
22, -0.633722
28, -1.605827
20, -0.119801
31, -1.576451
32, -1.483181
26, -1.417951
24, -1.083816
25, -1.263551
30, -1.628901
33, -1.350945
28, -1.524094
29, -1.638918
34, -1.184368
36, -0.762833
37, -0.519104
38, -0.261702
36, -0.982529
39, 0.002715
0, 0.009500
1, 0.273857
4, 0.764558
14, 1.284489
6, 1.363868
16, 0.893694
9, 1.643260
12, 1.543112
2, 0.531028
8, 1.591077
15, 1.109017
12, 1.608222
13, 1.440400
5, 1.197648
10, 1.648522
7, 1.497489
4, 1.007199
17, 0.658946
18, 0.407385
20, 0.142996
21, -0.381818
20, -0.119817
38, -0.261681
33, -1.348486
23, -0.868953
26, -1.414607
32, -1.481543
30, -1.627086
28, -1.513294
24, -1.084833
28, -1.597377
22, -0.633706
36, -0.761660
29, -1.636061
34, -1.182099
37, -0.518883
25, -1.260717
36, -0.974641
31, -1.574600
39, 0.002715
0, 0.009500
1, 0.273243
4, 0.757351
4, 1.009401
2, 0.528641
5, 1.195895
6, 1.360508
7, 1.494363
8, 1.586454
10, 1.638801
9, 1.635711
12, 1.597441
12, 1.533413
13, 1.436201
18, 0.406923
24, -1.083926
37, -0.518000
22, -0.633519
28, -1.587688
38, -0.261278
23, -0.868343
25, -1.256441
31, -1.571359
33, -1.344673
17, 0.658610
32, -1.478744
26, -1.404593
21, -0.381801
34, -1.177743
30, -1.623506
29, -1.630379
20, 0.140752
39, 0.002715
20, -0.119995
14, 1.282052
16, 0.893190
15, 1.108418
28, -1.502510
36, -0.965590
36, -0.761252
1, 0.272346
0, 0.009500
4, 0.750737
4, 1.011479
7, 1.489701
5, 1.193300
6, 1.356015
8, 1.579363
9, 1.626056
2, 0.524814
12, 1.523695
12, 1.587827
20, 0.138263
20, -0.120480
21, -0.381701
22, -0.632985
23, -0.867347
24, -1.082347
26, -1.394466
10, 1.629058
28, -1.492895
28, -1.577971
25, -1.250771
29, -1.621421
30, -1.617838
31, -1.566536
13, 1.427251
32, -1.474636
34, -1.171051
14, 1.277704
33, -1.339466
36, -0.760853
36, -0.955935
37, -0.516500
38, -0.260604
15, 1.107387
16, 0.892363
39, 0.002715
17, 0.658050
18, 0.406198
2, 0.519490
4, 0.743840
5, 1.190131
6, 1.350314
7, 1.483392
10, 1.619314
9, 1.616381
8, 1.569730
0, 0.009500
12, 1.578241
12, 1.513972
13, 1.417429
14, 1.273012
15, 1.104666
16, 0.891165
17, 0.657326
18, 0.405197
20, 0.135551
21, -0.381468
20, -0.121124
23, -0.865904
24, -1.078819
25, -1.243149
26, -1.384585
28, -1.483309
28, -1.568240
29, -1.611756
30, -1.610010
32, -1.469127
1, 0.270742
34, -1.162116
36, -0.758776
36, -0.946261
37, -0.514305
38, -0.259619
4, 1.013117
39, 0.002715
22, -0.632243
33, -1.332815
31, -1.560042
0, 0.009500
1, 0.268634
2, 0.512664
4, 1.013353
5, 1.185598
4, 0.736591
6, 1.343400
7, 1.475397
8, 1.560067
10, 1.609633
12, 1.568672
9, 1.606690
12, 1.504262
13, 1.407544
14, 1.266954
15, 1.101092
16, 0.889557
18, 0.403917
17, 0.656207
20, 0.132700
20, -0.121934
21, -0.381173
22, -0.631261
23, -0.863963
24, -1.074004
25, -1.233497
26, -1.374998
28, -1.473740
28, -1.558513
29, -1.602070
30, -1.600361
31, -1.551854
32, -1.462186
33, -1.324750
36, -0.936574
34, -1.152462
37, -0.511349
36, -0.755356
38, -0.258408
39, 0.002715
1, 0.265988
0, 0.009500
2, 0.504422
4, 0.729226
5, 1.180224
4, 1.012558
7, 1.465747
9, 1.596994
10, 1.600024
6, 1.335250
8, 1.550384
12, 1.559104
14, 1.258827
15, 1.096560
13, 1.397645
16, 0.887668
17, 0.654824
12, 1.494634
18, 0.402461
20, 0.129749
20, -0.122908
21, -0.380809
23, -0.861497
22, -0.630020
25, -1.223824
24, -1.067958
26, -1.365434
28, -1.548876
31, -1.542204
33, -1.315322
34, -1.142788
36, -0.750454
37, -0.507881
39, 0.002715
38, -0.256651
28, -1.464172
30, -1.590693
32, -1.453814
36, -0.926886
29, -1.592371
0, 0.009500
