ID, Distance
2, 0.515849
1, 0.265992
4, 0.970148
6, 1.325699
5, 1.162839
4, 0.752609
7, 1.454514
8, 1.545953
9, 1.597650
10, 1.608269
12, 1.577535
12, 1.506243
13, 1.396236
14, 1.250360
15, 1.072389
16, 0.866926
18, 0.395353
17, 0.639284
20, 0.141441
20, -0.115883
21, -0.369964
22, -0.614230
23, -0.842363
24, -1.048462
25, -1.227196
26, -1.373942
28, -1.484905
29, -1.588998
28, -1.557213
31, -1.528776
30, -1.579436
32, -1.438327
33, -1.310429
34, -1.148390
36, -0.956402
36, -0.739429
37, -0.503086
38, -0.253484
39, 0.002921
0, 0.009500
1, 0.265992
7, 1.454150
2, 0.515849
4, 0.972522
4, 0.747655
5, 1.162663
8, 1.545567
6, 1.324943
10, 1.608237
9, 1.597463
12, 1.570006
12, 1.506023
13, 1.395731
14, 1.249811
15, 1.074625
16, 0.866926
17, 0.639284
18, 0.395353
20, 0.140692
21, -0.369964
20, -0.115883
22, -0.614230
23, -0.842363
24, -1.050705
25, -1.226672
26, -1.373419
28, -1.477394
28, -1.556873
29, -1.588965
30, -1.579252
31, -1.528393
32, -1.437967
34, -1.148221
33, -1.309665
36, -0.952478
36, -0.739429
37, -0.503086
38, -0.253484
39, 0.002921
0, 0.009500
1, 0.261043
6, 1.316861
2, 0.510900
4, 0.741666
4, 0.971765
5, 1.155903
7, 1.446965
8, 1.535880
9, 1.587816
10, 1.598561
12, 1.559221
13, 1.386019
14, 1.240087
12, 1.496370
15, 1.071422
16, 0.866176
17, 0.638534
18, 0.394603
20, 0.138947
24, -1.047538
20, -0.116633
22, -0.614980
23, -0.843113
21, -0.370714
25, -1.216954
26, -1.363702
28, -1.466594
28, -1.547195
29, -1.579289
30, -1.569606
31, -1.518706
32, -1.429074
33, -1.299887
34, -1.139760
36, -0.944851
36, -0.733144
37, -0.496800
38, -0.247198
39, 0.002921
0, 0.009500
1, 0.255509
2, 0.505037
4, 0.734663
4, 0.968042
6, 1.307117
5, 1.147102
7, 1.437487
8, 1.526148
9, 1.578130
10, 1.588840
12, 1.548440
12, 1.486676
13, 1.376258
14, 1.230313
16, 0.867196
17, 0.636790
15, 1.060722
18, 0.392858
20, 0.136767
20, -0.118378
21, -0.372459
22, -0.616725
23, -0.848149
24, -1.036821
25, -1.207187
26, -1.353936
28, -1.455809
28, -1.537474
29, -1.569568
30, -1.559921
31, -1.508975
32, -1.419381
33, -1.290044
34, -1.130099
36, -0.936144
36, -0.724680
37, -0.488697
39, 0.002921
38, -0.239291
0, 0.009500
1, 0.249263
2, 0.498246
4, 0.728232
4, 0.962863
5, 1.137444
12, 1.476965
7, 1.427810
6, 1.297331
8, 1.516394
9, 1.568427
12, 1.538826
13, 1.366473
10, 1.579098
14, 1.220513
15, 1.049730
16, 0.869835
17, 0.634609
18, 0.390678
20, 0.134348
20, -0.120558
21, -0.374639
22, -0.618905
23, -0.854494
24, -1.025822
25, -1.197396
26, -1.344145
28, -1.446195
28, -1.527732
30, -1.550219
29, -1.559825
31, -1.499222
32, -1.409660
33, -1.280177
34, -1.120417
36, -0.926491
36, -0.713945
37, -0.478444
38, -0.229938
39, 0.002921
0, 0.009500
1, 0.243925
2, 0.492109
4, 0.721524
4, 0.956786
5, 1.127767
6, 1.287530
7, 1.418109
8, 1.506640
9, 1.558718
10, 1.569354
12, 1.529240
12, 1.467249
13, 1.356691
14, 1.210794
15, 1.039727
16, 0.872472
17, 0.632191
18, 0.388260
20, 0.131714
20, -0.122976
21, -0.377057
22, -0.621323
23, -0.862234
26, -1.334358
29, -1.550081
28, -1.436609
25, -1.187609
28, -1.517987
24, -1.015819
30, -1.540511
31, -1.489468
34, -1.110721
32, -1.399925
33, -1.270538
36, -0.916819
36, -0.704450
37, -0.469358
38, -0.221209
39, 0.002921
1, 0.238591
0, 0.009500
2, 0.485949
4, 0.714472
4, 0.949775
5, 1.118076
6, 1.277824
9, 1.549016
7, 1.408396
8, 1.497005
10, 1.559673
12, 1.519670
12, 1.457542
13, 1.347076
14, 1.201170
15, 1.030790
16, 0.875919
17, 0.629557
18, 0.385625
20, 0.128944
20, -0.125611
21, -0.379692
22, -0.623958
23, -0.870739
24, -1.006882
25, -1.177999
28, -1.427040
28, -1.508306
26, -1.324748
29, -1.540400
30, -1.530810
31, -1.479832
32, -1.390196
33, -1.260920
34, -1.101022
36, -0.695013
36, -0.907134
37, -0.460312
38, -0.211974
39, 0.002921
1, 0.232818
0, 0.009500
2, 0.479181
4, 0.707306
4, 0.942187
5, 1.108383
7, 1.398686
9, 1.539353
8, 1.487392
6, 1.268228
10, 1.550064
12, 1.510103
12, 1.447908
13, 1.337489
14, 1.191566
15, 1.021014
16, 0.879710
17, 0.626786
18, 0.382855
20, 0.126076
20, -0.128381
21, -0.382462
22, -0.626728
23, -0.879240
24, -0.997106
25, -1.168418
26, -1.315167
28, -1.417472
28, -1.498697
29, -1.530791
30, -1.521146
31, -1.470219
32, -1.380563
33, -1.251317
34, -1.091332
36, -0.897446
36, -0.685594
37, -0.450608
38, -0.202210
39, 0.002921
0, 0.009500
1, 0.227009
2, 0.472358
4, 0.700122
4, 0.934139
5, 1.098698
6, 1.258655
7, 1.389015
8, 1.477794
9, 1.529733
10, 1.540475
12, 1.500452
12, 1.438296
13, 1.327917
14, 1.181972
15, 1.011190
16, 0.883217
17, 0.623919
18, 0.379988
20, 0.123154
20, -0.131248
21, -0.385329
23, -0.887121
22, -0.629595
25, -1.158853
24, -0.987282
26, -1.305601
28, -1.407822
28, -1.489109
38, -0.192401
29, -1.521202
32, -1.370952
34, -1.081672
36, -0.887764
33, -1.241722
39, 0.002921
30, -1.511526
31, -1.460620
