ID, Distance
1, 0.265992
2, 0.515849
4, 0.752609
5, 1.162839
6, 1.325699
7, 1.454514
4, 0.970148
8, 1.545953
9, 1.597650
10, 1.608269
12, 1.577535
12, 1.506243
14, 1.250360
13, 1.396236
15, 1.072389
16, 0.866926
17, 0.639284
18, 0.395353
20, 0.141441
20, -0.115883
21, -0.369964
22, -0.614230
23, -0.842363
24, -1.048462
25, -1.227196
28, -1.484905
26, -1.373942
28, -1.557213
29, -1.588998
30, -1.579436
31, -1.528776
32, -1.438327
33, -1.310429
34, -1.148390
36, -0.956402
36, -0.739429
38, -0.253484
37, -0.503086
39, 0.002921
0, 0.009500
1, 0.265992
2, 0.515849
4, 0.747655
4, 0.972522
5, 1.162663
18, 0.395353
22, -0.614230
28, -1.556873
30, -1.579252
32, -1.437967
36, -0.952478
17, 0.639284
25, -1.226672
29, -1.588965
31, -1.528393
36, -0.739429
38, -0.253484
39, 0.002921
37, -0.503086
6, 1.324943
7, 1.454150
9, 1.597463
12, 1.506023
13, 1.395731
15, 1.074625
20, -0.115883
23, -0.842363
24, -1.050705
10, 1.608237
14, 1.249811
28, -1.477394
8, 1.545567
26, -1.373419
34, -1.148221
12, 1.570006
20, 0.140692
33, -1.309665
16, 0.866926
21, -0.369964
1, 0.261043
0, 0.009500
2, 0.512588
4, 0.741666
4, 0.971765
5, 1.155903
6, 1.316861
7, 1.446965
8, 1.535880
9, 1.587816
10, 1.598561
12, 1.559221
12, 1.496370
13, 1.386019
14, 1.240087
15, 1.071422
16, 0.866176
17, 0.638534
18, 0.394603
20, 0.138947
20, -0.116633
21, -0.370714
22, -0.614980
23, -0.843113
24, -1.047538
25, -1.216954
26, -1.363702
28, -1.466594
28, -1.547195
29, -1.579289
31, -1.518706
30, -1.569606
32, -1.429074
33, -1.299887
34, -1.139760
36, -0.944851
36, -0.733144
37, -0.496800
38, -0.247198
39, 0.002921
0, 0.009500
1, 0.251434
2, 0.503760
4, 0.734663
4, 0.968042
5, 1.146249
6, 1.307117
7, 1.437280
8, 1.526148
10, 1.588840
13, 1.376258
9, 1.578130
12, 1.548440
12, 1.486676
14, 1.230313
15, 1.060722
16, 0.861683
17, 0.632257
18, 0.389836
20, 0.136767
21, -0.372459
20, -0.118378
22, -0.616725
23, -0.848149
25, -1.207187
24, -1.036991
26, -1.353936
28, -1.455809
28, -1.537474
29, -1.569568
30, -1.559921
31, -1.508975
32, -1.419381
33, -1.290044
34, -1.130099
36, -0.936144
36, -0.724680
37, -0.488697
38, -0.239291
39, 0.002921
0, 0.009500
1, 0.241616
2, 0.494125
4, 0.962858
4, 0.728232
5, 1.136573
8, 1.516394
10, 1.579098
7, 1.427566
6, 1.297331
9, 1.568427
12, 1.538826
12, 1.476965
13, 1.366473
14, 1.220513
15, 1.049730
16, 0.855763
17, 0.624039
18, 0.383631
20, 0.134348
20, -0.120558
21, -0.374639
22, -0.618905
23, -0.854494
24, -1.026159
25, -1.197396
26, -1.344145
28, -1.446195
28, -1.527732
29, -1.559825
30, -1.550219
31, -1.499222
32, -1.409660
33, -1.280177
34, -1.120417
36, -0.926491
37, -0.478444
39, 0.002921
36, -0.713945
38, -0.229938
