ID, Distance
2, 0.274007
2, 0.531672
3, 0.775831
4, 1.000168
6, 1.198881
6, 1.366830
7, 1.499671
8, 1.593967
10, 1.647280
10, 1.658231
11, 1.626536
12, 1.553016
14, 1.439571
14, 1.289137
15, 1.105604
16, 0.893720
18, 0.658965
18, 0.407411
19, 0.145564
20, -0.119801
22, -0.381823
22, -0.633722
24, -1.081524
23, -0.868984
26, -1.265843
26, -1.417175
27, -1.531605
28, -1.606173
30, -1.638951
30, -1.629091
31, -1.576847
32, -1.483571
34, -1.351677
34, -1.184574
35, -0.986586
0, -0.762833
38, -0.519104
3, 0.002715
2, -0.261702
0, 0.009500
2, 0.531672
4, 1.001394
6, 1.366477
8, 1.593776
10, 1.658215
10, 1.641730
12, 1.552989
11, 1.626499
14, 1.435310
14, 1.287988
15, 1.106753
16, 0.893720
18, 0.656793
18, 0.407411
19, 0.145564
20, -0.119801
22, -0.380560
23, -0.868984
22, -0.633722
24, -1.082676
26, -1.260540
26, -1.417554
27, -1.531577
28, -1.606009
30, -1.633468
30, -1.629069
31, -1.576658
2, 0.273281
3, 0.775831
32, -1.483384
34, -1.346781
34, -1.184551
35, -0.987808
0, -0.762833
2, -0.261702
38, -0.517392
6, 1.194798
3, 0.002715
7, 1.499481
2, 0.530947
2, 0.271589
3, 0.775106
4, 0.999604
6, 1.186869
0, 0.009500
8, 1.586367
10, 1.630954
10, 1.652658
11, 1.619122
14, 1.426580
6, 1.360606
7, 1.493982
16, 0.891553
18, 0.652573
18, 0.405244
19, 0.143398
20, -0.118543
22, -0.378106
23, -0.867726
24, -1.079235
26, -1.414197
26, -1.250400
30, -1.622795
28, -1.598716
27, -1.525929
30, -1.621924
31, -1.569302
32, -1.477245
34, -1.337253
34, -1.178597
35, -0.985518
0, -0.761126
38, -0.514062
12, 1.546585
14, 1.279884
15, 1.102725
3, 0.002715
22, -0.632464
2, -0.259995
0, 0.009500
2, 0.529254
2, 0.269466
4, 0.994002
6, 1.352858
8, 1.576708
10, 1.620750
3, 0.774995
12, 1.538073
14, 1.270174
14, 1.416659
15, 1.092918
6, 1.177760
16, 0.889057
7, 1.486695
18, 0.647887
19, 0.139187
18, 0.401033
20, -0.116098
23, -0.866832
22, -0.630019
24, -1.070539
26, -1.242014
27, -1.518458
10, 1.641856
11, 1.609431
30, -1.612630
28, -1.589057
30, -1.612439
31, -1.559644
32, -1.469056
34, -1.170745
34, -1.327515
35, -0.978945
0, -0.759513
38, -0.510375
2, -0.256674
3, 0.002715
22, -0.375399
26, -1.406434
2, 0.267101
2, 0.527132
0, 0.009500
3, 0.775607
4, 0.988073
10, 1.611267
12, 1.528408
7, 1.477150
6, 1.168092
8, 1.567027
6, 1.343191
15, 1.084334
14, 1.260431
16, 0.886354
10, 1.631889
18, 0.642224
11, 1.599711
19, 0.134288
20, -0.113391
22, -0.372134
22, -0.627312
23, -0.866708
14, 1.406648
24, -1.062151
26, -1.231732
26, -1.396585
28, -1.579376
27, -1.508798
30, -1.603116
30, -1.602775
31, -1.549963
32, -1.459400
34, -1.317755
34, -1.161088
35, -0.970753
18, 0.396134
2, -0.252987
38, -0.505923
3, 0.002715
0, -0.758376
0, 0.009500
2, 0.264508
2, 0.524766
3, 0.775840
4, 0.978230
6, 1.333500
10, 1.601819
7, 1.467491
11, 1.589974
6, 1.158402
8, 1.557330
10, 1.622223
14, 1.396817
14, 1.250673
16, 0.883633
18, 0.636006
18, 0.390798
22, -0.624041
23, -0.865978
22, -0.368541
24, -1.052382
26, -1.222196
27, -1.499116
28, -1.569679
26, -1.386664
30, -1.593635
30, -1.593092
31, -1.540267
32, -1.449725
34, -1.307997
34, -1.151410
35, -0.961233
0, -0.756714
38, -0.501029
12, 1.518721
2, -0.248528
15, 1.074535
3, 0.002715
20, -0.110121
19, 0.128951
2, 0.261765
2, 0.522174
0, 0.009500
3, 0.776810
4, 0.968437
6, 1.148700
6, 1.323794
8, 1.547629
7, 1.457814
10, 1.592264
10, 1.612536
11, 1.580241
12, 1.509020
14, 1.387206
14, 1.240974
15, 1.064677
16, 0.880764
18, 0.629416
19, 0.122677
20, -0.106524
22, -0.620444
24, -1.042562
23, -0.865450
26, -1.376729
26, -1.212708
27, -1.489418
28, -1.559977
30, -1.584070
31, -1.530566
32, -1.440034
34, -1.298370
34, -1.141717
35, -0.951753
0, -0.755541
38, -0.495841
2, -0.243631
3, 0.002715
18, 0.384523
22, -0.364728
30, -1.583396
0, 0.009500
2, 0.258903
10, 1.582584
2, 0.519430
4, 0.958808
6, 1.314086
3, 0.777824
7, 1.448126
6, 1.138999
8, 1.537935
10, 1.602837
11, 1.570605
12, 1.499319
14, 1.377615
14, 1.231346
15, 1.054806
18, 0.622541
18, 0.377902
16, 0.877682
19, 0.116056
20, -0.102709
22, -0.360747
22, -0.616629
23, -0.865163
24, -1.032729
26, -1.203236
26, -1.367144
27, -1.479716
28, -1.550283
30, -1.574406
30, -1.573700
31, -1.520872
34, -1.132020
35, -0.942279
34, -1.288766
32, -1.430340
0, -0.754372
38, -0.490426
2, -0.238441
3, 0.002715
0, 0.009500
2, 0.255963
2, 0.516569
3, 0.778861
4, 0.949196
6, 1.129312
10, 1.572888
6, 1.304391
8, 1.528273
11, 1.560991
10, 1.593139
12, 1.489629
14, 1.221737
15, 1.045196
16, 0.874484
7, 1.438436
20, -0.098727
22, -0.356690
19, 0.109163
22, -0.612647
23, -0.864901
24, -1.023101
26, -1.193575
26, -1.357593
27, -1.470024
28, -1.540621
30, -1.564015
30, -1.564728
31, -1.511209
32, -1.420653
34, -1.279177
34, -1.122331
35, -0.932601
0, -0.752949
38, -0.484859
2, -0.233025
3, 0.002715
14, 1.368034
18, 0.371009
18, 0.615474
2, 0.252985
2, 0.513628
0, 0.009500
3, 0.779911
11, 1.551392
6, 1.294754
4, 0.939596
8, 1.518645
7, 1.428756
10, 1.583453
6, 1.119672
12, 1.479971
10, 1.563186
14, 1.358449
14, 1.212140
15, 1.035614
16, 0.871210
18, 0.608277
18, 0.363932
22, -0.608553
23, -0.864644
26, -1.348059
26, -1.183897
27, -1.460362
28, -1.530994
30, -1.554357
32, -1.410983
34, -1.112659
35, -0.922902
0, -0.751465
30, -1.555043
31, -1.501581
34, -1.269592
38, -0.479223
3, 0.002715
2, -0.227458
19, 0.102086
20, -0.094632
22, -0.352504
24, -1.013497
0, 0.009500
2, 0.249952
2, 0.510651
3, 0.780957
4, 0.929998
15, 1.026047
14, 1.348794
8, 1.509036
6, 1.110051
10, 1.553490
14, 1.202542
7, 1.419091
10, 1.573795
16, 0.867871
12, 1.470347
6, 1.285138
11, 1.541797
18, 0.601027
18, 0.356730
19, 0.093325
22, -0.348279
20, -0.089257
22, -0.604407
26, -1.174207
23, -0.864270
24, -1.003909
26, -1.338462
27, -1.450735
28, -1.521384
30, -1.545358
30, -1.544728
31, -1.491971
32, -1.401334
34, -1.259972
34, -1.103021
35, -0.913192
0, -0.749862
38, -0.473477
2, -0.221821
3, 0.002715
0, 0.009500
3, 0.781945
2, 0.507617
2, 0.246898
4, 0.920393
6, 1.100444
11, 1.532195
14, 1.339121
6, 1.275536
7, 1.409444
12, 1.460741
10, 1.564167
8, 1.499435
10, 1.543824
14, 1.192932
15, 1.016478
16, 0.864506
18, 0.593703
19, 0.084050
18, 0.349452
20, -0.082677
23, -0.863494
24, -0.994323
26, -1.164513
26, -1.328794
28, -1.511784
27, -1.441126
30, -1.535680
30, -1.535115
32, -1.391705
34, -1.093402
35, -0.903485
34, -1.250311
0, -0.748196
38, -0.467708
2, -0.216075
3, 0.002715
22, -0.600180
22, -0.344032
31, -1.482370
2, 0.504563
3, 0.782445
2, 0.243829
0, 0.009500
6, 1.265937
7, 1.399815
6, 1.090841
8, 1.489833
10, 1.534193
4, 0.910739
11, 1.522544
31, -1.472768
20, -0.075849
30, -1.525511
19, 0.074399
23, -0.862566
14, 1.183277
14, 1.329437
22, -0.595932
26, -1.319109
32, -1.382092
15, 1.006821
26, -1.154826
28, -1.502182
18, 0.342148
24, -0.984703
22, -0.339769
