ID, Distance
2, 0.274007
2, 0.531672
3, 0.775831
4, 1.000168
6, 1.198881
8, 1.593967
6, 1.366830
7, 1.499671
10, 1.647280
10, 1.658231
11, 1.626536
12, 1.553016
14, 1.439571
14, 1.289137
15, 1.105604
16, 0.893720
18, 0.658965
18, 0.407411
19, 0.145564
20, -0.119801
22, -0.381823
24, -1.081524
23, -0.868984
22, -0.633722
26, -1.265843
26, -1.417175
27, -1.531605
28, -1.606173
30, -1.638951
30, -1.629091
31, -1.576847
32, -1.483571
34, -1.351677
34, -1.184574
35, -0.986586
0, -0.762833
38, -0.519104
3, 0.002715
2, -0.261702
2, 0.529918
0, 0.009500
2, 0.273281
3, 0.773276
10, 1.652579
6, 1.361431
14, 1.282603
7, 1.494232
14, 1.435786
18, 0.656793
6, 1.194661
15, 1.104243
10, 1.641601
4, 0.999482
19, 0.145187
12, 1.547585
8, 1.588210
16, 0.890778
11, 1.620738
18, 0.406064
22, -0.380560
20, -0.119494
22, -0.631634
23, -0.866126
24, -1.080248
26, -1.259391
26, -1.413479
27, -1.526246
28, -1.600454
30, -1.633371
30, -1.623487
31, -1.571165
32, -1.478202
34, -1.346327
34, -1.180411
35, -0.985932
0, -0.760323
38, -0.517392
2, -0.261011
3, 0.002715
0, 0.009500
2, 0.271589
2, 0.526509
4, 0.997892
14, 1.273246
15, 1.101602
12, 1.537042
14, 1.428428
6, 1.350938
10, 1.641604
8, 1.577053
10, 1.630578
6, 1.186466
3, 0.771556
7, 1.483685
18, 0.403447
11, 1.609511
16, 0.888220
19, 0.144300
20, -0.118769
22, -0.378106
22, -0.627574
24, -1.077771
26, -1.250141
26, -1.406282
27, -1.515817
28, -1.589334
30, -1.622507
30, -1.612577
31, -1.560108
18, 0.652573
32, -1.467760
34, -1.172311
34, -1.335904
35, -0.984412
0, -0.758668
38, -0.514062
3, 0.002715
2, -0.259395
23, -0.863715
2, 0.269466
2, 0.522732
0, 0.009500
3, 0.771063
6, 1.177082
10, 1.620566
16, 0.886635
4, 0.995805
15, 1.098628
11, 1.599453
14, 1.419763
6, 1.340825
10, 1.631604
7, 1.473581
8, 1.567012
12, 1.526926
14, 1.262614
18, 0.647887
18, 0.400557
19, 0.143179
20, -0.117848
22, -0.623069
22, -0.375399
24, -1.074982
26, -1.239511
27, -1.505746
26, -1.396599
28, -1.579303
30, -1.612535
30, -1.602593
31, -1.550091
32, -1.457698
34, -1.325821
34, -1.163042
35, -0.982414
0, -0.758251
38, -0.510375
3, 0.002715
23, -0.862315
2, -0.257368
2, 0.267101
0, 0.009500
2, 0.518171
6, 1.167415
3, 0.770338
6, 1.331245
7, 1.464084
8, 1.557767
10, 1.611262
10, 1.622284
11, 1.590656
14, 1.410091
12, 1.517394
14, 1.252990
16, 0.884566
18, 0.642224
4, 0.993375
19, 0.141926
20, -0.116818
22, -0.372134
23, -0.860469
24, -1.071501
26, -1.229892
26, -1.386887
27, -1.496187
28, -1.570036
30, -1.593256
30, -1.603187
31, -1.540797
34, -1.316224
35, -0.980083
34, -1.153375
0, -0.757619
38, -0.505923
2, -0.255109
3, 0.002715
15, 1.094929
18, 0.397071
32, -1.448175
22, -0.617624
0, 0.009500
2, 0.264508
3, 0.770562
2, 0.513158
6, 1.157726
4, 0.990582
8, 1.548092
6, 1.321689
10, 1.601530
12, 1.507892
14, 1.400395
7, 1.454621
15, 1.090780
11, 1.580831
16, 0.883255
18, 0.393235
18, 0.636006
19, 0.140551
20, -0.115687
22, -0.368541
22, -0.611645
23, -0.859406
24, -1.067587
26, -1.377158
26, -1.220298
27, -1.486655
28, -1.560340
30, -1.593448
30, -1.583516
31, -1.531075
32, -1.438682
34, -1.143687
38, -0.501029
34, -1.306650
35, -0.977401
10, 1.612543
14, 1.243392
0, -0.757943
2, -0.252633
3, 0.002715
0, 0.009500
2, 0.261765
3, 0.770394
4, 0.987492
6, 1.148026
2, 0.507844
8, 1.538401
10, 1.602779
7, 1.445061
11, 1.570942
10, 1.591776
14, 1.390687
12, 1.498391
14, 1.233810
16, 0.881413
15, 1.086336
6, 1.312139
18, 0.629416
20, -0.114510
19, 0.139094
22, -0.364728
23, -0.857835
22, -0.605308
35, -0.974430
34, -1.297083
26, -1.367432
0, -0.757885
26, -1.210720
27, -1.477127
30, -1.573753
30, -1.583685
32, -1.429113
38, -0.495841
34, -1.133988
24, -1.063385
31, -1.521330
28, -1.550624
2, -0.250013
18, 0.389166
3, 0.002715
2, 0.258903
0, 0.009500
2, 0.502298
3, 0.770757
4, 0.984144
14, 1.224232
6, 1.138327
10, 1.582022
8, 1.528704
16, 0.879554
6, 1.302530
15, 1.081660
10, 1.593016
14, 1.380980
7, 1.435387
12, 1.488712
11, 1.561042
18, 0.622541
18, 0.384918
19, 0.137595
20, -0.113250
22, -0.598696
34, -1.287474
26, -1.357759
28, -1.540905
31, -1.511586
35, -0.971210
23, -0.856450
30, -1.563991
34, -1.124289
0, -0.758362
22, -0.360747
26, -1.201145
30, -1.573924
24, -1.058959
38, -0.490426
27, -1.467466
32, -1.419454
3, 0.002715
2, -0.247280
2, 0.255963
0, 0.009500
2, 0.496596
3, 0.771258
4, 0.980602
6, 1.128641
6, 1.292855
8, 1.519012
12, 1.479012
11, 1.551444
7, 1.425699
10, 1.583386
10, 1.572385
14, 1.371288
14, 1.214615
15, 1.072995
18, 0.615474
18, 0.380590
16, 0.878163
19, 0.136024
20, -0.111959
22, -0.356690
22, -0.591900
23, -0.855336
24, -1.050519
26, -1.191527
26, -1.348144
27, -1.457789
28, -1.531198
30, -1.564292
30, -1.554360
31, -1.501905
32, -1.409782
34, -1.277816
34, -1.114603
35, -0.967810
0, -0.758980
38, -0.484859
2, -0.244472
3, 0.002715
2, 0.490824
3, 0.771851
6, 1.283165
10, 1.562770
8, 1.509333
6, 1.118985
11, 1.541878
10, 1.573778
12, 1.469301
14, 1.361654
15, 1.063344
16, 0.876799
18, 0.608277
19, 0.134428
20, -0.110649
22, -0.584979
22, -0.352504
18, 0.376122
23, -0.854228
26, -1.181860
26, -1.338549
0, 0.009500
28, -1.521564
30, -1.554684
31, -1.492293
30, -1.544752
32, -1.400102
34, -1.268144
34, -1.104946
35, -0.964324
0, -0.759689
38, -0.479223
2, -0.241628
3, 0.002715
4, 0.977013
7, 1.416005
14, 1.204952
24, -1.040869
27, -1.448101
2, 0.252985
2, 0.249952
3, 0.772518
2, 0.484939
0, 0.009500
4, 0.972552
6, 1.109359
6, 1.273468
7, 1.406313
12, 1.459592
18, 0.371614
16, 0.875260
8, 1.499680
14, 1.352042
14, 1.195275
11, 1.532325
15, 1.053677
10, 1.564184
10, 1.553168
18, 0.601027
19, 0.132814
20, -0.109322
22, -0.348279
22, -0.578007
24, -1.031202
23, -0.852972
28, -1.511951
32, -1.390421
34, -1.095320
27, -1.438410
38, -0.473477
26, -1.328962
2, -0.238730
35, -0.959912
0, -0.760473
34, -1.258464
31, -1.482701
26, -1.172178
30, -1.535157
3, 0.002715
30, -1.545088
2, 0.246898
0, 0.009500
3, 0.773158
2, 0.479030
6, 1.099750
6, 1.263774
7, 1.396633
8, 1.490052
16, 0.873392
14, 1.342442
20, -0.107979
11, 1.522766
18, 0.367084
18, 0.593703
15, 1.043997
12, 1.449919
14, 1.185588
10, 1.554591
10, 1.543569
22, -0.344032
4, 0.964468
22, -0.570963
23, -0.851403
24, -1.021523
27, -1.428724
28, -1.502350
26, -1.162487
30, -1.535495
31, -1.473115
30, -1.525564
32, -1.380743
34, -1.248781
34, -1.085710
35, -0.951891
19, 0.131185
0, -0.761230
38, -0.467708
2, -0.235813
3, 0.002715
26, -1.319370
3, 0.773237
2, 0.473104
4, 0.955010
0, 0.009500
2, 0.243829
6, 1.090150
7, 1.386979
8, 1.480441
10, 1.533964
10, 1.544989
11, 1.513100
12, 1.440290
14, 1.332845
14, 1.175902
15, 1.034314
6, 1.254093
16, 0.871371
19, 0.129544
18, 0.362538
20, -0.106623
22, -0.563902
22, -0.339769
24, -1.011840
26, -1.152798
23, -0.849669
26, -1.309720
27, -1.419053
