ID, Distance
2, 0.531672
3, 0.775831
5, 1.198881
4, 1.000168
6, 1.366830
7, 1.499671
8, 1.593967
0, 1.658231
10, 1.647280
1, 1.626536
2, 1.553016
3, 1.439571
4, 1.289137
5, 1.105604
6, 0.893720
8, 0.407411
7, 0.658965
-1, 0.145564
20, -0.119801
21, -0.381823
22, -0.633722
24, -1.081524
23, -0.868984
25, -1.265843
26, -1.417175
27, -1.531605
28, -1.606173
30, -1.638951
20, -1.629091
21, -1.576847
23, -1.351677
22, -1.483571
24, -1.184574
25, -0.986586
26, -0.762833
27, -0.519104
28, -0.261702
19, 0.002715
1, 0.274007
0, 0.009500
3, 0.775831
2, 0.531672
5, 1.198858
7, 1.499481
8, 1.593776
6, 1.366477
0, 1.658215
4, 1.001394
3, 1.439946
1, 1.626499
4, 1.287988
7, 0.658965
6, 0.893720
5, 1.106753
10, 1.641730
2, 1.552989
8, 0.407411
-1, 0.145564
20, -0.119801
24, -1.082676
25, -1.264691
26, -1.417554
28, -1.606009
30, -1.633468
20, -1.629069
21, -1.576658
22, -1.483384
23, -1.351320
26, -0.762833
27, -0.519104
21, -0.381823
28, -0.261702
27, -1.531577
24, -1.184551
22, -0.633722
19, 0.002715
23, -0.868984
25, -0.987808
1, 0.274004
4, 1.003762
2, 0.531617
6, 1.365233
3, 0.775823
8, 1.587611
2, 1.551972
4, 1.285734
0, 0.009500
5, 1.107386
7, 0.658960
8, 0.407408
6, 0.893712
-1, 0.145564
20, -0.119800
23, -0.868975
25, -1.263598
26, -1.418241
24, -1.083295
27, -1.529884
28, -1.599154
20, -1.621930
21, -1.574608
22, -1.482328
24, -1.184139
27, -0.519100
19, 0.002715
7, 1.497877
10, 1.630954
0, 1.652840
1, 1.624334
3, 1.440644
21, -0.381820
22, -0.633717
30, -1.622795
23, -1.350198
26, -0.762827
25, -0.990172
5, 1.198399
28, -0.261699
0, 0.009500
1, 0.273993
2, 0.531387
3, 0.775742
4, 1.006187
2, 1.550020
10, 1.620750
1, 1.620212
7, 1.494749
3, 1.439946
0, 1.642362
6, 0.893630
5, 1.107088
8, 1.578404
7, 0.658944
4, 1.283834
6, 1.363235
5, 1.197642
8, 0.407400
-1, 0.145561
20, -0.119797
20, -1.612461
28, -1.589632
25, -1.262816
26, -1.416764
24, -1.183485
21, -1.570641
24, -1.082959
21, -0.381811
22, -1.480369
23, -0.868880
22, -0.633699
27, -1.526538
23, -1.348486
30, -1.612630
26, -0.762802
25, -0.992597
27, -0.519085
28, -0.261690
19, 0.002715
0, 0.009500
1, 0.273965
2, 0.531030
10, 1.611267
5, 1.196541
3, 0.775496
4, 1.008771
8, 1.568742
6, 1.360412
7, 1.489852
0, 1.631727
1, 1.613897
2, 1.546938
3, 1.437814
4, 1.282254
5, 1.107248
6, 0.893382
7, 0.658849
8, 0.407378
-1, 0.145555
20, -0.119789
21, -0.381786
22, -0.633540
23, -0.868597
24, -1.083069
26, -1.414123
25, -1.261243
27, -1.521084
28, -1.579969
30, -1.603116
20, -1.602797
21, -1.564526
23, -1.346165
22, -1.477726
24, -1.182560
25, -0.995229
26, -0.762570
27, -0.518995
19, 0.002715
28, -0.261664
0, 0.009500
1, 0.273813
5, 1.195194
6, 1.356693
7, 1.483175
8, 1.559060
10, 1.601819
0, 1.622201
1, 1.605380
3, 1.434629
2, 1.542658
4, 1.280378
5, 1.106375
7, 0.658623
8, 0.407299
-1, 0.145542
20, -0.119772
22, -0.633332
23, -0.868189
24, -1.082093
26, -1.410077
25, -1.259333
27, -1.513666
30, -1.593635
21, -1.556355
20, -1.593114
22, -1.473404
24, -1.181441
25, -0.998182
23, -1.343192
26, -0.762247
27, -0.518781
28, -0.261526
19, 0.002715
2, 0.530565
3, 0.775175
4, 1.011609
6, 0.893059
21, -0.381658
28, -1.570286
1, 0.273619
0, 0.009500
2, 0.529988
3, 0.774675
5, 1.193255
4, 1.014465
6, 1.352042
7, 1.474780
10, 1.592264
0, 1.612726
8, 1.549365
2, 1.536960
1, 1.595723
3, 1.430508
4, 1.278260
6, 0.892557
5, 1.105162
7, 0.658333
-1, 0.145519
8, 0.407139
20, -0.119742
21, -0.381492
22, -0.633013
23, -0.867687
24, -1.080744
25, -1.257096
26, -1.404768
27, -1.504353
21, -1.546705
28, -1.560591
20, -1.583418
24, -1.179863
25, -1.001164
23, -1.339543
22, -1.467996
30, -1.584070
26, -0.761817
27, -0.518507
28, -0.261349
19, 0.002715
1, 0.273378
0, 0.009500
2, 0.529306
3, 0.774046
8, 1.539669
5, 1.190931
4, 1.017313
10, 1.582584
6, 1.346437
7, 1.465131
0, 1.603267
1, 1.586046
2, 1.529983
3, 1.425434
4, 1.275981
5, 1.103646
6, 0.891925
8, 0.406945
7, 0.657970
-1, 0.145481
20, -0.119685
21, -0.381296
22, -0.632612
23, -0.866963
24, -1.079054
25, -1.254425
26, -1.398584
27, -1.494698
28, -1.550896
30, -1.574406
20, -1.573722
21, -1.537036
22, -1.461482
23, -1.335205
24, -1.177986
25, -1.004151
26, -0.761309
27, -0.518162
28, -0.261141
19, 0.002715
0, 0.009500
2, 0.528517
1, 0.273100
3, 0.773276
8, 1.529984
0, 1.593603
1, 1.576356
5, 1.188206
2, 1.521758
4, 1.019805
10, 1.572888
6, 1.339795
7, 1.455463
3, 1.419460
5, 1.101809
6, 0.891153
7, 0.657553
4, 1.273265
8, 0.406714
20, -0.119595
-1, 0.145426
21, -0.381035
22, -0.632149
23, -0.866084
24, -1.077003
25, -1.250933
26, -1.391421
27, -1.485025
28, -1.541211
20, -1.564038
21, -1.527353
22, -1.453892
23, -1.330413
24, -1.175798
25, -1.006980
26, -0.760620
27, -0.517765
28, -0.260865
19, 0.002715
30, -1.564728
0, 0.009500
1, 0.272743
2, 0.527624
5, 1.185081
0, 1.583920
4, 1.022093
10, 1.563186
8, 1.520318
6, 1.332183
3, 0.772409
1, 1.566663
7, 1.445783
3, 1.413036
6, 0.890284
4, 1.270229
5, 1.099663
2, 1.512392
7, 0.657013
8, 0.406453
-1, 0.145352
20, -0.119486
21, -0.380742
22, -0.631551
23, -0.865042
25, -1.246762
24, -1.074596
30, -1.555043
26, -1.383381
21, -1.517665
27, -1.475341
22, -1.445280
24, -1.173296
20, -1.554379
23, -1.324481
25, -1.009502
26, -0.759807
27, -0.517251
28, -0.260555
19, 0.002715
28, -1.531546
0, 0.009500
1, 0.272330
3, 0.771316
2, 0.526628
5, 1.181540
4, 1.024141
6, 1.324034
10, 1.553490
7, 1.436099
8, 1.510680
0, 1.574227
1, 1.556979
2, 1.502840
3, 1.405980
4, 1.266454
5, 1.097208
6, 0.889190
7, 0.656391
8, 0.406129
-1, 0.145257
20, -0.119359
21, -0.380380
22, -0.630861
23, -0.863829
24, -1.071832
25, -1.241863
26, -1.374795
27, -1.465656
28, -1.521909
30, -1.545358
20, -1.544750
21, -1.507983
22, -1.435715
23, -1.317875
24, -1.170484
25, -1.011843
26, -0.758864
27, -0.516658
28, -0.260171
19, 0.002715
0, 0.009500
3, 0.770076
2, 0.525528
1, 0.271877
4, 1.026018
10, 1.543824
5, 1.094452
4, 1.262128
3, 1.398385
2, 1.493122
5, 1.177208
7, 1.426419
8, 1.501062
6, 1.315454
0, 1.564531
1, 1.547311
6, 0.887951
8, 0.405775
7, 0.655709
20, -0.119216
23, -0.862500
22, -0.630073
26, -1.365016
24, -1.068714
27, -1.455977
28, -1.512291
25, -1.236288
30, -1.535680
20, -1.535137
21, -0.379968
21, -1.498313
22, -1.426061
23, -1.310972
24, -1.167459
25, -1.013980
26, -0.757831
27, -0.516008
28, -0.259735
19, 0.002715
-1, 0.145143
2, 0.524325
0, 0.009500
1, 0.271338
3, 0.768683
4, 1.027527
5, 1.172466
10, 1.534193
4, 1.257195
0, 1.554843
2, 1.483384
8, 1.491457
1, 1.537662
6, 1.305966
7, 1.416749
6, 0.887860
7, 0.654897
5, 1.091500
8, 0.405358
3, 1.390429
-1, 0.145013
20, -0.119060
22, -0.629218
23, -0.862229
24, -1.065367
26, -1.355187
27, -1.446310
28, -1.502686
30, -1.526016
20, -1.525533
21, -1.488659
23, -1.303604
22, -1.416391
21, -0.379521
24, -1.163553
25, -1.015910
26, -0.756595
27, -0.515233
28, -0.259262
25, -1.230280
19, 0.002715
2, 0.523019
0, 0.009500
3, 0.767132
1, 0.270741
4, 1.028434
5, 1.167099
8, 1.481856
6, 1.296260
10, 1.524579
4, 1.251906
6, 0.888842
3, 1.381666
7, 1.407094
0, 1.545182
1, 1.528032
2, 1.473646
7, 0.653999
8, 0.404895
21, -0.378999
20, -0.118890
5, 1.088104
22, -0.628214
23, -0.863014
24, -1.061495
25, -1.223293
26, -1.345348
28, -1.493085
30, -1.516372
20, -1.515930
21, -1.479023
22, -1.406711
23, -1.295834
24, -1.159130
25, -1.017695
26, -0.755227
27, -0.514376
28, -0.258709
19, 0.002715
-1, 0.144869
27, -1.436660
1, 0.270102
0, 0.009500
3, 0.765476
4, 1.028839
2, 0.521611
5, 1.161379
8, 1.472252
10, 1.514977
6, 0.889865
1, 1.518418
7, 1.397455
0, 1.535553
2, 1.463965
5, 1.084537
3, 1.372440
7, 0.653011
6, 1.286524
4, 1.245795
-1, 0.144714
21, -0.378426
20, -0.118706
23, -0.863828
24, -1.057415
25, -1.215669
26, -1.335724
27, -1.427025
28, -1.483482
30, -1.506747
20, -1.506319
21, -1.469400
22, -1.397028
23, -1.287635
