ID, Distance
0, 1.647280
1, 1.626536
2, 1.553016
3, 1.439571
6, 0.893720
4, 1.289137
8, 0.407411
7, 0.658965
5, 1.105604
-1, 0.145564
21, -0.381823
20, -0.119801
22, -0.633722
24, -1.081524
25, -1.265843
22, -1.483571
26, -1.417175
21, -1.576847
30, -1.638951
27, -1.531605
23, -0.868984
28, -1.606173
20, -1.629091
26, -0.762833
28, -0.261702
19, 0.002715
23, -1.351677
25, -0.986586
24, -1.184574
27, -0.519104
2, 0.531672
1, 0.274007
0, 0.009500
3, 0.775831
8, 1.593776
0, 1.658215
5, 1.198858
10, 1.641730
7, 1.499481
4, 1.001394
6, 1.366477
2, 1.552989
3, 1.439946
1, 1.626499
4, 1.287988
7, 0.658965
6, 0.893720
5, 1.106753
8, 0.407411
-1, 0.145564
20, -0.119801
23, -0.868984
25, -1.264691
30, -1.633468
20, -1.629069
23, -1.351320
22, -1.483384
22, -0.633722
26, -1.417554
25, -0.987808
24, -1.082676
27, -0.519104
21, -0.381823
28, -1.606009
26, -0.762833
24, -1.184551
28, -0.261702
19, 0.002715
21, -1.576658
27, -1.531577
1, 0.268590
3, 0.770414
4, 0.998132
7, 1.492091
10, 1.630954
5, 1.191652
2, 0.526255
0, 0.009500
6, 1.358717
1, 1.619122
2, 1.545741
0, 1.652658
4, 1.279010
5, 1.102039
6, 0.888303
7, 0.653548
8, 0.401994
-1, 0.140148
20, -0.114421
22, -0.628342
23, -0.863604
24, -1.078001
25, -1.257149
26, -1.412972
27, -1.524356
28, -1.598716
30, -1.622795
20, -1.621924
21, -1.569302
22, -1.476036
3, 1.435320
23, -1.343586
25, -0.984574
26, -0.757454
27, -0.513724
28, -0.256322
24, -1.177385
19, 0.002715
8, 1.586367
21, -0.376443
1, 0.258015
0, 0.009500
3, 0.759839
2, 0.515680
4, 0.987959
5, 1.181988
6, 1.349031
0, 1.641856
7, 1.482433
10, 1.620750
1, 1.610039
2, 1.537530
3, 1.428412
4, 1.271085
6, 0.883332
7, 0.649256
5, 1.095294
8, 0.398366
-1, 0.137141
20, -0.111998
21, -0.373398
22, -0.624633
23, -0.859216
24, -1.071835
25, -1.250243
26, -1.406656
8, 1.576708
28, -1.590394
27, -1.516873
30, -1.612630
20, -1.612439
22, -1.466377
23, -1.333899
25, -0.974399
26, -0.746918
27, -0.503188
28, -0.245786
19, 0.002715
24, -1.167723
21, -1.559644
1, 0.247310
0, 0.009500
2, 0.504976
3, 0.749135
5, 1.172301
4, 0.977630
8, 1.567027
6, 1.339316
10, 1.611267
1, 1.600362
0, 1.631889
3, 1.417980
4, 1.262068
20, -0.113096
-1, 0.137229
21, -0.373405
23, -0.856861
22, -0.623473
24, -1.064789
25, -1.242581
26, -1.397519
28, -1.580738
27, -0.492522
20, -1.602775
30, -1.603116
21, -1.549963
28, -0.235119
25, -0.964072
26, -0.736251
24, -1.158036
23, -1.324184
2, 1.527869
5, 1.087300
6, 0.879959
8, 0.397360
7, 1.472752
7, 0.647080
22, -1.456698
27, -1.507215
19, 0.002715
2, 0.495489
1, 0.237824
3, 0.739648
5, 1.162597
0, 0.009500
6, 1.329586
4, 0.967667
7, 1.463056
0, 1.622223
10, 1.601819
8, 1.557330
3, 1.408436
2, 1.518185
5, 1.079718
4, 1.251169
7, 0.644160
6, 0.875579
8, 0.395865
-1, 0.137040
20, -0.114119
22, -0.621790
23, -0.853690
21, -0.373122
25, -1.234062
24, -1.058471
26, -1.388366
27, -1.497535
28, -1.571063
20, -1.593092
30, -1.593635
22, -1.447002
23, -1.314454
21, -1.540267
24, -1.148334
25, -0.954111
26, -0.726730
27, -0.483001
28, -0.225598
19, 0.002715
1, 1.590661
0, 0.009500
2, 0.486065
1, 0.228399
4, 0.958137
3, 0.730224
5, 1.152890
7, 1.453354
10, 1.592264
1, 1.580946
6, 1.319859
8, 1.547629
2, 1.508487
0, 1.612536
5, 1.070790
6, 0.871479
7, 0.642605
8, 0.396069
3, 1.398938
4, 1.241802
-1, 0.138847
20, -0.117397
21, -0.374801
22, -0.621756
23, -0.851802
25, -1.225562
26, -1.378659
27, -1.487840
28, -1.561374
20, -1.583396
30, -1.584070
23, -1.304726
22, -1.437301
26, -0.717261
24, -1.138627
25, -0.944580
27, -0.473532
28, -0.216130
19, 0.002715
24, -1.051124
21, -1.530566
0, 0.009500
1, 0.218991
2, 0.476656
3, 0.720815
5, 1.143193
4, 0.948638
5, 1.061556
7, 1.443661
3, 1.389454
4, 1.232530
8, 0.396188
6, 0.867973
7, 0.640551
2, 1.498788
6, 1.310186
10, 1.582584
0, 1.602837
1, 1.571235
-1, 0.141076
8, 1.537935
21, -0.376514
22, -0.621618
24, -1.043702
20, -0.121338
26, -1.368921
27, -1.478140
28, -1.551681
30, -1.574406
20, -1.573700
21, -1.520872
22, -1.427607
23, -1.295053
24, -1.128930
25, -0.935079
23, -0.849339
26, -0.707809
27, -0.464080
28, -0.206677
25, -1.216566
19, 0.002715
2, 0.466970
5, 1.133533
4, 0.939067
6, 1.300574
8, 1.528273
7, 1.433998
0, 1.593139
2, 1.489098
4, 1.223073
6, 0.864484
5, 1.052131
7, 0.639324
8, 0.397375
-1, 0.143772
20, -0.125813
21, -0.379437
22, -0.622518
23, -0.847552
24, -1.036082
25, -1.207350
26, -1.359173
27, -1.468449
30, -1.564728
20, -1.564015
22, -1.417945
21, -1.511209
24, -1.119270
23, -1.285442
25, -0.925579
26, -0.698142
27, -0.454412
28, -0.197010
19, 0.002715
0, 0.009500
1, 0.209304
3, 0.711128
1, 1.561564
10, 1.572888
3, 1.379800
28, -1.541995
0, 0.009500
1, 0.199594
2, 0.457259
3, 0.701418
4, 0.929410
3, 1.370130
2, 1.479439
5, 1.042591
6, 0.861013
4, 1.213393
7, 0.638306
8, 0.398477
-1, 0.146896
20, -0.130777
21, -0.382425
22, -0.623302
23, -0.845882
24, -1.028416
25, -1.198058
26, -1.349480
27, -1.458777
28, -1.532325
30, -1.555043
20, -1.554357
21, -1.501581
22, -1.408316
23, -1.275851
6, 1.290983
7, 1.424370
24, -1.109649
25, -0.915899
26, -0.688455
8, 1.518645
27, -0.444726
28, -0.187324
19, 0.002715
0, 1.583453
1, 1.551938
10, 1.563186
5, 1.123913
2, 0.447538
1, 0.189873
0, 0.009500
5, 1.114312
4, 0.919741
8, 1.509036
2, 1.469811
1, 1.542331
6, 1.281400
7, 1.414760
10, 1.553490
4, 1.203696
0, 1.573795
5, 1.032998
3, 0.691697
6, 0.857551
7, 0.637433
-1, 0.150317
20, -0.136084
3, 1.360449
21, -0.385573
23, -0.844264
24, -1.020723
25, -1.188626
26, -1.339851
27, -1.449140
30, -1.545358
28, -1.522676
21, -1.491971
20, -1.544728
22, -1.398705
23, -1.266268
8, 0.399581
24, -1.100047
25, -0.906196
26, -0.678758
28, -0.177627
19, 0.002715
27, -0.435029
22, -0.624083
2, 0.437820
3, 0.681979
1, 0.180155
0, 0.009500
4, 0.910062
5, 1.104720
7, 1.405160
6, 1.271810
3, 1.350765
1, 1.532733
5, 1.023387
10, 1.543824
0, 1.564167
8, 1.499435
2, 1.460200
6, 0.854095
7, 0.636693
20, -0.141671
4, 1.193993
22, -0.625356
21, -0.389087
23, -0.842671
24, -1.013008
25, -1.179161
26, -1.330239
27, -1.439524
28, -1.513046
21, -1.482370
30, -1.535680
20, -1.535115
22, -1.389104
23, -1.256679
24, -1.090453
25, -0.896481
26, -0.669060
27, -0.425331
8, 0.401183
-1, 0.153898
19, 0.002715
28, -0.167929
3, 0.672308
2, 0.428149
0, 0.009500
1, 0.170484
4, 0.900381
5, 1.095123
3, 1.341083
4, 1.184294
7, 0.636061
0, 1.554555
8, 0.402924
