ID, Distance
3, 0.775831
2, 0.531672
4, 1.000168
5, 1.198881
6, 1.366830
7, 1.499671
8, 1.593967
10, 1.647280
0, 1.658231
1, 1.626536
2, 1.553016
3, 1.439571
4, 1.289137
5, 1.105604
6, 0.893720
8, 0.407411
7, 0.658965
20, -0.119801
22, -0.633722
26, -1.417175
-1, 0.145564
27, -1.531605
24, -1.081524
21, -0.381823
23, -0.868984
25, -1.265843
28, -1.606173
30, -1.638951
22, -1.483571
26, -0.762833
24, -1.184574
21, -1.576847
23, -1.351677
20, -1.629091
25, -0.986586
27, -0.519104
28, -0.261702
19, 0.002715
0, 0.009500
1, 0.274007
3, 0.775831
2, 0.531672
4, 1.005037
5, 1.198445
6, 1.365025
7, 1.498861
8, 1.593152
10, 1.639751
0, 1.657929
1, 1.625830
2, 1.552508
3, 1.441478
4, 1.284571
5, 1.110165
6, 0.893720
7, 0.658965
8, 0.407411
20, -0.119801
-1, 0.145564
21, -0.381823
22, -0.633722
23, -0.868984
24, -1.086103
25, -1.261268
26, -1.419106
27, -1.531085
28, -1.605463
30, -1.631440
20, -1.628694
21, -1.576039
22, -1.482773
23, -1.349854
24, -1.184146
25, -0.991448
26, -0.762833
27, -0.519104
28, -0.261702
19, 0.002715
0, 0.009500
1, 0.274001
2, 0.531663
3, 0.775816
5, 1.197047
4, 1.007872
6, 1.361023
7, 1.494676
8, 1.583361
10, 1.628966
0, 1.648259
1, 1.620745
2, 1.549973
3, 1.439809
4, 1.280534
5, 1.112788
6, 0.893705
7, 0.658956
8, 0.407406
-1, 0.145563
20, -0.119800
21, -0.381818
22, -0.633712
23, -0.868967
24, -1.088696
25, -1.257097
26, -1.417304
27, -1.527170
30, -1.620641
21, -1.570946
28, -1.595698
22, -1.479707
20, -1.619005
23, -1.346076
24, -1.182849
25, -0.994293
26, -0.762820
28, -0.261697
27, -0.519096
19, 0.002715
1, 0.273980
0, 0.009500
2, 0.531560
3, 0.775635
5, 1.195144
4, 1.007676
6, 1.355143
7, 1.487173
8, 1.573502
10, 1.618185
0, 1.638547
1, 1.611520
3, 1.433213
2, 1.545399
4, 1.277908
5, 1.112465
6, 0.893522
7, 0.658859
8, 0.407390
-1, 0.145558
21, -0.381799
20, -0.119794
22, -0.633603
23, -0.868646
24, -1.088283
25, -1.254228
26, -1.410338
27, -1.519796
28, -1.585872
30, -1.609856
20, -1.609271
21, -1.561812
22, -1.474564
23, -1.340750
24, -1.181161
25, -0.994169
26, -0.762663
27, -0.519005
28, -0.261677
19, 0.002715
0, 0.009500
1, 0.273783
2, 0.531255
3, 0.775114
10, 1.608571
4, 1.007332
2, 1.538398
7, 1.477472
8, 1.563620
6, 1.347436
5, 1.192430
0, 1.628815
1, 1.601817
4, 1.274198
3, 1.426360
5, 1.111957
6, 0.892998
7, 0.658571
8, 0.407291
-1, 0.145546
20, -0.119777
21, -0.381632
22, -0.633281
23, -0.868178
25, -1.250119
24, -1.087619
20, -1.599514
30, -1.600242
28, -1.576022
26, -1.401708
27, -1.510117
23, -1.334054
21, -1.552101
24, -1.178812
25, -0.993955
27, -0.518732
26, -0.762210
28, -0.261498
19, 0.002715
22, -1.467132
0, 0.009500
1, 0.273505
2, 0.530818
3, 0.774383
4, 1.004026
8, 1.553989
6, 1.337760
10, 1.598985
7, 1.467738
5, 1.189032
0, 1.619079
1, 1.592083
2, 1.528738
3, 1.416687
4, 1.270574
5, 1.108683
22, -0.632820
26, -1.391915
28, -1.566295
30, -1.590655
23, -1.325825
22, -1.457458
7, 0.658156
21, -1.542358
25, -1.245839
21, -0.381415
27, -1.500411
20, -1.589757
6, 0.892262
-1, 0.145520
20, -0.119723
24, -1.175945
24, -1.084132
23, -0.867339
8, 0.407058
26, -0.761570
25, -0.990829
28, -0.261244
19, 0.002715
27, -0.518339
3, 0.773405
0, 0.009500
2, 0.530280
1, 0.273164
6, 1.328056
4, 1.000758
5, 1.184867
7, 1.457988
8, 1.544381
2, 1.519053
1, 1.582336
5, 1.105336
3, 1.406987
0, 1.609398
10, 1.589415
4, 1.266640
7, 0.657645
8, 0.406760
6, 0.891280
20, -0.119610
22, -0.632200
21, -0.381083
23, -0.866224
24, -1.080546
25, -1.241064
27, -1.490688
28, -1.556710
-1, 0.145455
20, -1.580124
22, -1.447756
26, -1.382344
26, -0.760713
21, -1.532602
19, 0.002715
30, -1.581086
23, -1.316161
25, -0.987889
27, -0.517854
24, -1.172461
28, -0.260931
2, 0.529502
0, 0.009500
3, 0.772157
1, 0.272676
4, 0.996882
7, 1.448246
6, 1.318339
5, 1.179890
0, 1.599780
4, 1.260574
8, 1.534788
10, 1.579848
6, 0.890027
-1, 0.145339
8, 0.406386
1, 1.572600
20, -0.119476
21, -0.380665
22, -0.631464
2, 1.509353
24, -1.076166
23, -0.864806
25, -1.234055
26, -1.372798
27, -1.480967
3, 1.397270
28, -1.547149
30, -1.571518
20, -1.570513
21, -1.522906
22, -1.438040
23, -1.306521
24, -1.168333
25, -0.984394
26, -0.759619
27, -0.517152
5, 1.101370
28, -0.260482
19, 0.002715
7, 0.656908
2, 0.528558
1, 0.272085
0, 0.009500
4, 0.991528
3, 0.770621
6, 1.308623
5, 1.172312
4, 1.253126
1, 1.562977
5, 1.095968
-1, 0.145201
8, 0.405956
10, 1.570197
7, 1.438621
8, 1.525200
2, 1.499649
6, 0.888488
3, 1.387552
0, 1.590182
7, 0.656014
20, -0.119314
23, -0.863065
22, -0.630460
21, -0.380185
25, -1.225521
27, -1.471293
28, -1.537594
30, -1.561868
20, -1.560917
21, -1.513281
22, -1.428324
23, -1.296948
24, -1.162297
25, -0.979553
26, -0.758360
27, -0.516301
28, -0.259938
24, -1.070123
19, 0.002715
26, -1.363255
2, 0.527437
1, 0.271382
0, 0.009500
3, 0.768891
4, 0.985371
5, 1.163202
6, 1.298949
7, 1.429021
10, 1.560532
8, 0.405401
1, 1.553379
3, 1.377875
22, -0.629275
25, -1.215864
-1, 0.145043
23, -0.860987
2, 1.489955
5, 1.089818
24, -1.063274
30, -1.552203
20, -0.119105
26, -1.353602
21, -0.379562
27, -1.461672
0, 1.580593
4, 1.244049
8, 1.515605
6, 0.886754
7, 0.654952
28, -1.527983
21, -1.503675
20, -1.551326
22, -1.418650
23, -1.287412
24, -1.154002
