ID, Distance
1, 0.274007
2, 0.531672
3, 0.775831
5, 1.000168
5, 1.198881
6, 1.366830
7, 1.499671
8, 1.593967
-1, 1.647280
10, 1.658231
11, 1.626536
12, 1.553016
13, 1.439571
15, 1.289137
15, 1.105604
16, 0.893720
17, 0.658965
18, 0.407411
20, -0.119801
21, -0.381823
9, 0.145564
22, -0.633722
23, -0.868984
25, -1.081524
25, -1.265843
26, -1.417175
27, -1.531605
28, -1.606173
19, -1.638951
30, -1.629091
31, -1.576847
32, -1.483571
33, -1.351677
35, -1.184574
35, -0.986586
36, -0.762833
37, -0.519104
38, -0.261702
29, 0.002715
2, 0.531672
0, 0.009500
1, 0.274007
3, 0.775831
5, 0.998456
6, 1.365025
5, 1.198445
7, 1.498861
10, 1.657929
-1, 1.646875
8, 1.593152
12, 1.552508
11, 1.625830
13, 1.441478
15, 1.281608
15, 1.110165
18, 0.407411
16, 0.893720
17, 0.658965
20, -0.119801
9, 0.145564
21, -0.381823
22, -0.633722
23, -0.868984
25, -1.261268
26, -1.419106
27, -1.531085
28, -1.605463
30, -1.628694
19, -1.638647
31, -1.576039
32, -1.482773
33, -1.349854
35, -1.177063
36, -0.762833
35, -0.991448
37, -0.519104
29, 0.002715
38, -0.261702
25, -1.078985
1, 0.267419
0, 0.009500
2, 0.525084
5, 0.995137
6, 1.355215
3, 0.769243
5, 1.189010
7, 1.489071
-1, 1.637500
8, 1.583361
10, 1.648259
12, 1.542795
11, 1.616067
13, 1.437465
15, 1.270823
15, 1.109085
16, 0.886195
17, 0.651440
23, -0.861875
20, -0.112692
21, -0.374713
22, -0.626612
25, -1.251079
26, -1.415172
25, -1.074056
9, 0.138039
18, 0.399886
28, -1.595698
27, -1.521368
19, -1.628977
30, -1.619005
31, -1.566249
33, -1.340041
35, -1.166264
32, -1.472985
35, -0.990738
36, -0.755327
37, -0.511597
38, -0.254195
29, 0.002715
0, 0.009500
1, 0.262452
2, 0.519701
3, 0.763208
5, 1.179302
5, 0.991489
6, 1.345336
7, 1.479214
8, 1.573502
-1, 1.627797
10, 1.638547
11, 1.606243
12, 1.533033
13, 1.426054
15, 1.260042
15, 1.098249
16, 0.877269
17, 0.642907
18, 0.391852
9, 0.130333
20, -0.106925
21, -0.368623
23, -0.854552
25, -1.068590
22, -0.620027
25, -1.240733
26, -1.403797
27, -1.511603
28, -1.585872
19, -1.619264
30, -1.609271
32, -1.463131
33, -1.330159
31, -1.556391
35, -1.155479
36, -0.747643
35, -0.979937
37, -0.504225
38, -0.247245
29, 0.002715
0, 0.009500
1, 0.260246
2, 0.516760
3, 0.759116
5, 0.986962
5, 1.169563
6, 1.335436
7, 1.469332
8, 1.563620
-1, 1.618065
12, 1.523247
11, 1.596395
10, 1.628815
13, 1.415914
15, 1.250428
15, 1.087087
16, 0.867272
17, 0.633571
18, 0.383332
20, -0.103880
21, -0.365012
9, 0.122346
22, -0.615540
23, -0.846933
25, -1.061900
25, -1.230766
27, -1.501813
26, -1.393668
28, -1.576022
30, -1.599514
19, -1.609531
31, -1.546510
32, -1.453253
35, -1.145865
35, -0.968833
33, -1.320256
36, -0.739724
37, -0.498787
38, -0.242550
29, 0.002715
0, 0.009500
1, 0.257261
2, 0.512783
5, 0.981819
3, 0.753939
5, 1.159812
6, 1.325820
