ID, Distance
5, 1.000168
3, 0.775831
5, 1.198881
7, 1.499671
6, 1.366830
10, 1.658231
11, 1.626536
12, 1.553016
-1, 1.647280
8, 1.593967
13, 1.439571
15, 1.289137
15, 1.105604
17, 0.658965
9, 0.145564
16, 0.893720
20, -0.119801
21, -0.381823
22, -0.633722
18, 0.407411
23, -0.868984
25, -1.081524
25, -1.265843
26, -1.417175
27, -1.531605
28, -1.606173
30, -1.629091
19, -1.638951
35, -1.184574
33, -1.351677
36, -0.762833
32, -1.483571
37, -0.519104
29, 0.002715
38, -0.261702
31, -1.576847
35, -0.986586
3, 0.775831
2, 0.531672
0, 0.009500
1, 0.274007
5, 0.998456
5, 1.198445
6, 1.365025
7, 1.498861
8, 1.593152
15, 1.110165
11, 1.625830
12, 1.552508
10, 1.657929
15, 1.281608
-1, 1.646875
13, 1.441478
18, 0.407411
16, 0.893720
9, 0.145564
17, 0.658965
21, -0.381823
20, -0.119801
22, -0.633722
23, -0.868984
25, -1.078985
26, -1.419106
25, -1.261268
27, -1.531085
28, -1.605463
19, -1.638647
30, -1.628694
31, -1.576039
32, -1.482773
33, -1.349854
35, -1.177063
35, -0.991448
36, -0.762833
37, -0.519104
38, -0.261702
29, 0.002715
1, 0.267419
2, 0.525084
0, 0.009500
3, 0.769243
5, 0.995137
12, 1.542795
13, 1.437465
8, 1.583361
10, 1.648259
5, 1.189010
-1, 1.637500
7, 1.489071
11, 1.616067
6, 1.355215
16, 0.886195
15, 1.270823
15, 1.109085
18, 0.399886
9, 0.138039
17, 0.651440
20, -0.112692
21, -0.374713
22, -0.626612
23, -0.861875
25, -1.074056
25, -1.251079
26, -1.415172
27, -1.521368
28, -1.595698
19, -1.628977
30, -1.619005
32, -1.472985
36, -0.755327
29, 0.002715
37, -0.511597
31, -1.566249
35, -0.990738
35, -1.166264
33, -1.340041
38, -0.254195
1, 0.263219
0, 0.009500
2, 0.520276
5, 1.179302
5, 0.991489
-1, 1.627797
7, 1.479214
12, 1.533033
8, 1.573502
10, 1.638547
11, 1.606243
3, 0.763591
6, 1.345336
13, 1.426054
15, 1.260042
15, 1.098249
17, 0.646024
18, 0.396545
16, 0.878826
9, 0.135657
20, -0.107273
22, -0.620235
21, -0.368902
23, -0.854691
25, -1.068590
25, -1.240733
26, -1.403797
27, -1.511603
28, -1.585872
29, 0.002715
32, -1.463131
38, -0.247056
33, -1.330159
36, -0.747580
19, -1.619264
30, -1.609271
37, -0.504099
35, -1.155479
31, -1.556391
35, -0.979937
2, 0.518342
0, 0.009500
1, 0.262356
3, 0.760170
5, 0.986962
6, 1.335436
5, 1.169563
11, 1.596395
13, 1.415914
7, 1.469332
-1, 1.618065
8, 1.563620
12, 1.523247
15, 1.087087
10, 1.628815
16, 0.873345
17, 0.643980
15, 1.250428
18, 0.398136
9, 0.136216
20, -0.104834
21, -0.365775
22, -0.616112
23, -0.847295
25, -1.061900
25, -1.230766
26, -1.393668
19, -1.609531
27, -1.501813
28, -1.576022
30, -1.599514
31, -1.546510
33, -1.320256
32, -1.453253
35, -1.145865
36, -0.739566
35, -0.968833
37, -0.498450
38, -0.242044
29, 0.002715
2, 0.515663
0, 0.009500
1, 0.260954
3, 0.755757
5, 0.981819
8, 1.553989
5, 1.159812
6, 1.325820
-1, 1.608320
12, 1.513464
11, 1.586668
13, 1.406250
10, 1.619079
7, 1.459701
15, 1.240842
15, 1.077032
16, 0.866537
17, 0.641291
18, 0.399973
9, 0.132395
20, -0.101522
21, -0.361639
23, -0.841454
22, -0.610556
25, -1.054458
25, -1.221241
26, -1.383972
27, -1.492027
28, -1.566295
19, -1.599795
30, -1.589757
31, -1.536879
33, -1.310641
32, -1.443620
35, -0.958796
38, -0.235719
36, -0.733163
35, -1.136278
29, 0.002715
37, -0.491241
0, 0.009500
1, 0.261723
10, 1.609398
2, 0.514867
7, 1.450092
5, 1.150116
3, 0.751981
6, 1.316230
8, 1.544381
-1, 1.598584
5, 0.976187
11, 1.577082
12, 1.503851
13, 1.396564
15, 1.231272
15, 1.068175
16, 0.859534
17, 0.640946
18, 0.405300
9, 0.127692
21, -0.359284
20, -0.100173
22, -0.605421
23, -0.835330
25, -1.046512
25, -1.211748
26, -1.374244
27, -1.482416
28, -1.556710
19, -1.590114
30, -1.580124
31, -1.527270
32, -1.434009
33, -1.301053
35, -1.126709
35, -0.949903
36, -0.726778
37, -0.483892
38, -0.229913
29, 0.002715
0, 0.009500
1, 0.262447
2, 0.513902
3, 0.749198
5, 0.970140
5, 1.140489
6, 1.306655
7, 1.440499
8, 1.534788
-1, 1.588960
10, 1.599780
11, 1.567519
12, 1.494264
13, 1.386865
15, 1.221705
15, 1.058392
16, 0.854001
17, 0.640528
18, 0.411850
9, 0.123663
