ID, Distance
4, 0.775831
4, 1.000168
5, 1.198881
6, 1.366830
7, 1.499671
8, 1.593967
9, 1.647280
10, 1.658231
12, 1.626536
12, 1.553016
13, 1.439571
14, 1.289137
15, 1.105604
16, 0.893720
17, 0.658965
20, 0.145564
18, 0.407411
20, -0.119801
21, -0.381823
22, -0.633722
23, -0.868984
24, -1.081524
25, -1.265843
26, -1.417175
28, -1.531605
29, -1.638951
28, -1.606173
30, -1.629091
31, -1.576847
32, -1.483571
33, -1.351677
34, -1.184574
36, -0.986586
36, -0.762833
37, -0.519104
38, -0.261702
39, 0.002715
1, 0.274007
0, 0.009500
1, 0.274007
4, 1.002607
5, 1.198672
2, 0.531672
7, 1.499274
4, 0.773276
8, 1.593568
6, 1.366106
10, 1.658198
9, 1.647086
12, 1.620738
13, 1.440337
12, 1.552770
14, 1.286851
15, 1.107889
18, 0.407411
17, 0.658965
20, 0.145187
23, -0.868984
20, -0.119801
16, 0.893720
24, -1.083816
22, -0.633722
21, -0.381823
25, -1.263551
26, -1.417951
28, -1.526246
28, -1.605827
29, -1.638918
31, -1.576451
30, -1.628901
32, -1.483181
34, -1.184368
33, -1.350945
36, -0.985932
36, -0.762833
37, -0.519104
38, -0.261702
39, 0.002715
0, 0.009500
1, 0.271457
2, 0.529122
5, 1.194911
4, 0.768311
8, 1.585790
9, 1.639771
10, 1.650950
13, 1.436572
7, 1.495086
4, 1.004361
6, 1.361169
12, 1.609511
12, 1.545333
15, 1.104038
14, 1.278698
16, 0.893343
18, 0.407033
17, 0.658588
20, -0.120179
20, 0.144300
21, -0.382200
22, -0.634099
23, -0.869361
24, -1.080175
25, -1.255734
26, -1.414462
28, -1.515822
28, -1.598534
29, -1.632079
31, -1.569079
30, -1.621995
32, -1.478117
33, -1.345103
34, -1.179730
36, -0.984410
36, -0.759595
38, -0.258463
39, 0.002715
37, -0.515865
0, 0.009500
1, 0.268014
2, 0.524285
4, 0.762791
4, 1.004973
5, 1.189597
10, 1.642221
6, 1.353889
9, 1.631391
7, 1.488204
8, 1.577303
13, 1.427133
12, 1.535665
14, 1.269652
12, 1.599453
15, 1.096642
17, 0.655364
16, 0.892631
18, 0.404589
20, 0.143179
21, -0.382845
20, -0.121066
22, -0.633677
24, -1.074196
23, -0.868333
25, -1.247869
28, -1.505759
26, -1.406255
28, -1.588851
30, -1.612339
29, -1.622399
31, -1.559388
32, -1.471424
33, -1.337514
34, -1.173617
37, -0.509560
36, -0.756624
36, -0.982488
38, -0.252158
39, 0.002715
1, 0.263967
0, 0.009500
2, 0.520440
4, 0.756116
5, 1.182726
4, 1.005773
12, 1.590656
8, 1.567629
9, 1.621735
7, 1.479312
10, 1.632550
6, 1.344725
13, 1.417249
12, 1.525973
14, 1.259925
16, 0.891886
15, 1.086952
17, 0.651129
18, 0.401392
20, 0.141926
20, -0.122186
21, -0.382760
22, -0.632468
23, -0.868669
24, -1.066989
25, -1.239453
30, -1.602661
31, -1.549667
32, -1.462745
28, -1.496217
28, -1.579140
26, -1.396491
29, -1.612691
33, -1.327929
36, -0.980297
34, -1.165677
36, -0.754617
37, -0.502164
38, -0.244762
39, 0.002715
0, 0.009500
1, 0.259736
2, 0.515914
4, 0.748791
4, 1.005645
6, 1.335046
5, 1.174947
7, 1.469647
8, 1.557931
9, 1.612059
10, 1.622856
12, 1.516266
13, 1.407288
14, 1.250160
15, 1.077560
16, 0.891009
17, 0.645752
18, 0.397390
20, 0.140551
20, -0.123440
21, -0.382542
22, -0.631193
23, -0.870486
24, -1.060524
25, -1.230295
26, -1.386679
28, -1.486702
28, -1.569413
29, -1.602966
30, -1.592966
31, -1.539931
32, -1.453082
34, -1.156721
36, -0.977819
33, -1.318248
37, -0.493738
38, -0.236336
36, -0.752037
12, 1.580831
39, 0.002715
0, 0.009500
1, 0.255161
2, 0.510277
4, 0.741031
4, 1.005839
7, 1.459960
5, 1.166440
6, 1.325341
8, 1.548219
9, 1.602369
10, 1.613149
12, 1.570942
12, 1.506555
15, 1.067880
16, 0.889797
14, 1.240383
17, 0.639678
20, 0.139094
18, 0.392882
20, -0.124815
21, -0.382280
23, -0.872747
24, -1.052958
25, -1.220620
26, -1.376853
28, -1.477189
28, -1.559687
30, -1.583264
29, -1.593240
32, -1.443397
31, -1.530197
33, -1.308541
34, -1.147069
36, -0.975087
36, -0.749844
37, -0.484382
13, 1.397478
39, 0.002715
38, -0.226980
22, -0.629408
1, 0.250436
0, 0.009500
2, 0.504459
4, 1.005374
4, 0.732936
6, 1.315625
5, 1.157631
