ID, Distance
1, 0.274007
2, 0.531672
4, 0.775831
4, 1.000168
6, 1.366830
7, 1.499671
8, 1.593967
9, 1.647280
5, 1.198881
12, 1.626536
15, 1.105604
13, 1.439571
10, 1.658231
14, 1.289137
16, 0.893720
12, 1.553016
18, 0.407411
20, -0.119801
17, 0.658965
21, -0.381823
22, -0.633722
23, -0.868984
26, -1.417175
24, -1.081524
28, -1.606173
25, -1.265843
30, -1.629091
31, -1.576847
20, 0.145564
28, -1.531605
34, -1.184574
33, -1.351677
36, -0.762833
37, -0.519104
38, -0.261702
29, -1.638951
32, -1.483571
39, 0.002715
36, -0.986586
0, 0.009500
1, 0.274007
4, 0.773276
4, 1.002607
8, 1.593568
2, 0.531672
6, 1.366106
9, 1.647086
5, 1.198672
10, 1.658198
13, 1.440337
12, 1.620738
14, 1.286851
7, 1.499274
16, 0.893720
17, 0.658965
18, 0.407411
20, 0.145187
22, -0.633722
24, -1.083816
25, -1.263551
26, -1.417951
28, -1.605827
29, -1.638918
30, -1.628901
31, -1.576451
15, 1.107889
33, -1.350945
36, -0.985932
34, -1.184368
37, -0.519104
36, -0.762833
12, 1.552770
38, -0.261702
39, 0.002715
20, -0.119801
21, -0.381823
23, -0.868984
28, -1.526246
32, -1.483181
1, 0.273990
0, 0.009500
2, 0.531366
4, 1.007274
6, 1.364150
8, 1.591855
4, 0.768311
7, 1.497920
12, 1.609511
10, 1.651882
12, 1.547462
5, 1.197910
14, 1.284766
15, 1.109154
16, 0.893707
9, 1.644936
20, -0.119809
21, -0.381820
25, -1.261208
28, -1.515822
26, -1.417124
13, 1.441727
29, -1.637278
28, -1.601085
30, -1.627762
31, -1.575059
33, -1.348866
34, -1.182965
32, -1.481904
17, 0.658956
36, -0.984410
36, -0.762383
37, -0.519080
18, 0.407398
38, -0.261691
20, 0.144300
39, 0.002715
22, -0.633714
23, -0.868968
24, -1.085027
0, 0.009500
1, 0.273678
2, 0.530209
4, 0.762791
4, 1.011331
5, 1.196742
6, 1.361430
7, 1.495766
8, 1.588952
12, 1.599453
9, 1.640853
13, 1.438821
14, 1.283084
10, 1.642751
15, 1.108929
12, 1.538634
16, 0.893553
17, 0.658855
18, 0.407256
20, -0.119889
21, -0.381812
22, -0.633629
23, -0.868782
25, -1.258937
24, -1.084649
26, -1.410530
28, -1.505759
28, -1.593329
29, -1.634170
30, -1.625668
32, -1.479914
31, -1.572846
33, -1.345894
34, -1.180399
36, -0.982510
37, -0.518627
38, -0.261571
20, 0.143179
39, 0.002715
36, -0.760723
4, 0.756116
2, 0.528336
1, 0.273226
0, 0.009500
4, 1.015322
5, 1.195158
6, 1.358039
7, 1.492763
9, 1.634641
8, 1.584742
10, 1.633076
12, 1.528968
14, 1.279766
15, 1.108554
12, 1.590656
16, 0.893114
13, 1.433763
17, 0.658562
18, 0.406868
20, 0.141926
21, -0.381790
20, -0.120118
23, -0.868251
29, -1.629388
22, -0.633377
28, -1.583662
26, -1.400859
30, -1.622487
31, -1.569766
28, -1.496217
24, -1.084007
32, -1.477183
25, -1.254876
33, -1.342103
36, -0.980395
34, -1.176559
36, -0.758087
37, -0.517883
38, -0.261221
39, 0.002715
0, 0.009500
1, 0.272429
2, 0.525714
4, 0.748791
4, 1.019264
5, 1.193296
6, 1.353951
