ID, Distance
2, 0.531672
4, 1.000168
0, 0.009500
4, 0.775831
5, 1.198881
7, 1.499671
6, 1.366830
8, 1.593967
9, 1.647280
10, 1.658231
12, 1.626536
12, 1.553016
14, 1.289137
15, 1.105604
16, 0.893720
13, 1.439571
20, 0.145564
18, 0.407411
17, 0.658965
21, -0.381823
22, -0.633722
23, -0.868984
24, -1.081524
20, -0.119801
26, -1.417175
28, -1.606173
29, -1.638951
31, -1.576847
30, -1.629091
32, -1.483571
33, -1.351677
34, -1.184574
36, -0.986586
36, -0.762833
37, -0.519104
38, -0.261702
25, -1.265843
28, -1.531605
39, 0.002715
2, 0.531672
1, 0.274007
0, 0.009500
4, 0.773276
5, 1.198672
7, 1.499274
6, 1.366106
14, 1.286851
15, 1.107889
9, 1.647086
13, 1.440337
12, 1.620738
8, 1.593568
10, 1.658198
20, 0.145187
4, 1.002607
20, -0.119801
22, -0.633722
12, 1.552770
21, -0.381823
23, -0.868984
25, -1.263551
16, 0.893720
24, -1.083816
26, -1.417951
28, -1.526246
28, -1.605827
29, -1.638918
30, -1.628901
31, -1.576451
17, 0.658965
18, 0.407411
37, -0.519104
36, -0.985932
36, -0.762833
39, 0.002715
32, -1.483181
33, -1.350945
38, -0.261702
34, -1.184368
1, 0.271457
2, 0.529122
4, 0.768311
0, 0.009500
12, 1.609511
4, 1.004361
12, 1.545333
6, 1.361169
9, 1.639771
8, 1.585790
7, 1.495086
10, 1.650950
13, 1.436572
14, 1.278698
18, 0.407033
16, 0.893343
17, 0.658588
20, 0.144300
20, -0.120179
22, -0.634099
21, -0.382200
23, -0.869361
24, -1.080175
25, -1.255734
26, -1.414462
5, 1.194911
28, -1.515822
28, -1.598534
15, 1.104038
29, -1.632079
30, -1.621995
32, -1.478117
31, -1.569079
33, -1.345103
36, -0.984410
36, -0.759595
37, -0.515865
38, -0.258463
39, 0.002715
34, -1.179730
0, 0.009500
2, 0.524166
1, 0.266501
4, 0.762791
5, 1.190046
6, 1.354785
12, 1.599453
13, 1.426504
8, 1.576097
4, 1.004973
10, 1.641333
9, 1.630112
12, 1.535665
14, 1.268911
15, 1.092584
16, 0.895194
20, 0.143179
18, 0.406146
20, -0.121066
21, -0.383087
22, -0.634986
25, -1.245949
23, -0.870248
26, -1.404710
28, -1.505759
29, -1.623017
30, -1.612826
31, -1.559388
32, -1.471424
33, -1.337514
17, 0.657701
36, -0.982488
34, -1.173617
38, -0.252158
37, -0.509560
7, 1.489549
36, -0.756624
39, 0.002715
28, -1.588851
24, -1.069127
0, 0.009500
1, 0.260724
2, 0.518389
5, 1.183768
7, 1.482413
8, 1.566373
6, 1.346812
12, 1.590656
4, 1.005775
4, 0.756116
9, 1.620431
12, 1.525973
10, 1.631657
14, 1.259070
18, 0.405026
15, 1.084455
21, -0.384208
22, -0.636107
20, -0.122186
13, 1.416308
23, -0.871369
16, 0.899414
24, -1.061059
17, 0.656580
26, -1.394802
28, -1.496217
28, -1.579140
29, -1.613343
30, -1.603166
32, -1.462745
31, -1.549667
20, 0.141926
33, -1.327929
34, -1.165677
36, -0.754617
36, -0.980297
37, -0.502164
38, -0.244762
25, -1.236109
39, 0.002715
1, 0.254157
2, 0.511822
0, 0.009500
4, 0.748791
4, 1.005655
5, 1.176772
6, 1.337895
8, 1.556634
7, 1.474299
10, 1.621958
9, 1.610734
13, 1.406400
12, 1.580831
14, 1.249215
15, 1.074436
16, 0.903699
17, 0.655326
20, 0.140551
18, 0.403772
20, -0.123440
12, 1.516266
21, -0.385461
22, -0.637360
24, -1.051052
25, -1.226255
23, -0.875668
26, -1.384830
28, -1.486702
28, -1.569413
29, -1.603646
30, -1.593485
31, -1.539931
32, -1.453082
34, -1.156721
36, -0.752037
36, -0.977819
37, -0.493738
38, -0.236336
39, 0.002715
33, -1.318248
1, 0.246892
0, 0.009500
5, 1.169157
4, 0.741031
6, 1.328232
12, 1.506555
7, 1.465340
8, 1.546900
14, 1.239595
15, 1.064816
4, 1.005861
10, 1.612247
9, 1.601032
12, 1.570942
2, 0.504558
13, 1.396835
17, 0.653951
16, 0.908268
18, 0.402397
20, 0.139094
20, -0.124815
21, -0.386836
23, -0.880946
24, -1.041512
26, -1.375035
25, -1.216634
