ID, Distance
0, 0.009500
2, 0.531672
4, 0.775831
4, 1.000168
6, 1.366830
5, 1.198881
7, 1.499671
8, 1.593967
9, 1.647280
10, 1.658231
12, 1.626536
13, 1.439571
14, 1.289137
12, 1.553016
15, 1.105604
16, 0.893720
20, 0.145564
18, 0.407411
20, -0.119801
21, -0.381823
23, -0.868984
22, -0.633722
24, -1.081524
25, -1.265843
26, -1.417175
28, -1.531605
28, -1.606173
29, -1.638951
31, -1.576847
30, -1.629091
33, -1.351677
34, -1.184574
36, -0.986586
36, -0.762833
37, -0.519104
39, 0.002715
38, -0.261702
17, 0.658965
32, -1.483571
0, 0.009500
1, 0.273281
12, 1.620738
20, 0.145187
23, -0.866126
28, -1.526246
29, -1.633371
31, -1.571165
36, -0.985932
36, -0.760323
38, -0.261011
2, 0.529918
5, 1.194661
12, 1.547585
14, 1.282603
22, -0.631634
26, -1.413479
33, -1.346327
4, 0.999482
7, 1.494232
8, 1.588210
10, 1.652579
20, -0.119494
32, -1.478202
34, -1.180411
16, 0.890778
17, 0.656793
24, -1.080248
4, 0.773276
18, 0.406064
30, -1.623487
39, 0.002715
9, 1.641601
37, -0.517392
13, 1.435786
6, 1.361431
21, -0.380560
25, -1.259391
15, 1.104243
28, -1.600454
0, 0.009500
4, 0.771556
2, 0.526509
8, 1.577053
12, 1.537042
15, 1.101602
17, 0.652573
16, 0.888220
20, 0.144300
22, -0.627574
21, -0.378106
23, -0.863715
25, -1.250141
14, 1.273246
5, 1.186466
4, 0.997892
9, 1.630578
20, -0.118769
6, 1.350938
13, 1.428428
12, 1.609511
10, 1.641604
24, -1.077771
1, 0.271589
18, 0.403447
7, 1.483685
26, -1.406282
28, -1.515817
28, -1.589334
29, -1.622507
31, -1.560108
32, -1.467760
33, -1.335904
34, -1.172311
36, -0.984412
36, -0.758668
37, -0.514062
38, -0.259395
39, 0.002715
30, -1.612577
0, 0.009500
1, 0.269466
2, 0.522732
4, 0.771063
4, 0.995805
5, 1.177082
6, 1.340825
7, 1.473581
8, 1.567012
9, 1.620566
10, 1.631604
12, 1.599453
12, 1.526926
13, 1.419763
14, 1.262614
15, 1.098628
16, 0.886635
17, 0.647887
18, 0.400557
20, 0.143179
20, -0.117848
21, -0.375399
22, -0.623069
23, -0.862315
24, -1.074982
25, -1.239511
26, -1.396599
28, -1.505746
28, -1.579303
29, -1.612535
30, -1.602593
31, -1.550091
32, -1.457698
33, -1.325821
34, -1.163042
36, -0.982414
36, -0.758251
37, -0.510375
38, -0.257368
39, 0.002715
0, 0.009500
1, 0.267101
2, 0.518171
4, 0.770338
4, 0.993375
5, 1.167415
6, 1.331245
7, 1.464084
8, 1.557767
9, 1.611262
10, 1.622284
12, 1.590656
12, 1.517394
13, 1.410091
14, 1.252990
15, 1.094929
16, 0.884566
17, 0.642224
20, 0.141926
18, 0.397071
20, -0.116818
21, -0.372134
23, -0.860469
22, -0.617624
24, -1.071501
25, -1.229892
26, -1.386887
28, -1.496187
28, -1.570036
29, -1.603187
30, -1.593256
31, -1.540797
32, -1.448175
33, -1.316224
34, -1.153375
36, -0.980083
36, -0.757619
37, -0.505923
39, 0.002715
38, -0.255109
1, 0.264508
0, 0.009500
4, 0.770562
2, 0.513158
4, 0.990582
5, 1.157726
6, 1.321689
7, 1.454621
8, 1.548092
9, 1.601530
10, 1.612543
12, 1.580831
12, 1.507892
13, 1.400395
14, 1.243392
15, 1.090780
16, 0.883255
17, 0.636006
20, 0.140551
18, 0.393235
20, -0.115687
21, -0.368541
22, -0.611645
23, -0.859406
24, -1.067587
25, -1.220298
26, -1.377158
28, -1.486655
28, -1.560340
29, -1.593448
31, -1.531075
30, -1.583516
32, -1.438682
33, -1.306650
34, -1.143687
36, -0.977401
37, -0.501029
36, -0.757943
38, -0.252633
39, 0.002715
1, 0.261765
0, 0.009500
2, 0.507844
4, 0.770394
4, 0.987492
5, 1.148026
6, 1.312139
7, 1.445061
8, 1.538401
9, 1.591776
10, 1.602779
12, 1.570942
12, 1.498391
14, 1.233810
13, 1.390687
15, 1.086336
16, 0.881413
17, 0.629416
18, 0.389166
20, 0.139094
20, -0.114510
22, -0.605308
21, -0.364728
23, -0.857835
24, -1.063385
25, -1.210720
26, -1.367432
28, -1.477127
29, -1.583685
28, -1.550624
30, -1.573753
31, -1.521330
32, -1.429113
33, -1.297083
34, -1.133988
36, -0.974430
36, -0.757885
37, -0.495841
38, -0.250013
39, 0.002715
0, 0.009500
1, 0.258903
2, 0.502298
4, 0.984144
4, 0.770757
5, 1.138327
6, 1.302530
7, 1.435387
8, 1.528704
9, 1.582022
10, 1.593016
12, 1.561042
12, 1.488712
13, 1.380980
14, 1.224232
15, 1.081660
16, 0.879554
17, 0.622541
18, 0.384918
20, 0.137595
20, -0.113250
21, -0.360747
22, -0.598696
23, -0.856450
24, -1.058959
26, -1.357759
25, -1.201145
28, -1.467466
28, -1.540905
29, -1.573924
30, -1.563991
31, -1.511586
33, -1.287474
32, -1.419454
36, -0.971210
34, -1.124289
37, -0.490426
38, -0.247280
36, -0.758362
39, 0.002715
0, 0.009500
1, 0.255963
2, 0.496596
4, 0.771258
5, 1.128641
12, 1.551444
4, 0.980602
6, 1.292855
8, 1.519012
10, 1.583386
7, 1.425699
9, 1.572385
12, 1.479012
13, 1.371288
14, 1.214615
15, 1.072995
16, 0.878163
18, 0.380590
17, 0.615474
20, 0.136024
20, -0.111959
21, -0.356690
22, -0.591900
23, -0.855336
24, -1.050519
25, -1.191527
26, -1.348144
28, -1.531198
28, -1.457789
29, -1.564292
30, -1.554360
31, -1.501905
32, -1.409782
33, -1.277816
34, -1.114603
36, -0.967810
36, -0.758980
38, -0.244472
37, -0.484859
39, 0.002715
