ID, Distance
2, 0.531672
4, 0.775831
4, 1.000168
5, 1.198881
6, 1.366830
7, 1.499671
8, 1.593967
9, 1.647280
10, 1.658231
12, 1.626536
12, 1.553016
13, 1.439571
14, 1.289137
15, 1.105604
17, 0.658965
16, 0.893720
18, 0.407411
20, 0.145564
20, -0.119801
21, -0.381823
22, -0.633722
23, -0.868984
24, -1.081524
25, -1.265843
26, -1.417175
28, -1.531605
28, -1.606173
29, -1.638951
30, -1.629091
31, -1.576847
32, -1.483571
33, -1.351677
34, -1.184574
36, -0.986586
36, -0.762833
37, -0.519104
38, -0.261702
39, 0.002715
1, 0.274007
2, 0.531672
0, 0.009500
5, 1.198672
4, 0.773276
7, 1.499274
12, 1.552770
8, 1.593568
4, 1.002607
10, 1.658198
9, 1.647086
12, 1.620738
6, 1.366106
14, 1.286851
15, 1.107889
17, 0.658965
16, 0.893720
18, 0.407411
20, 0.145187
20, -0.119801
21, -0.381823
22, -0.633722
13, 1.440337
23, -0.868984
24, -1.083816
25, -1.263551
26, -1.417951
29, -1.638918
28, -1.605827
31, -1.576451
33, -1.350945
32, -1.483181
36, -0.985932
36, -0.762833
37, -0.519104
39, 0.002715
30, -1.628901
28, -1.526246
34, -1.184368
38, -0.261702
0, 0.009500
1, 0.271457
2, 0.529122
5, 1.194911
7, 1.495086
4, 0.768311
8, 1.585790
4, 1.004361
9, 1.639771
10, 1.650950
12, 1.609511
6, 1.361169
12, 1.545333
14, 1.278698
17, 0.658588
18, 0.407033
20, 0.144300
20, -0.120179
23, -0.869361
25, -1.255734
26, -1.414462
28, -1.515822
28, -1.598534
29, -1.632079
30, -1.621995
31, -1.569079
32, -1.478117
33, -1.345103
34, -1.179730
36, -0.984410
36, -0.759595
13, 1.436572
37, -0.515865
38, -0.258463
39, 0.002715
15, 1.104038
16, 0.893343
22, -0.634099
21, -0.382200
24, -1.080175
1, 0.268014
2, 0.524285
0, 0.009500
4, 0.762791
4, 1.004973
6, 1.353889
8, 1.576097
9, 1.630112
10, 1.641268
12, 1.535665
5, 1.189597
13, 1.427133
14, 1.269652
16, 0.892323
18, 0.404383
15, 1.096642
20, 0.143179
12, 1.599453
21, -0.382480
22, -0.633517
23, -0.868093
24, -1.068971
25, -1.245949
26, -1.404429
28, -1.505759
28, -1.588851
7, 1.488204
29, -1.623301
30, -1.613393
31, -1.560192
32, -1.470277
33, -1.336654
34, -1.173044
36, -0.756624
36, -0.982488
37, -0.509598
38, -0.252235
39, 0.002715
20, -0.121066
17, 0.655056
0, 0.009500
1, 0.263967
2, 0.520440
13, 1.417249
9, 1.620431
10, 1.631559
4, 1.005773
7, 1.479301
12, 1.590656
4, 0.756116
8, 1.566373
5, 1.182726
15, 1.086952
14, 1.259925
12, 1.525973
6, 1.344725
16, 0.890866
17, 0.650411
18, 0.400913
28, -1.579140
25, -1.236109
26, -1.394277
20, 0.141926
22, -0.632011
28, -1.496217
32, -1.460606
20, -0.122186
29, -1.613629
23, -0.868010
21, -0.382371
30, -1.603736
31, -1.550516
34, -1.164349
36, -0.980294
36, -0.754617
38, -0.246283
24, -1.060388
39, 0.002715
37, -0.502860
33, -1.326954
2, 0.515914
1, 0.259736
4, 0.748791
4, 1.005645
5, 1.174947
0, 0.009500
6, 1.335046
7, 1.469636
8, 1.556634
9, 1.610734
22, -0.630397
12, 1.516266
18, 0.396549
20, 0.140551
12, 1.580831
16, 0.889110
17, 0.644491
15, 1.077560
14, 1.250160
21, -0.382039
10, 1.621833
20, -0.123440
23, -0.869328
24, -1.050517
13, 1.407288
26, -1.384387
25, -1.226255
28, -1.486702
28, -1.569413
30, -1.594059
31, -1.540815
32, -1.450910
29, -1.603933
34, -1.154693
36, -0.752037
38, -0.238784
37, -0.494924
39, 0.002715
36, -0.977802
33, -1.317223
0, 0.009500
33, -1.307478
34, -1.145018
37, -0.486131
39, 0.002715
38, -0.230519
2, 0.510277
1, 0.255161
4, 0.741031
5, 1.166440
4, 1.005839
6, 1.325341
9, 1.601032
10, 1.612108
12, 1.570942
8, 1.546900
14, 1.240383
13, 1.397478
16, 0.887033
12, 1.506555
18, 0.391631
17, 0.637802
21, -0.381652
15, 1.067880
20, -0.124815
20, 0.139094
22, -0.628182
28, -1.477189
25, -1.216634
24, -1.040571
23, -0.870844
26, -1.374807
30, -1.584368
29, -1.594224
28, -1.559687
31, -1.531102
32, -1.441199
36, -0.975045
36, -0.749844
7, 1.459949
1, 0.250436
2, 0.504459
4, 0.732936
0, 0.009500
5, 1.157631
10, 1.602433
8, 1.537267
4, 1.005374
12, 1.496857
6, 1.315625
7, 1.450250
9, 1.591338
13, 1.387856
14, 1.230684
15, 1.058182
12, 1.561042
16, 0.884679
18, 0.386250
17, 0.630458
20, -0.126271
21, -0.381125
22, -0.625687
23, -0.872479
20, 0.137595
26, -1.365252
29, -1.584517
32, -1.431488
31, -1.521391
28, -1.550013
36, -0.747651
36, -0.972037
38, -0.221752
39, 0.002715
37, -0.476759
24, -1.030766
25, -1.207038
28, -1.467518
30, -1.574674
33, -1.297741
34, -1.135331
1, 0.245573
