ID, Distance
0, 0.009500
2, 0.531672
4, 0.775831
5, 1.198881
6, 1.366830
4, 1.000168
7, 1.499671
8, 1.593967
9, 1.647280
10, 1.658231
12, 1.626536
12, 1.553016
13, 1.439571
20, -0.119801
14, 1.289137
17, 0.658965
18, 0.407411
16, 0.893720
20, 0.145564
15, 1.105604
21, -0.381823
22, -0.633722
23, -0.868984
24, -1.081524
25, -1.265843
26, -1.417175
28, -1.531605
30, -1.629091
33, -1.351677
36, -0.986586
36, -0.762833
37, -0.519104
38, -0.261702
29, -1.638951
39, 0.002715
31, -1.576847
32, -1.483571
28, -1.606173
34, -1.184574
1, 0.274007
0, 0.009500
4, 0.773276
2, 0.531672
4, 1.002607
5, 1.198672
6, 1.366106
7, 1.499274
8, 1.593568
9, 1.647086
10, 1.658198
12, 1.620738
13, 1.440337
12, 1.552770
14, 1.286851
16, 0.893720
17, 0.658965
15, 1.107889
18, 0.407411
20, -0.119801
22, -0.633722
24, -1.083816
23, -0.868984
29, -1.638918
28, -1.605827
26, -1.417951
30, -1.628901
25, -1.263551
31, -1.576451
33, -1.350945
32, -1.483181
34, -1.184368
36, -0.985932
36, -0.762833
37, -0.519104
38, -0.261702
39, 0.002715
20, 0.145187
28, -1.526246
21, -0.381823
0, 0.009500
1, 0.271457
2, 0.529122
4, 1.004361
4, 0.768311
5, 1.194911
10, 1.650950
6, 1.361169
9, 1.639771
7, 1.495086
12, 1.545333
15, 1.104038
13, 1.436572
12, 1.609511
16, 0.893343
18, 0.407033
17, 0.658588
8, 1.585790
14, 1.278698
20, 0.144300
20, -0.120179
21, -0.382200
22, -0.634099
23, -0.869361
25, -1.255734
28, -1.598534
26, -1.414462
28, -1.515822
29, -1.632079
30, -1.621995
31, -1.569079
32, -1.478117
33, -1.345103
34, -1.179730
36, -0.984410
36, -0.759595
37, -0.515865
39, 0.002715
38, -0.258463
24, -1.080175
2, 0.524285
1, 0.268014
0, 0.009500
4, 0.762791
10, 1.642221
4, 1.004973
13, 1.427133
5, 1.189597
12, 1.599453
14, 1.269652
7, 1.488204
8, 1.577303
6, 1.353889
12, 1.535665
9, 1.631391
18, 0.404589
20, 0.143179
20, -0.121066
15, 1.096642
21, -0.382845
23, -0.868333
24, -1.074196
25, -1.247869
26, -1.406255
16, 0.892631
28, -1.588851
30, -1.612339
28, -1.505759
31, -1.559388
29, -1.622399
32, -1.471424
33, -1.337514
34, -1.173617
36, -0.982488
36, -0.756624
37, -0.509560
38, -0.252158
39, 0.002715
17, 0.655364
22, -0.633677
2, 0.520440
0, 0.009500
1, 0.263967
4, 0.756116
14, 1.259925
4, 1.005773
13, 1.417249
7, 1.479312
5, 1.182726
9, 1.621735
12, 1.590656
10, 1.632550
6, 1.344725
15, 1.086952
16, 0.891886
17, 0.651129
8, 1.567629
18, 0.401392
20, -0.122186
12, 1.525973
21, -0.382760
23, -0.868669
24, -1.066989
25, -1.239453
26, -1.396491
28, -1.496217
29, -1.612691
30, -1.602661
31, -1.549667
32, -1.462745
33, -1.327929
20, 0.141926
36, -0.754617
36, -0.980297
38, -0.244762
37, -0.502164
28, -1.579140
22, -0.632468
39, 0.002715
34, -1.165677
0, 0.009500
2, 0.515914
4, 0.748791
6, 1.335046
7, 1.469647
9, 1.612059
10, 1.622856
12, 1.516266
8, 1.557931
13, 1.407288
14, 1.250160
15, 1.077560
16, 0.891009
18, 0.397390
17, 0.645752
20, 0.140551
21, -0.382542
20, -0.123440
22, -0.631193
23, -0.870486
24, -1.060524
25, -1.230295
26, -1.386679
29, -1.602966
28, -1.486702
28, -1.569413
30, -1.592966
32, -1.453082
31, -1.539931
33, -1.318248
34, -1.156721
36, -0.977819
36, -0.752037
37, -0.493738
38, -0.236336
1, 0.259736
4, 1.005645
5, 1.174947
12, 1.580831
39, 0.002715
0, 0.009500
1, 0.255161
2, 0.510277
4, 0.741031
5, 1.166440
4, 1.005839
6, 1.325341
7, 1.459960
9, 1.602369
10, 1.613149
8, 1.548219
12, 1.570942
12, 1.506555
13, 1.397478
14, 1.240383
15, 1.067880
16, 0.889797
17, 0.639678
18, 0.392882
20, 0.139094
20, -0.124815
21, -0.382280
22, -0.629408
23, -0.872747
24, -1.052958
26, -1.376853
25, -1.220620
28, -1.477189
28, -1.559687
30, -1.583264
29, -1.593240
32, -1.443397
31, -1.530197
33, -1.308541
34, -1.147069
36, -0.975087
36, -0.749844
38, -0.226980
37, -0.484382
39, 0.002715
0, 0.009500
1, 0.250436
2, 0.504459
4, 0.732936
5, 1.157631
4, 1.005374
6, 1.315625
7, 1.450262
8, 1.538509
9, 1.592676
10, 1.603442
12, 1.561042
12, 1.496857
13, 1.387856
14, 1.230684
15, 1.058182
16, 0.888343
17, 0.633012
18, 0.387952
20, 0.137595
20, -0.126271
21, -0.381978
22, -0.627377
23, -0.875209
24, -1.045256
25, -1.210922
26, -1.367221
28, -1.467518
28, -1.550013
29, -1.583565
30, -1.573570
31, -1.520561
32, -1.433700
33, -1.298824
34, -1.137399
36, -0.972110
37, -0.474727
36, -0.747651
38, -0.217325
39, 0.002715
0, 0.009500
1, 0.245573
2, 0.498474
4, 1.004756
17, 0.625938
18, 0.382730
4, 0.724615
7, 1.440563
16, 0.886745
9, 1.582991
13, 1.378253
20, 0.136024
10, 1.593751
12, 1.487222
6, 1.305913
12, 1.551444
8, 1.528814
14, 1.221075
5, 1.148220
15, 1.048479
21, -0.381634
20, -0.127771
22, -0.625185
23, -0.877890
24, -1.037388
25, -1.201214
28, -1.457827
26, -1.357611
28, -1.540397
29, -1.573946
31, -1.510947
30, -1.563893
32, -1.424002
33, -1.289113
36, -0.968919
36, -0.745607
38, -0.207654
39, 0.002715
37, -0.465056
34, -1.127718
