ID, Distance
4, 1.618414
3, 1.651989
5, 1.558443
7, 1.363667
6, 1.473061
12, 1.658617
8, 1.232058
1, 0.727127
28, -0.704115
27, -0.508100
0, 0.911155
26, -0.303592
25, -0.093949
29, -0.888423
30, -1.058000
3, 0.326963
2, 0.531325
-1, 1.080391
4, 0.117392
32, -1.342119
31, -1.210063
33, -1.451999
24, -1.537903
26, -1.632558
27, -0.413160
30, -1.500748
26, -0.613563
25, -0.803744
25, -1.598420
28, -1.619897
37, -1.639757
32, -1.282898
33, -1.141180
31, -1.403413
24, -0.980584
28, -0.205822
29, 0.005047
29, -1.573307
1, 0.220407
0, 0.009500
4, 0.818682
5, 0.995987
0, 1.590400
4, 1.618381
6, 1.155586
3, 0.628401
7, 1.298565
1, 1.638178
3, 1.651683
8, 1.419707
2, 0.432765
12, 1.651088
-1, 1.517702
5, 1.557797
6, 1.472731
7, 1.363127
8, 1.234546
-1, 1.076050
0, 0.910982
28, -0.703935
32, -1.341577
26, -1.632251
27, -0.508067
31, -1.212569
24, -1.537257
3, 0.331960
4, 0.117392
25, -0.093949
26, -0.308600
30, -1.053658
29, -0.888246
33, -1.451667
1, 0.726949
37, -1.632246
2, 0.531293
25, -1.598387
28, -1.619886
30, -1.500506
32, -1.282269
31, -1.403015
33, -1.139767
24, -0.980554
25, -0.803562
26, -0.613526
27, -0.418075
29, -1.572664
29, 0.005047
28, -0.205822
2, 0.436264
1, 0.220407
0, 0.009500
3, 0.627947
4, 0.818245
3, 1.650961
5, 0.995611
-1, 1.517108
6, 1.152883
12, 1.640303
7, 1.361893
8, 1.418667
8, 1.234560
1, 1.637770
5, 1.556300
6, 1.471941
7, 1.297175
0, 1.588906
4, 1.617981
-1, 1.072668
0, 0.910574
1, 0.726532
2, 0.530901
3, 0.335561
4, 0.117392
25, -0.093949
26, -0.312195
27, -0.507673
28, -0.703513
29, -0.887828
25, -1.597975
33, -1.450869
24, -1.535760
37, -1.621446
28, -1.619486
30, -1.050249
31, -1.212607
26, -1.631527
29, -1.571170
32, -1.340338
30, -1.499922
31, -1.401980
32, -1.280837
33, -1.137032
24, -0.980198
25, -0.803132
27, -0.421565
26, -0.613077
28, -0.205822
29, 0.005047
1, 0.220407
2, 0.437355
0, 0.009500
3, 0.627480
4, 0.817693
5, 0.995147
6, 1.470911
6, 1.150103
7, 1.295348
12, 1.629522
4, 1.617476
3, 1.650044
5, 1.554446
1, 1.636825
-1, 1.516329
8, 1.417347
0, 1.587042
7, 1.360565
8, 1.231996
-1, 1.071089
0, 0.910027
1, 0.726039
2, 0.530425
3, 0.336736
4, 0.117392
25, -0.093949
26, -0.313371
27, -0.507195
28, -0.703014
29, -0.887268
30, -1.048653
32, -1.339006
28, -1.618553
25, -1.597456
24, -0.979764
37, -1.610661
31, -1.400665
25, -0.802625
31, -1.210063
24, -1.533904
26, -1.630606
33, -1.134217
32, -1.278975
29, -1.569306
26, -0.612614
33, -1.449830
30, -1.499157
28, -0.205822
27, -0.422657
29, 0.005047
1, 0.220407
2, 0.438719
0, 0.009500
3, 0.627145
4, 0.817097
0, 1.584979
-1, 1.515425
1, 1.635665
7, 1.293219
8, 1.415842
3, 1.648518
6, 1.146833
5, 0.994647
5, 1.552415
4, 1.616888
12, 1.619907
6, 1.469725
7, 1.359032
8, 1.228516
29, -1.567242
29, -0.886517
25, -1.596852
37, -1.601047
0, 0.909295
28, -0.702398
30, -1.046527
28, -1.617407
4, 0.117392
2, 0.529949
24, -1.531873
31, -1.399162
25, -0.093949
27, -0.506716
1, 0.725429
3, 0.338193
33, -1.448633
32, -1.337472
30, -1.498268
31, -1.206610
-1, 1.068983
26, -1.629073
26, -0.314826
