ID, Distance
2, 0.427854
4, 0.818867
3, 0.628438
5, 0.996018
6, 1.156984
7, 1.299125
8, 1.420109
-1, 1.517950
0, 1.591043
3, 1.651989
1, 1.638190
12, 1.658617
4, 1.618414
5, 1.558443
7, 1.363667
6, 1.473061
8, 1.232058
-1, 1.080391
0, 0.911155
1, 0.727127
2, 0.531325
3, 0.326963
31, -1.210063
29, -0.888423
26, -0.303592
30, -1.058000
33, -1.451999
28, -0.704115
32, -1.342119
4, 0.117392
27, -0.508100
24, -1.537903
25, -0.093949
25, -1.598420
26, -1.632558
37, -1.639757
30, -1.500748
29, -1.573307
31, -1.403413
28, -1.619897
32, -1.282898
33, -1.141180
24, -0.980584
25, -0.803744
26, -0.613563
27, -0.413160
28, -0.205822
29, 0.005047
0, 0.009500
1, 0.218951
2, 0.429958
3, 0.624083
4, 0.813230
5, 0.989266
6, 1.149455
7, 1.291596
8, 1.412579
-1, 1.510420
0, 1.583514
1, 1.630661
12, 1.651088
3, 1.644459
4, 1.610884
31, -1.204610
7, 1.356138
-1, 1.072862
1, 0.722104
6, 1.465532
0, 0.904919
26, -0.306603
30, -1.050489
28, -0.699249
33, -1.444488
32, -1.334608
5, 1.550914
4, 0.116773
3, 0.329815
8, 1.226435
25, -0.093457
27, -0.504568
29, -0.882344
2, 0.527638
24, -1.530392
25, -1.590909
26, -1.625047
37, -1.632246
28, -1.612386
29, -1.565796
30, -1.493237
31, -1.395902
32, -1.275387
33, -1.133669
24, -0.973957
25, -0.798220
26, -0.609314
27, -0.415358
28, -0.204462
29, 0.005047
1, 0.221494
0, 0.009500
2, 0.428538
3, 0.615642
4, 0.802302
5, 0.976401
6, 1.138670
-1, 1.499635
7, 1.280811
12, 1.640303
8, 1.401794
0, 1.572729
1, 1.619876
4, 1.600099
3, 1.633674
6, 1.454746
5, 1.540129
8, 1.215508
7, 1.345353
-1, 1.062077
0, 0.892941
1, 0.712368
2, 0.520490
3, 0.329646
25, -0.092307
4, 0.115329
27, -0.497710
28, -0.689794
