ID, Distance
2, 0.427854
3, 0.628438
4, 0.818867
5, 0.996018
6, 1.156984
-1, 1.517950
7, 1.299125
8, 1.420109
0, 1.591043
1, 1.638190
12, 1.658617
3, 1.651989
6, 1.473061
5, 1.558443
4, 1.618414
7, 1.363667
8, 1.232058
-1, 1.080391
0, 0.911155
1, 0.727127
28, -0.704115
27, -0.508100
26, -0.303592
4, 0.117392
25, -0.093949
3, 0.326963
2, 0.531325
29, -0.888423
30, -1.058000
31, -1.210063
32, -1.342119
33, -1.451999
24, -1.537903
31, -1.403413
33, -1.141180
25, -1.598420
26, -1.632558
28, -1.619897
30, -1.500748
32, -1.282898
24, -0.980584
25, -0.803744
37, -1.639757
29, -1.573307
26, -0.613563
27, -0.413160
28, -0.205822
29, 0.005047
1, 0.220407
0, 0.009500
2, 0.432765
3, 0.628401
5, 0.995987
4, 0.818682
7, 1.298565
0, 1.590400
-1, 1.517702
8, 1.419707
6, 1.155586
1, 1.638178
3, 1.651683
12, 1.651088
4, 1.618381
5, 1.557797
6, 1.472731
7, 1.363127
8, 1.234546
1, 0.726949
0, 0.910982
2, 0.531293
3, 0.331960
-1, 1.076050
25, -0.093949
4, 0.117392
26, -0.308600
27, -0.508067
30, -1.053658
29, -0.888246
31, -1.212569
32, -1.341577
24, -1.537257
25, -1.598387
29, -1.572664
28, -0.205822
26, -0.613526
37, -1.632246
33, -1.451667
27, -0.418075
30, -1.500506
25, -0.803562
29, 0.005047
33, -1.139767
28, -1.619886
32, -1.282269
24, -0.980554
31, -1.403015
28, -0.703935
26, -1.632251
2, 0.431810
1, 0.212882
0, 0.009500
3, 0.618715
4, 0.809035
7, 1.353406
12, 1.640303
5, 1.548049
8, 1.232061
1, 1.630649
4, 1.608705
0, 1.580653
-1, 1.065897
6, 1.463055
3, 1.642012
6, 1.145832
-1, 1.508044
7, 1.288839
5, 0.986313
8, 1.410017
0, 0.901338
3, 0.331037
4, 0.109867
25, -0.086442
26, -0.307701
27, -0.498392
25, -1.588709
28, -0.694290
2, 0.521618
28, -1.612377
33, -1.441990
26, -1.622580
37, -1.621446
24, -1.527509
30, -1.043501
32, -1.331855
31, -1.210146
29, -0.878601
30, -1.490848
29, -1.562917
31, -1.393325
32, -1.272525
1, 0.717305
33, -1.130010
24, -0.970884
