ID, Distance
, 0.220407
3, 0.628438
6, 1.156984
8, 1.420109
5, 0.818867
7, 1.299125
5, 0.996018
10, 1.591043
-1, 1.517950
12, 1.658617
11, 1.638190
15, 1.618414
13, 1.651989
17, 1.363667
15, 1.558443
18, 1.232058
20, 0.911155
23, 0.326963
22, 0.531325
25, 0.117392
25, -0.093949
16, 1.473061
28, -0.704115
19, -0.888423
21, 0.727127
9, 1.080391
30, -1.058000
32, -1.342119
27, -0.508100
33, -1.451999
35, -1.598420
26, -0.303592
35, -1.537903
36, -1.632558
37, -1.639757
38, -1.619897
31, -1.210063
40, -1.500748
29, -1.573307
41, -1.403413
45, -0.803744
42, -1.282898
45, -0.980584
47, -0.413160
46, -0.613563
48, -0.205822
43, -1.141180
39, 0.005047
1, 0.220407
0, 0.009500
2, 0.431048
3, 0.628414
5, 0.813316
5, 0.995998
6, 1.156257
8, 1.419854
15, 1.610884
10, 1.590631
15, 1.558029
16, 1.472852
7, 1.298767
12, 1.658426
13, 1.651796
11, 1.638182
-1, 1.517914
17, 1.363322
18, 1.233679
9, 1.077568
20, 0.911130
22, 0.531305
21, 0.727101
25, 0.116773
25, -0.093949
23, 0.330213
27, -0.508079
26, -0.306848
28, -0.704089
19, -0.888397
30, -1.055175
32, -1.341772
31, -1.211695
35, -1.598399
38, -1.619890
35, -1.530392
37, -1.639565
33, -1.451789
29, -1.572895
42, -1.282495
40, -1.500714
41, -1.403160
43, -1.140444
45, -0.974019
45, -0.803718
47, -0.416355
46, -0.613539
36, -1.632365
48, -0.205822
39, 0.005047
0, 0.009500
1, 0.220407
2, 0.433349
8, 1.419184
6, 1.154585
7, 1.297864
5, 0.995767
-1, 1.517485
10, 1.589667
5, 0.802551
3, 0.628135
12, 1.657970
13, 1.651309
15, 1.600099
15, 1.556992
17, 1.362521
11, 1.638160
27, -0.507836
31, -1.211720
21, 0.726797
19, -0.888094
20, 0.910834
22, 0.531063
25, 0.115329
33, -1.451211
18, 1.233682
23, 0.332581
26, -0.309213
30, -1.052995
9, 1.075407
35, -1.519593
25, -0.093949
32, -1.340968
16, 1.472350
28, -0.703781
35, -1.598098
36, -1.631903
38, -1.619870
29, -1.571931
40, -1.500292
41, -1.402495
42, -1.281564
43, -1.138751
45, -0.961444
45, -0.803406
46, -0.613260
47, -0.418652
48, -0.205822
37, -1.639106
39, 0.005047
0, 0.009500
1, 0.220411
5, 0.995316
6, 1.152526
11, 1.638029
12, 1.657382
5, 0.792366
3, 0.627746
7, 1.296698
10, 1.588456
2, 0.434149
8, 1.418327
-1, 1.516958
13, 1.650622
15, 1.589318
15, 1.555619
16, 1.471694
18, 1.232115
17, 1.361603
20, 0.910428
21, 0.726430
9, 1.074383
22, 0.530764
25, 0.117103
23, 0.333437
25, -0.093949
27, -0.507536
26, -0.310069
43, -1.136579
19, -0.887679
35, -1.508808
42, -1.280370
28, -0.703410
32, -1.340047
33, -1.450398
36, -1.631308
40, -1.499775
30, -1.051954
41, -1.401641
46, -0.612962
35, -1.597173
45, -0.802895
29, -1.570720
38, -1.619578
45, -0.953277
37, -1.638650
31, -1.210172
48, -0.205822
39, 0.005047
47, -0.419452
3, 0.627151
0, 0.009500
1, 0.220431
2, 0.435239
5, 0.782919
6, 1.150277
11, 1.637675
-1, 1.516367
10, 1.587109
7, 1.295343
12, 1.656807
8, 1.417344
5, 0.994689
15, 1.579704
15, 1.554023
13, 1.649815
17, 1.360555
16, 1.470971
18, 1.230345
9, 1.072995
20, 0.909981
22, 0.530454
21, 0.726028
23, 0.334494
25, 0.117907
28, -0.703003
32, -1.338992
30, -1.050547
31, -1.208422
35, -1.499194
33, -1.449135
37, -1.638339
36, -1.630661
35, -1.595910
38, -1.618940
40, -1.499194
29, -1.569372
41, -1.400661
25, -0.093949
45, -0.942886
43, -1.134088
42, -1.279008
45, -0.802320
47, -0.420491
46, -0.612656
48, -0.205822
26, -0.311173
39, 0.005047
27, -0.507224
19, -0.887221
0, 0.009500
1, 0.220534
2, 0.435178
3, 0.626486
6, 1.147859
5, 0.993768
15, 1.570118
-1, 1.515707
8, 1.416290
13, 1.648242
12, 1.656539
5, 0.773511
7, 1.293808
10, 1.585641
11, 1.637019
15, 1.552235
16, 1.470099
17, 1.359441
18, 1.227147
20, 0.909485
9, 1.072504
23, 0.334309
21, 0.725599
22, 0.530152
27, -0.506920
25, -0.093949
26, -0.311077
28, -0.702570
25, 0.117140
30, -1.050033
32, -1.337862
19, -0.886714
33, -1.447142
35, -1.489608
35, -1.594367
36, -1.629905
37, -1.638154
38, -1.618288
29, -1.567899
40, -1.498545
41, -1.399610
42, -1.277463
43, -1.131280
45, -0.933349
45, -0.800639
46, -0.612431
47, -0.420341
48, -0.205822
39, 0.005047
31, -1.205248
0, 0.009500
2, 0.435564
1, 0.220651
3, 0.625665
5, 0.763967
6, 1.145341
5, 0.992736
8, 1.415103
7, 1.292121
10, 1.584093
-1, 1.514990
12, 1.656265
11, 1.636353
13, 1.646341
15, 1.560549
16, 1.469151
15, 1.549998
17, 1.358252
32, -1.336640
25, 0.116661
18, 1.224073
33, -1.444813
20, 0.908924
23, 0.334583
27, -0.506817
31, -1.202200
30, -1.049043
25, -0.093949
19, -0.886140
9, 1.071534
21, 0.725134
22, 0.530050
28, -0.702100
26, -0.311440
36, -1.629101
37, -1.637579
38, -1.617789
29, -1.566346
35, -1.592239
40, -1.497841
41, -1.398425
42, -1.275758
43, -1.128220
45, -0.923862
35, -1.480039
46, -0.612288
45, -0.798251
47, -0.420640
48, -0.205822
39, 0.005047
2, 0.435226
1, 0.220790
3, 0.623692
0, 0.009500
6, 1.142803
5, 0.991643
5, 0.754266
7, 1.290397
8, 1.413857
13, 1.644036
16, 1.468129
17, 1.356901
10, 1.582506
15, 1.550982
-1, 1.514236
18, 1.220989
15, 1.547559
11, 1.635826
12, 1.655636
9, 1.070886
20, 0.908330
22, 0.529975
21, 0.724648
23, 0.334055
25, 0.114972
25, -0.093949
26, -0.311043
27, -0.506743
19, -0.885533
28, -0.701609
35, -1.470472
32, -1.335210
35, -1.589757
33, -1.442252
37, -1.636898
31, -1.199132
36, -1.628265
30, -1.048366
29, -1.564752
38, -1.617482
40, -1.497099
41, -1.397180
42, -1.273999
43, -1.124852
45, -0.914390
47, -0.420193
46, -0.612159
48, -0.205822
39, 0.005047
45, -0.795371
0, 0.009500
2, 0.434690
1, 0.220943
3, 0.621067
6, 1.140246
10, 1.580857
11, 1.635477
12, 1.654919
15, 1.541331
15, 1.544986
13, 1.641398
5, 0.990536
8, 1.412563
-1, 1.513408
17, 1.355442
7, 1.288546
16, 1.467059
5, 0.744549
18, 1.217468
9, 1.070675
20, 0.907716
22, 0.529921
21, 0.724146
25, 0.113711
23, 0.333341
35, -1.460821
40, -1.496285
26, -0.310465
31, -1.195498
33, -1.439500
25, -0.093949
30, -1.048219
29, -1.563097
42, -1.272019
45, -0.904729
36, -1.627374
41, -1.395886
38, -1.617161
27, -0.506689
19, -0.884905
35, -1.586915
28, -0.701102
32, -1.333631
37, -1.636235
43, -1.121297
46, -0.612026
45, -0.791322
47, -0.419568
48, -0.205822
39, 0.005047
0, 0.009500
1, 0.221112
2, 0.433991
3, 0.617694
5, 0.734828
5, 0.989419
7, 1.286613
6, 1.137669
8, 1.411240
-1, 1.512539
10, 1.579189
11, 1.635113
12, 1.654219
15, 1.531666
16, 1.465887
18, 1.214486
17, 1.353867
13, 1.638539
22, 0.529878
23, 0.332504
26, -0.309767
28, -0.700582
19, -0.884258
15, 1.542190
9, 1.070517
20, 0.907083
25, 0.111877
21, 0.723632
30, -1.048156
25, -0.093949
27, -0.506648
32, -1.331885
31, -1.192417
33, -1.436627
35, -1.583691
36, -1.626450
35, -1.451155
37, -1.635920
38, -1.616329
29, -1.561423
40, -1.495430
41, -1.394562
42, -1.269975
43, -1.117634
47, -0.418824
46, -0.611707
48, -0.205822
45, -0.786760
39, 0.005047
45, -0.895050
1, 0.221293
0, 0.009500
2, 0.433131
3, 0.613835
5, 0.988305
11, 1.634239
10, 1.577506
15, 1.521988
8, 1.409861
12, 1.653888
5, 0.725119
13, 1.635182
6, 1.135614
-1, 1.511643
7, 1.284608
15, 1.539312
17, 1.352206
18, 1.212406
9, 1.069751
20, 0.906434
21, 0.723112
22, 0.529834
16, 1.464653
26, -0.308978
27, -0.506610
25, -0.093949
30, -1.047468
28, -0.700056
31, -1.190275
35, -1.580076
35, -1.441478
36, -1.625501
23, 0.331575
38, -1.615489
37, -1.635603
25, 0.109908
40, -1.494548
41, -1.393177
29, -1.559733
42, -1.267868
43, -1.114415
19, -0.883595
45, -0.885360
45, -0.781746
47, -0.417989
46, -0.611287
33, -1.433345
48, -0.205822
32, -1.329955
39, 0.005047
1, 0.221482
0, 0.009500
3, 0.609027
2, 0.432125
5, 0.715487
5, 0.987203
6, 1.134372
15, 1.536383
22, 0.529735
26, -0.308130
32, -1.327923
-1, 1.510693
12, 1.653557
17, 1.350389
18, 1.210829
20, 0.905770
27, -0.506562
10, 1.575813
11, 1.633356
15, 1.512304
25, 0.107862
7, 1.282505
23, 0.330587
25, -0.090705
19, -0.882917
9, 1.068093
31, -1.188648
8, 1.408460
28, -0.699531
30, -1.045864
13, 1.631520
21, 0.722592
16, 1.463376
35, -1.431794
33, -1.429908
35, -1.576062
45, -0.776376
46, -0.610786
39, 0.005047
37, -1.634947
38, -1.614923
29, -1.558323
40, -1.493142
41, -1.391757
