ID, Distance
2,0.427854
1,0.220407
3,0.628438
5,0.818867
5,0.996018
8,1.420109
-1,1.517950
7,1.299125
6,1.156984
12,1.658617
11,1.638190
13,1.651989
15,1.618414
10,1.591043
15,1.558443
16,1.473061
17,1.363667
18,1.232058
9,1.080391
20,0.911155
23,0.326963
22,0.531325
25,0.117392
25,-0.093949
26,-0.303592
27,-0.508100
19,-0.888423
30,-1.058000
21,0.727127
31,-1.210063
32,-1.342119
35,-1.537903
33,-1.451999
36,-1.632558
37,-1.639757
29,-1.573307
38,-1.619897
40,-1.500748
41,-1.403413
42,-1.282898
43,-1.141180
46,-0.613563
45,-0.980584
45,-0.803744
47,-0.413160
48,-0.205822
39,0.005047
28,-0.704115
35,-1.598420
0,0.009500
1,0.218951
2,0.428150
3,0.624160
5,0.813316
5,0.989332
7,1.291596
6,1.149455
8,1.412579
10,1.583514
-1,1.510420
11,1.630661
12,1.651088
15,1.610884
13,1.644459
15,1.550914
16,1.465532
17,1.356138
18,1.225557
20,0.905001
9,1.072862
22,0.527705
21,0.722187
25,0.116773
23,0.328071
25,-0.093457
26,-0.304856
27,-0.504635
28,-0.699333
19,-0.882427
30,-1.050489
31,-1.203731
32,-1.334608
33,-1.444488
35,-1.530392
35,-1.590909
36,-1.625047
37,-1.632246
38,-1.612386
29,-1.565796
40,-1.493237
41,-1.395902
42,-1.275387
43,-1.133669
45,-0.974019
45,-0.798305
46,-0.609390
47,-0.413534
48,-0.204462
39,0.005047
1,0.219712
0,0.009500
2,0.428848
3,0.615862
5,0.802550
5,0.976580
6,1.138670
7,1.280811
8,1.401794
-1,1.499635
10,1.572729
11,1.619876
12,1.640303
13,1.633674
15,1.600099
15,1.540129
16,1.454746
17,1.345353
18,1.213125
9,1.062077
20,0.893162
21,0.712606
22,0.520681
23,0.326656
25,0.118820
25,-0.095763
27,-0.497902
26,-0.303722
28,-0.690035
30,-1.039689
19,-0.870829
31,-1.191554
32,-1.323808
33,-1.433689
35,-1.519593
35,-1.580110
36,-1.614248
37,-1.621446
38,-1.601587
40,-1.482438
29,-1.554996
41,-1.385103
42,-1.264587
43,-1.122869
45,-0.961444
45,-0.787727
46,-0.601278
47,-0.411026
48,-0.205390
39,0.005047
2,0.426192
1,0.219170
0,0.009500
3,0.606538
5,0.792365
6,1.127889
5,0.968513
-1,1.488854
8,1.391013
7,1.270030
12,1.629522
10,1.561948
11,1.609095
15,1.529348
13,1.622893
16,1.443965
17,1.334572
9,1.051295
18,1.204892
20,0.884072
15,1.589318
21,0.702820
23,0.321974
25,-0.096938
25,0.119668
28,-0.680366
19,-0.861647
27,-0.490619
31,-1.183182
32,-1.313023
22,0.513073
33,-1.422904
35,-1.508808
35,-1.569325
36,-1.603463
37,-1.610661
38,-1.590802
29,-1.544211
40,-1.471653
41,-1.374318
42,-1.253803
45,-0.953277
26,-0.299318
45,-0.777615
47,-0.405524
30,-1.028904
43,-1.112085
39,0.005047
46,-0.592173
48,-0.205043
1,0.216574
0,0.009500
2,0.420360
3,0.596883
5,0.782915
5,0.958077
7,1.260416
8,1.381399
10,1.552334
-1,1.479240
12,1.619907
11,1.599481
13,1.613279
15,1.579704
6,1.118275
16,1.434351
15,1.519734
17,1.324958
18,1.194534
9,1.041681
21,0.693035
20,0.874411
22,0.504134
25,0.118720
25,-0.096374
26,-0.295744
27,-0.482063
19,-0.851909
28,-0.670675
30,-1.019290
32,-1.303409
35,-1.499194
35,-1.559711
23,0.317978
37,-1.601047
36,-1.593849
38,-1.581188
29,-1.534597
41,-1.364704
40,-1.462039
42,-1.244189
43,-1.102470
45,-0.768120
45,-0.942886
31,-1.172889
46,-0.582519
47,-0.399583
33,-1.413290
48,-0.202579
39,0.005047
0,0.009500
1,0.214059
2,0.413861
3,0.587209
5,0.948587
-1,1.469654
5,0.773505
6,1.108689
8,1.371813
10,1.542748
13,1.603693
11,1.589895
12,1.610322
15,1.570118
7,1.250830
16,1.424765
15,1.510148
18,1.184965
17,1.315372
21,0.683419
25,0.117870
22,0.494470
25,-0.095941
27,-0.472811
30,-1.009704
19,-0.842146
28,-0.660973
9,1.032095
20,0.864735
31,-1.163253
32,-1.293823
35,-1.489608
35,-1.550125
36,-1.584263
23,0.312835
26,-0.291028
29,-1.525011
38,-1.571602
40,-1.452453
41,-1.355118
43,-1.092884
42,-1.234603
45,-0.933349
47,-0.392459
45,-0.758660
48,-0.200144
33,-1.403704
39,0.005047
37,-1.591461
46,-0.572847
0,0.009500
2,0.405885
3,0.577524
1,0.209540
5,0.763961
5,0.939158
7,1.241261
8,1.362244
6,1.099120
-1,1.460085
13,1.594124
11,1.580326
10,1.533179
15,1.500579
16,1.415197
17,1.305803
18,1.175435
12,1.600753
15,1.560549
9,1.022527
21,0.673829
20,0.855050
22,0.484769
23,0.306438
25,-0.093710
27,-0.463184
28,-0.651271
19,-0.832384
32,-1.284254
31,-1.153639
33,-1.394135
35,-1.480039
36,-1.574694
35,-1.540556
37,-1.581892
38,-1.562033
26,-0.285100
41,-1.345549
40,-1.442884
45,-0.749101
42,-1.225034
43,-1.083316
30,-1.000135
