ID, Distance
1, 0.220407
2, 0.427854
3, 0.628438
5, 0.818867
6, 1.156984
5, 0.996018
7, 1.299125
8, 1.420109
-1, 1.517950
10, 1.591043
11, 1.638190
12, 1.658617
13, 1.651989
15, 1.618414
15, 1.558443
16, 1.473061
17, 1.363667
18, 1.232058
9, 1.080391
20, 0.911155
21, 0.727127
22, 0.531325
23, 0.326963
25, 0.117392
25, -0.093949
26, -0.303592
27, -0.508100
28, -0.704115
19, -0.888423
30, -1.058000
31, -1.210063
32, -1.342119
33, -1.451999
35, -1.537903
35, -1.598420
41, -1.403413
43, -1.141180
46, -0.613563
45, -0.980584
45, -0.803744
42, -1.282898
47, -0.413160
36, -1.632558
29, -1.573307
48, -0.205822
39, 0.005047
38, -1.619897
37, -1.639757
40, -1.500748
1, 0.220407
0, 0.009500
2, 0.431048
3, 0.628414
5, 0.995998
5, 0.813316
6, 1.156257
-1, 1.517914
7, 1.298767
10, 1.590631
8, 1.419854
11, 1.638182
12, 1.658426
13, 1.651796
15, 1.610884
16, 1.472852
15, 1.558029
18, 1.233679
9, 1.077568
27, -0.508079
21, 0.727101
20, 0.911130
22, 0.531305
23, 0.330213
25, 0.116773
26, -0.306848
17, 1.363322
25, -0.093949
28, -0.704089
19, -0.888397
30, -1.055175
31, -1.211695
32, -1.341772
35, -1.598399
33, -1.451789
36, -1.632365
37, -1.639565
38, -1.619890
29, -1.572895
40, -1.500714
41, -1.403160
42, -1.282495
43, -1.140444
45, -0.974019
45, -0.803718
46, -0.613539
47, -0.416355
48, -0.205822
39, 0.005047
35, -1.530392
0, 0.009500
2, 0.429042
5, 0.988869
5, 0.802551
1, 0.215022
6, 1.147697
10, 1.580939
8, 1.412289
-1, 1.510594
11, 1.630655
13, 1.642148
12, 1.648779
15, 1.548336
15, 1.600099
16, 1.463201
17, 1.353643
3, 0.621239
18, 1.228909
9, 1.067620
20, 0.909847
21, 0.725810
22, 0.530076
23, 0.331810
25, -0.094568
25, 0.115329
26, -0.309984
27, -0.508523
28, -0.704492
19, -0.888803
7, 1.290974
31, -1.206971
30, -1.045225
32, -1.332093
33, -1.442138
35, -1.519593
35, -1.588748
36, -1.622717
37, -1.629918
38, -1.612382
29, -1.563203
40, -1.492038
41, -1.394236
42, -1.273312
43, -1.130673
45, -0.795147
47, -0.414802
46, -0.605000
48, -0.199378
39, 0.005047
45, -0.961444
1, 0.211143
2, 0.422419
0, 0.009500
3, 0.613034
5, 0.792366
6, 1.137954
7, 1.281286
5, 0.979385
8, 1.402620
10, 1.571202
-1, 1.500908
11, 1.619868
12, 1.639093
13, 1.632461
15, 1.538599
15, 1.589318
16, 1.453511
17, 1.343921
18, 1.216697
9, 1.057571
22, 0.524291
20, 0.901155
21, 0.718570
23, 0.328916
25, 0.117104
25, -0.092515
26, -0.310910
27, -0.507424
28, -0.702145
19, -0.885333
30, -1.035174
31, -1.194765
32, -1.322371
35, -1.508808
33, -1.432447
35, -1.579057
37, -1.620231
36, -1.613030
38, -1.601581
40, -1.482345
41, -1.384559
42, -1.263611
43, -1.120839
45, -0.785470
47, -0.405344
45, -0.953277
46, -0.595329
29, -1.553465
39, 0.005047
48, -0.192619
1, 0.206503
0, 0.009500
2, 0.412711
3, 0.603376
5, 0.782919
7, 1.271570
5, 0.969722
6, 1.128170
8, 1.392926
-1, 1.491192
10, 1.561442
11, 1.609094
12, 1.629389
13, 1.622757
15, 1.579704
15, 1.528838
16, 1.443803
17, 1.334179
18, 1.207387
9, 1.047717
20, 0.891490
21, 0.709150
22, 0.516904
23, 0.324072
25, 0.117890
25, -0.091721
26, -0.312456
27, -0.504560
28, -0.696917
19, -0.877909
30, -1.025320
31, -1.185451
32, -1.312627
33, -1.422738
35, -1.499194
35, -1.569349
36, -1.603326
37, -1.610527
38, -1.590803
29, -1.543705
40, -1.472624
41, -1.374859
43, -1.110982
42, -1.253880
45, -0.775769
45, -0.942886
46, -0.585634
47, -0.395217
48, -0.182552
39, 0.005047
0, 0.009500
3, 0.593696
1, 0.198817
2, 0.403092
5, 0.960039
5, 0.773511
12, 1.619680
-1, 1.481460
6, 1.118372
15, 1.570118
16, 1.434089
10, 1.551681
8, 1.383216
13, 1.613047
7, 1.261839
15, 1.519077
11, 1.599454
18, 1.197446
9, 1.038101
17, 1.324433
20, 0.881805
21, 0.699488
22, 0.507537
23, 0.317545
26, -0.312107
35, -1.489608
25, -0.092685
19, -0.870097
30, -1.015704
32, -1.302882
33, -1.413024
37, -1.600817
28, -0.691551
25, 0.116956
31, -1.175507
27, -0.501756
38, -1.581164
29, -1.533945
35, -1.559635
40, -1.462890
41, -1.365146
42, -1.244136
43, -1.101254
45, -0.933349
45, -0.766053
46, -0.575925
47, -0.384951
48, -0.173316
39, 0.005047
36, -1.593615
0, 0.009500
1, 0.189698
2, 0.393496
6, 1.108668
5, 0.950345
3, 0.584002
5, 0.763967
8, 1.373505
7, 1.252111
-1, 1.471731
10, 1.542050
11, 1.589834
12, 1.609978
15, 1.560549
15, 1.509447
16, 1.424385
17, 1.314752
20, 0.872106
18, 1.187869
13, 1.603345
9, 1.028505
21, 0.689807
22, 0.497881
23, 0.309932
25, -0.093469
25, 0.116230
26, -0.311309
27, -0.498951
