ID, Distance
2, 1.607033
3, 1.540437
4, 1.484810
5, 1.437177
7, 1.368047
6, 1.398928
9, 1.353625
8, 1.352931
10, 1.360788
12, 1.413370
11, 1.382825
13, 1.460661
15, 1.573220
14, 1.516059
16, 1.647862
17, 1.723603
19, 1.871224
20, 1.950340
23, 2.130172
25, 2.192995
24, 2.167063
26, 2.202567
18, 1.793232
21, 2.012778
22, 2.075264
29, 2.147841
28, 2.184414
27, 2.202674
30, 2.103390
31, 2.048529
32, 1.985275
34, 1.836563
33, 1.915968
1, 1.674759
0, 1.751206
2, 1.601281
3, 1.535160
5, 1.432678
4, 1.479946
7, 1.364107
17, 1.717186
6, 1.394733
13, 1.455979
10, 1.356909
11, 1.378762
16, 1.641828
9, 1.349807
8, 1.349119
12, 1.409059
15, 1.567707
18, 1.786724
14, 1.510960
19, 1.864626
21, 2.006046
22, 2.068482
20, 1.943663
23, 2.123350
24, 2.160216
25, 2.186131
26, 2.195697
27, 2.195804
28, 2.177556
29, 2.141007
31, 2.041767
32, 1.978567
30, 2.096587
33, 1.909324
34, 1.830003
1, 1.662972
0, 1.741963
2, 1.590059
3, 1.524528
5, 1.423084
6, 1.385587
9, 1.341213
4, 1.469825
8, 1.340533
10, 1.348226
11, 1.369809
13, 1.446118
16, 1.630254
14, 1.500550
12, 1.399742
17, 1.708010
21, 1.996413
20, 1.934110
18, 1.777415
7, 1.355334
23, 2.113586
19, 1.855187
22, 2.058776
15, 1.556783
24, 2.150415
25, 2.176306
26, 2.185863
27, 2.185970
28, 2.167739
29, 2.131225
30, 2.086851
31, 2.032092
32, 1.968967
33, 1.899819
34, 1.820619
1, 1.656717
3, 1.517898
2, 1.583602
0, 1.732741
4, 1.463062
5, 1.416290
7, 1.348513
8, 1.333708
17, 1.698856
20, 1.924574
11, 1.362993
10, 1.341403
15, 1.550236
6, 1.378777
9, 1.334388
13, 1.439333
14, 1.493861
16, 1.623919
18, 1.768126
12, 1.392938
21, 1.986795
23, 2.103836
19, 1.845767
22, 2.049085
24, 2.140629
26, 2.176043
27, 2.176149
28, 2.157936
29, 2.121457
30, 2.077129
31, 2.022431
32, 1.959385
33, 1.890331
34, 1.811255
25, 2.166495
1, 1.649096
2, 1.575197
0, 1.724532
3, 1.509592
4, 1.454576
6, 1.370321
5, 1.407824
14, 1.485279
12, 1.384477
15, 1.541879
13, 1.430865
9, 1.325952
11, 1.354543
8, 1.325273
16, 1.616289
7, 1.340070
17, 1.690709
21, 1.978229
10, 1.332963
20, 1.916081
22, 2.040452
23, 2.095150
24, 2.131909
26, 2.167293
25, 2.157753
27, 2.167400
28, 2.149201
19, 1.837379
29, 2.112755
30, 2.068468
31, 2.013826
18, 1.759857
32, 1.950850
33, 1.881882
34, 1.802918
2, 1.567293
3, 1.501655
0, 1.716363
1, 1.640024
4, 1.446767
6, 1.362552
20, 1.907623
7, 1.332325
11, 1.346786
17, 1.682602
21, 1.969697
10, 1.325225
8, 1.317542
18, 1.751627
19, 1.829027
22, 2.031853
15, 1.533956
5, 1.400032
12, 1.376699
14, 1.477476
9, 1.318220
16, 1.607285
13, 1.423063
26, 2.158577
25, 2.149044
23, 2.086498
24, 2.123223
27, 2.158683
28, 2.140500
29, 2.104086
30, 2.059841
31, 2.005255
32, 1.942350
33, 1.873469
34, 1.794618
0, 1.708222
2, 1.559431
1, 1.632154
3, 1.493745
4, 1.438998
5, 1.392272
9, 1.310431
12, 1.368949
10, 1.317432
7, 1.324527
11, 1.339013
8, 1.309752
6, 1.354773
15, 1.526067
13, 1.415295
16, 1.599402
18, 1.743424
20, 1.899192
21, 1.961190
19, 1.820703
22, 2.023279
23, 2.077869
24, 2.114560
25, 2.140359
17, 1.674525
26, 2.149883
28, 2.131822
29, 2.095441
27, 2.149989
30, 2.051238
14, 1.469730
32, 1.933875
31, 1.996709
33, 1.865082
34, 1.786346
1, 1.624371
0, 1.700098
2, 1.551505
3, 1.485861
7, 1.316760
9, 1.302670
4, 1.431259
5, 1.384475
13, 1.407523
12, 1.361150
14, 1.461938
15, 1.518161
6, 1.346988
19, 1.812393
21, 1.952695
22, 2.014715
24, 2.105907
27, 2.141304
28, 2.123153
29, 2.086806
8, 1.301992
30, 2.042646
31, 1.988173
32, 1.925412
33, 1.856708
34, 1.778089
11, 1.331230
16, 1.591599
18, 1.735238
17, 1.666465
20, 1.890773
23, 2.069250
25, 2.131682
10, 1.309669
26, 2.141198
