ID, Distance
1, 0.133841
2, 0.193557
3, 0.250370
5, 0.303385
5, 0.351765
6, 0.394748
7, 0.431656
8, 0.461906
-1, 0.485023
10, 0.500640
11, 0.508512
12, 0.508515
13, 0.500648
15, 0.485037
15, 0.461926
16, 0.431681
17, 0.394778
18, 0.351799
9, 0.303423
20, 0.250411
21, 0.193600
22, 0.133886
23, 0.072211
25, 0.009546
25, -0.053119
26, -0.114796
27, -0.174514
28, -0.231330
19, -0.284348
30, -0.332732
31, -0.375719
32, -0.412631
33, -0.442887
35, -0.466008
35, -0.481631
36, -0.489509
37, -0.489518
38, -0.481657
29, -0.466051
40, -0.442946
41, -0.412706
42, -0.375807
43, -0.332833
45, -0.284460
45, -0.231452
46, -0.174643
47, -0.114931
48, -0.053257
39, 0.009407
2, 0.193325
1, 0.133674
3, 0.250102
0, 0.072442
6, 0.394543
5, 0.351510
8, 0.461904
5, 0.301029
10, 0.500640
13, 0.500648
-1, 0.483456
12, 0.508515
7, 0.431628
11, 0.508512
15, 0.480282
15, 0.461924
18, 0.351544
16, 0.431652
17, 0.394573
9, 0.303147
21, 0.193371
22, 0.133722
25, 0.009536
26, -0.114629
19, -0.284071
31, -0.375514
35, -0.481631
33, -0.442884
36, -0.489509
27, -0.174282
20, 0.250145
32, -0.412603
30, -0.332476
23, 0.072191
25, -0.053098
37, -0.489518
28, -0.231061
35, -0.461387
38, -0.481657
40, -0.442943
42, -0.375603
45, -0.282231
43, -0.332578
45, -0.231185
46, -0.174414
47, -0.114767
48, -0.053237
39, 0.009131
29, -0.464484
41, -0.412677
1, 0.130785
2, 0.190227
0, 0.071032
3, 0.246695
5, 0.348151
5, 0.296508
7, 0.428737
6, 0.391506
10, 0.497452
8, 0.459915
-1, 0.478046
11, 0.505324
12, 0.505327
15, 0.475087
15, 0.457154
16, 0.427230
17, 0.390005
18, 0.346859
9, 0.298417
13, 0.495856
22, 0.133258
20, 0.249437
23, 0.071869
25, 0.009510
25, -0.052934
28, -0.230509
31, -0.371107
32, -0.408343
30, -0.327950
33, -0.438249
35, -0.476970
27, -0.173816
35, -0.456411
26, -0.114306
36, -0.486449
19, -0.283498
37, -0.486458
38, -0.478597
21, 0.192751
29, -0.457703
40, -0.441077
41, -0.409943
42, -0.372725
43, -0.329393
45, -0.277951
45, -0.227955
46, -0.171482
48, -0.050654
39, 0.010399
47, -0.111994
0, 0.067842
1, 0.127129
2, 0.186129
3, 0.242146
5, 0.292088
5, 0.343640
12, 0.499135
6, 0.387478
-1, 0.472623
11, 0.499133
10, 0.491260
8, 0.454270
7, 0.424940
13, 0.486551
15, 0.447894
16, 0.421383
17, 0.383970
18, 0.340680
9, 0.292582
15, 0.469275
21, 0.191963
22, 0.132700
25, -0.052741
25, 0.009405
23, 0.071481
28, -0.229818
20, 0.248139
26, -0.113936
27, -0.173233
19, -0.282454
31, -0.365284
30, -0.322308
35, -0.450900
35, -0.467899
36, -0.480497
37, -0.480506
38, -0.470995
29, -0.452527
41, -0.406356
40, -0.435655
43, -0.325118
42, -0.368909
45, -0.273760
45, -0.223645
46, -0.167597
33, -0.429228
32, -0.402710
47, -0.108325
39, 0.013310
48, -0.047398
1, 0.122428
2, 0.180866
0, 0.064570
3, 0.236367
5, 0.337879
8, 0.447004
11, 0.491963
13, 0.477475
12, 0.491966
5, 0.287648
15, 0.461091
16, 0.413706
7, 0.419979
-1, 0.467119
6, 0.382264
15, 0.438883
10, 0.484091
17, 0.376115
18, 0.332706
9, 0.285382
20, 0.246265
22, 0.131974
21, 0.191024
23, 0.071056
25, 0.009219
26, -0.113506
25, -0.052531
27, -0.172616
30, -0.315295
31, -0.357732
19, -0.280972
32, -0.395317
38, -0.463247
29, -0.445828
40, -0.428674
28, -0.229040
35, -0.459090
41, -0.401671
43, -0.319667
45, -0.269552
33, -0.420488
45, -0.218175
35, -0.443044
46, -0.162587
36, -0.473611
47, -0.103616
48, -0.043167
39, 0.016289
37, -0.473620
42, -0.363977
0, 0.060451
1, 0.117435
2, 0.174938
3, 0.230024
5, 0.281868
15, 0.451117
8, 0.440126
7, 0.414335
11, 0.483843
-1, 0.458980
10, 0.475971
12, 0.483846
5, 0.331521
13, 0.468282
6, 0.376339
15, 0.429774
16, 0.404995
18, 0.323769
9, 0.277689
20, 0.243772
21, 0.189960
22, 0.131191
23, 0.070564
25, -0.052313
17, 0.367222
26, -0.113054
27, -0.171965
19, -0.279004
