ID, Distance
3, 0.250370
5, 0.351765
5, 0.303385
6, 0.394748
-1, 0.485023
11, 0.508512
8, 0.461906
7, 0.431656
10, 0.500640
12, 0.508515
15, 0.485037
15, 0.461926
17, 0.394778
13, 0.500648
16, 0.431681
9, 0.303423
21, 0.193600
28, -0.231330
33, -0.442887
37, -0.489518
45, -0.231452
46, -0.174643
48, -0.053257
47, -0.114931
18, 0.351799
22, 0.133886
23, 0.072211
25, -0.053119
26, -0.114796
27, -0.174514
19, -0.284348
31, -0.375719
30, -0.332732
32, -0.412631
35, -0.466008
36, -0.489509
20, 0.250411
25, 0.009546
35, -0.481631
38, -0.481657
40, -0.442946
41, -0.412706
42, -0.375807
43, -0.332833
45, -0.284460
29, -0.466051
39, 0.009407
0, 0.072145
1, 0.132728
2, 0.191975
3, 0.248372
15, 0.480282
12, 0.505167
13, 0.497353
5, 0.349117
11, 0.505165
6, 0.391879
5, 0.301029
10, 0.497344
8, 0.458853
7, 0.428647
-1, 0.480269
17, 0.391908
18, 0.349151
16, 0.428670
9, 0.301067
20, 0.248415
15, 0.458870
23, 0.071740
30, -0.330210
32, -0.409749
35, -0.461387
36, -0.486290
21, 0.192021
25, 0.009536
25, -0.052749
26, -0.114007
28, -0.229457
33, -0.439960
38, -0.478490
27, -0.173058
31, -0.372977
19, -0.282118
22, 0.132776
35, -0.478464
43, -0.330311
42, -0.373065
41, -0.409823
45, -0.282231
45, -0.229581
46, -0.173190
47, -0.114144
48, -0.052889
39, 0.009080
37, -0.486299
29, -0.461428
40, -0.440017
0, 0.071903
1, 0.130579
3, 0.244492
5, 0.296453
2, 0.188906
5, 0.343973
-1, 0.471035
7, 0.422803
10, 0.490943
6, 0.386307
11, 0.498663
12, 0.498666
13, 0.490951
15, 0.471046
17, 0.386335
16, 0.422823
18, 0.344008
9, 0.296494
20, 0.244539
22, 0.130626
21, 0.188958
23, 0.070620
25, 0.009507
26, -0.112144
25, -0.051876
27, -0.170233
28, -0.225819
19, -0.277783
30, -0.325306
31, -0.367645
32, -0.404145
33, -0.434273
35, -0.452390
35, -0.472302
36, -0.480027
37, -0.480036
29, -0.452426
40, -0.434326
41, -0.404216
38, -0.472327
43, -0.325408
45, -0.225946
42, -0.367732
45, -0.277898
46, -0.170370
47, -0.112287
39, 0.008314
48, -0.052075
8, 0.452926
15, 0.452938
1, 0.128390
3, 0.240235
2, 0.185553
0, 0.071575
5, 0.291418
5, 0.338301
13, 0.481468
15, 0.444716
-1, 0.463808
15, 0.463815
10, 0.481462
7, 0.416062
12, 0.491139
11, 0.491136
6, 0.380153
8, 0.444707
16, 0.416080
17, 0.380180
18, 0.338337
9, 0.291462
20, 0.240286
21, 0.185610
25, -0.050773
23, 0.069230
32, -0.397690
33, -0.426329
38, -0.463126
35, -0.463104
28, -0.221832
40, -0.426378
26, -0.109834
37, -0.472792
25, 0.009377
29, -0.445470
35, -0.445438
27, -0.167176
30, -0.319905
31, -0.361761
22, 0.128404
19, -0.273019
42, -0.361847
41, -0.397758
36, -0.472783
45, -0.273136
45, -0.221963
46, -0.167319
47, -0.109992
48, -0.051134
39, 0.007360
43, -0.320008
1, 0.126192
2, 0.181615
0, 0.071199
3, 0.235186
5, 0.285430
5, 0.331540
6, 0.372793
11, 0.482622
7, 0.408440
8, 0.434451
-1, 0.455859
10, 0.472015
12, 0.482625
15, 0.455864
16, 0.408455
17, 0.372819
15, 0.434458
18, 0.331577
9, 0.285477
33, -0.416331
30, -0.313469
22, 0.125610
25, 0.009139
27, -0.163561
31, -0.354726
35, -0.437802
37, -0.464597
25, -0.049556
20, 0.235242
38, -0.454184
21, 0.181667
35, -0.454165
26, -0.107336
32, -0.390385
23, 0.067740
28, -0.217113
19, -0.267356
13, 0.472020
36, -0.464588
29, -0.437831
40, -0.416378
41, -0.390450
42, -0.354811
45, -0.217248
48, -0.050167
39, 0.006327
47, -0.107530
45, -0.267476
46, -0.163710
43, -0.313572
2, 0.177405
0, 0.070721
1, 0.123640
3, 0.229710
5, 0.278928
5, 0.324191
13, 0.462553
11, 0.473254
12, 0.473257
10, 0.462549
7, 0.400049
6, 0.364787
8, 0.424511
-1, 0.445335
15, 0.445339
16, 0.400059
15, 0.424517
17, 0.364812
18, 0.324228
9, 0.278977
20, 0.229769
21, 0.177383
28, -0.211995
23, 0.066132
31, -0.347075
26, -0.104665
30, -0.306474
32, -0.382342
36, -0.455571
22, 0.122592
25, -0.048260
19, -0.261208
33, -0.406269
27, -0.159617
35, -0.427565
25, 0.008867
35, -0.444895
38, -0.444914
29, -0.427592
40, -0.406313
41, -0.382405
42, -0.347158
43, -0.306577
45, -0.261330
45, -0.212134
46, -0.159776
47, -0.104926
39, 0.005253
48, -0.049186
37, -0.455580
2, 0.173064
1, 0.121057
3, 0.224002
0, 0.070179
5, 0.272129
5, 0.316496
17, 0.356418
6, 0.356396
11, 0.463602
15, 0.414957
8, 0.414949
-1, 0.435863
7, 0.391363
13, 0.453110
12, 0.463605
18, 0.316534
9, 0.272181
10, 0.453107
16, 0.391369
15, 0.435867
20, 0.224056
21, 0.172912
23, 0.064457
22, 0.119449
25, 0.008577
25, -0.046939
26, -0.101910
28, -0.206654
35, -0.417974
27, -0.155490
37, -0.446231
30, -0.299152
38, -0.435140
35, -0.435121
36, -0.446223
32, -0.374021
31, -0.339055
33, -0.396641
40, -0.396684
29, -0.418002
41, -0.374081
42, -0.339137
43, -0.299255
19, -0.254783
45, -0.254907
45, -0.206797
46, -0.155665
47, -0.102278
48, -0.048211
39, 0.004141
0, 0.069596
3, 0.218160
5, 0.265145
2, 0.168674
1, 0.118454
6, 0.347752
7, 0.382142
15, 0.426462
8, 0.405414
10, 0.443454
12, 0.453938
5, 0.308578
13, 0.443458
11, 0.453935
-1, 0.426457
17, 0.347773
15, 0.405423
9, 0.265199
21, 0.168323
20, 0.218194
23, 0.062746
22, 0.116240
16, 0.382144
26, -0.099105
25, -0.045601
27, -0.151292
28, -0.201175
19, -0.248185
32, -0.365203
35, -0.408418
33, -0.387036
38, -0.425339
29, -0.408447
36, -0.436494
35, -0.425319
37, -0.436501
41, -0.365260
40, -0.387080
42, -0.330877
43, -0.291722
45, -0.248311
45, -0.201324
25, 0.008294
46, -0.151492
47, -0.099609
48, -0.047415
39, 0.003004
30, -0.291619
18, 0.308616
31, -0.330797
1, 0.115838
2, 0.164269
0, 0.068929
3, 0.212287
5, 0.258089
11, 0.444257
13, 0.433792
15, 0.417074
15, 0.395894
5, 0.300561
6, 0.338986
-1, 0.417069
10, 0.433786
12, 0.444260
7, 0.372804
8, 0.395883
16, 0.372802
17, 0.339004
18, 0.300599
9, 0.258142
21, 0.163705
22, 0.113012
41, -0.356344
31, -0.322423
25, -0.044253
28, -0.195650
