ID, Distance
2, 0.193557
3, 0.250370
1, 0.133841
5, 0.303385
5, 0.351765
6, 0.394748
7, 0.431656
-1, 0.485023
8, 0.461906
11, 0.508512
10, 0.500640
12, 0.508515
13, 0.500648
15, 0.485037
16, 0.431681
17, 0.394778
18, 0.351799
9, 0.303423
21, 0.193600
20, 0.250411
15, 0.461926
23, 0.072211
22, 0.133886
25, -0.053119
25, 0.009546
26, -0.114796
37, -0.489518
29, -0.466051
28, -0.231330
19, -0.284348
32, -0.412631
40, -0.442946
27, -0.174514
30, -0.332732
35, -0.466008
35, -0.481631
33, -0.442887
38, -0.481657
31, -0.375719
36, -0.489509
41, -0.412706
43, -0.332833
45, -0.231452
46, -0.174643
45, -0.284460
48, -0.053257
42, -0.375807
39, 0.009407
47, -0.114931
1, 0.133674
2, 0.193325
3, 0.250102
0, 0.072442
5, 0.301029
5, 0.351510
8, 0.461904
7, 0.431628
-1, 0.483456
11, 0.508512
6, 0.394543
12, 0.508515
13, 0.500648
10, 0.500640
15, 0.480282
15, 0.461924
16, 0.431652
18, 0.351544
17, 0.394573
20, 0.250145
22, 0.133722
21, 0.193371
37, -0.489518
47, -0.114767
26, -0.114629
28, -0.231061
31, -0.375514
19, -0.284071
35, -0.481631
41, -0.412677
42, -0.375603
45, -0.231185
39, 0.009131
23, 0.072191
9, 0.303147
32, -0.412603
35, -0.461387
43, -0.332578
46, -0.174414
30, -0.332476
36, -0.489509
38, -0.481657
45, -0.282231
48, -0.053237
25, 0.009536
33, -0.442884
29, -0.464484
25, -0.053098
27, -0.174282
40, -0.442943
0, 0.071032
2, 0.190227
3, 0.246695
1, 0.130785
5, 0.296508
5, 0.348151
15, 0.475087
10, 0.497452
11, 0.505324
15, 0.457154
6, 0.391506
-1, 0.478046
12, 0.505327
13, 0.495856
8, 0.459915
7, 0.428737
16, 0.427230
17, 0.390005
18, 0.346859
20, 0.249437
9, 0.298417
21, 0.192751
22, 0.133258
23, 0.071869
26, -0.114306
25, 0.009510
27, -0.173816
25, -0.052934
28, -0.230509
19, -0.283498
30, -0.327950
32, -0.408343
33, -0.438249
35, -0.476970
35, -0.456411
41, -0.409943
42, -0.372725
31, -0.371107
40, -0.441077
36, -0.486449
38, -0.478597
46, -0.171482
47, -0.111994
48, -0.050654
39, 0.010399
29, -0.457703
43, -0.329393
45, -0.277951
45, -0.227955
37, -0.486458
0, 0.067842
3, 0.242146
2, 0.186129
1, 0.127129
5, 0.292088
6, 0.387323
11, 0.499212
5, 0.343640
10, 0.491359
12, 0.499195
13, 0.486591
15, 0.447894
7, 0.424631
-1, 0.472392
15, 0.469275
8, 0.453806
16, 0.421779
18, 0.341868
17, 0.384762
9, 0.293724
20, 0.246140
21, 0.190363
23, 0.070684
22, 0.131927
25, 0.009405
26, -0.113936
25, -0.052741
28, -0.229818
27, -0.173233
19, -0.282454
30, -0.323945
31, -0.366699
32, -0.403899
33, -0.429334
45, -0.273760
35, -0.450900
29, -0.452527
40, -0.435655
41, -0.406356
42, -0.368909
45, -0.223645
47, -0.108325
