ID, Distance
2, 0.193557
3, 0.250370
5, 0.303385
5, 0.351765
6, 0.394748
7, 0.431656
11, 0.508512
8, 0.461906
-1, 0.485023
10, 0.500640
12, 0.508515
13, 0.500648
15, 0.485037
15, 0.461926
20, 0.250411
17, 0.394778
16, 0.431681
18, 0.351799
21, 0.193600
23, 0.072211
22, 0.133886
9, 0.303423
25, 0.009546
25, -0.053119
27, -0.174514
28, -0.231330
26, -0.114796
19, -0.284348
30, -0.332732
31, -0.375719
32, -0.412631
33, -0.442887
35, -0.466008
35, -0.481631
36, -0.489509
38, -0.481657
37, -0.489518
40, -0.442946
41, -0.412706
42, -0.375807
43, -0.332833
45, -0.231452
29, -0.466051
46, -0.174643
47, -0.114931
48, -0.053257
39, 0.009407
45, -0.284460
0, 0.072171
1, 0.133838
3, 0.250364
2, 0.193552
5, 0.301349
11, 0.508512
13, 0.500648
6, 0.394744
8, 0.461906
5, 0.351760
7, 0.431653
10, 0.500640
-1, 0.484996
15, 0.481688
12, 0.508515
15, 0.461926
17, 0.394773
9, 0.303417
20, 0.250405
21, 0.193595
22, 0.133882
23, 0.072209
16, 0.431678
25, 0.009536
25, -0.053117
18, 0.351794
27, -0.174509
28, -0.231324
26, -0.114793
31, -0.375714
19, -0.284342
37, -0.489518
36, -0.489509
38, -0.481657
29, -0.466025
35, -0.462788
35, -0.481631
33, -0.442886
41, -0.412703
43, -0.332827
40, -0.442946
45, -0.282549
45, -0.231446
32, -0.412628
47, -0.114927
46, -0.174638
48, -0.053255
39, 0.009401
30, -0.332726
42, -0.375803
1, 0.131811
0, 0.070224
3, 0.248304
2, 0.191515
5, 0.349703
6, 0.392711
5, 0.297397
15, 0.458743
7, 0.429635
13, 0.497460
18, 0.348560
20, 0.250379
10, 0.497452
12, 0.505327
8, 0.459909
16, 0.428467
11, 0.505324
17, 0.391548
-1, 0.482135
9, 0.300180
15, 0.475182
21, 0.193571
25, 0.009507
23, 0.072193
25, -0.053122
26, -0.114793
27, -0.174506
28, -0.231319
19, -0.284336
30, -0.329621
32, -0.409546
22, 0.133862
33, -0.439831
31, -0.372617
35, -0.478571
35, -0.456522
36, -0.486449
38, -0.478597
29, -0.461796
40, -0.441073
41, -0.410809
42, -0.373896
43, -0.330897
45, -0.278837
45, -0.229512
46, -0.172727
47, -0.113027
48, -0.051369
39, 0.011221
37, -0.486458
2, 0.187558
1, 0.127875
0, 0.066442
3, 0.244300
5, 0.293059
5, 0.345706
17, 0.385389
9, 0.295755
21, 0.191105
8, 0.455833
-1, 0.477744
11, 0.499258
20, 0.247436
6, 0.388742
12, 0.499235
16, 0.422282
15, 0.452531
18, 0.342437
7, 0.425667
10, 0.491407
15, 0.467844
13, 0.491313
22, 0.131904
23, 0.071296
25, -0.053138
25, 0.009400
26, -0.114799
27, -0.174503
28, -0.231312
19, -0.284324
30, -0.325721
31, -0.368402
32, -0.403708
35, -0.449477
37, -0.480505
42, -0.370153
40, -0.437383
43, -0.327116
38, -0.472644
36, -0.480496
29, -0.456201
45, -0.225751
45, -0.274769
