ID, Distance
1, 0.444695
2, 0.653700
3, 0.852546
5, 1.207429
5, 1.038098
6, 1.357869
7, 1.487046
-1, 1.673829
8, 1.592922
10, 1.728489
11, 1.756042
12, 1.756052
15, 1.673879
13, 1.728520
15, 1.592992
16, 1.487133
17, 1.357973
18, 1.207547
21, 0.653851
9, 1.038229
20, 0.852688
22, 0.444852
23, 0.228988
25, 0.009662
26, -0.425538
25, -0.209666
27, -0.634549
28, -0.833404
32, -1.467959
35, -1.654779
19, -1.018967
30, -1.188311
37, -1.737062
31, -1.338766
35, -1.709459
33, -1.573853
36, -1.737032
38, -1.709550
41, -1.468220
29, -1.654929
40, -1.574061
42, -1.339076
43, -1.188665
45, -1.019360
45, -0.833830
46, -0.635001
48, -0.210148
47, -0.426009
39, 0.009176
1, 0.444695
0, 0.228827
3, 0.852336
11, 1.756016
15, 1.666350
17, 1.359810
5, 1.030992
7, 1.486554
8, 1.592642
10, 1.728467
16, 1.486640
2, 0.657814
-1, 1.673377
12, 1.756026
6, 1.359708
5, 1.203842
13, 1.728498
15, 1.592711
20, 0.852481
21, 0.657965
9, 1.038034
22, 0.444852
23, 0.228988
25, 0.009651
25, -0.209666
26, -0.425538
19, -1.018768
30, -1.184728
28, -0.833194
31, -1.340606
32, -1.467467
33, -1.573573
35, -1.647268
35, -1.709437
36, -1.737006
38, -1.709528
37, -1.737036
29, -1.654477
40, -1.573780
41, -1.467728
42, -1.340914
43, -1.185085
45, -1.012398
45, -0.833623
46, -0.639122
47, -0.426009
39, 0.009176
48, -0.210148
18, 1.203963
27, -0.638668
2, 0.657279
1, 0.437856
0, 0.221988
3, 0.843098
5, 1.017519
6, 1.356057
5, 1.193791
7, 1.476845
8, 1.583226
11, 1.746355
13, 1.718847
15, 1.655565
17, 1.355602
16, 1.476931
-1, 1.663676
10, 1.718817
12, 1.746365
18, 1.193913
15, 1.583045
9, 1.028386
20, 0.851908
21, 0.660733
22, 0.444734
23, 0.228977
25, 0.009623
40, -1.564524
43, -1.175032
28, -0.832780
37, -1.727375
38, -1.699878
41, -1.458024
39, 0.015882
25, -0.209677
31, -1.336424
32, -1.457758
19, -1.018383
27, -0.641556
45, -0.999141
46, -0.638652
30, -1.174675
35, -1.636468
48, -0.203448
35, -1.699786
26, -0.425548
36, -1.727345
42, -1.337392
29, -1.644777
45, -0.824547
47, -0.419309
33, -1.563907
1, 0.430549
2, 0.646685
0, 0.214655
3, 0.833426
5, 1.183614
5, 1.009827
8, 1.573543
10, 1.709125
-1, 1.653929
6, 1.345758
7, 1.467090
11, 1.736652
12, 1.736662
13, 1.709156
15, 1.573338
15, 1.644784
16, 1.467176
18, 1.183737
9, 1.018698
17, 1.343978
21, 0.661358
22, 0.444563
20, 0.851308
23, 0.228906
25, -0.209748
25, 0.009512
27, -0.642401
30, -1.164497
19, -1.017797
28, -0.832356
31, -1.324782
32, -1.448002
33, -1.554200
35, -1.625683
36, -1.717642
37, -1.717672
29, -1.635030
38, -1.690187
40, -1.554841
41, -1.448274
42, -1.327324
45, -0.991323
43, -1.164854
45, -0.814877
46, -0.628061
26, -0.425620
47, -0.412202
48, -0.196315
39, 0.022917
35, -1.690095
0, 0.206895
1, 0.422832
2, 0.635824
3, 0.823734
5, 0.999743
5, 1.173710
6, 1.337356
12, 1.726940
8, 1.563836
11, 1.726930
10, 1.699417
-1, 1.644159
13, 1.699447
7, 1.457309
15, 1.635169
15, 1.563612
16, 1.457395
17, 1.333792
18, 1.173833
9, 1.008993
20, 0.850509
22, 0.444363
21, 0.662227
27, -0.643458
19, -1.017164
31, -1.314597
25, 0.009315
26, -0.425778
28, -0.832002
25, -0.209906
23, 0.228747
30, -1.154593
32, -1.438222
35, -1.616069
33, -1.544473
35, -1.680386
36, -1.707920
38, -1.680478
47, -0.404759
37, -1.707950
43, -1.154950
45, -0.805185
42, -1.318904
40, -1.545134
45, -0.981249
41, -1.438497
48, -0.188830
29, -1.625260
46, -0.617213
39, 0.030263
2, 0.625646
1, 0.413935
5, 0.990252
5, 1.164134
7, 1.447531
8, 1.554115
6, 1.327091
-1, 1.634389
0, 0.200484
3, 0.814028
10, 1.689702
11, 1.717204
12, 1.717214
13, 1.689733
15, 1.553881
15, 1.625584
16, 1.447616
17, 1.324611
18, 1.164257
9, 0.999283
20, 0.849430
21, 0.661488
22, 0.444227
23, 0.228567
25, 0.009086
25, -0.210087
26, -0.425958
27, -0.642895
28, -0.831847
19, -1.014874
30, -1.145017
31, -1.305414
32, -1.428443
33, -1.534743
35, -1.606483
35, -1.670671
36, -1.698194
37, -1.698224
38, -1.670763
29, -1.615490
40, -1.535415
41, -1.428720
42, -1.309157
43, -1.145374
45, -0.971707
45, -0.795480
46, -0.607044
47, -0.395924
48, -0.179983
39, 0.036205
0, 0.193371
1, 0.403905
2, 0.616264
3, 0.804322
5, 0.980797
5, 1.154582
6, 1.317536
8, 1.544398
11, 1.707523
7, 1.437912
-1, 1.624765
13, 1.680027
12, 1.707533
10, 1.679997
15, 1.616015
16, 1.437998
15, 1.544200
35, -1.596915
36, -1.688513
35, -1.660966
37, -1.688543
38, -1.661058
40, -1.525698
32, -1.418825
29, -1.605866
18, 1.154705
17, 1.314805
9, 0.989580
20, 0.848247
23, 0.228368
41, -1.419097
21, 0.661287
22, 0.444118
25, 0.008834
25, -0.210285
26, -0.426157
27, -0.642866
19, -1.011693
31, -1.295606
42, -1.299366
28, -0.831707
30, -1.135465
43, -1.135822
45, -0.962195
46, -0.597655
47, -0.385861
39, 0.042471
48, -0.169926
33, -1.525061
45, -0.785775
0, 0.186258
1, 0.394247
2, 0.606931
5, 1.145037
3, 0.794631
6, 1.308025
10, 1.670361
7, 1.428320
11, 1.697895
8, 1.534728
5, 0.971239
-1, 1.615165
12, 1.697905
13, 1.670391
15, 1.606448
15, 1.534577
16, 1.428406
18, 1.145160
9, 0.979918
22, 0.444071
23, 0.228157
21, 0.660026
25, 0.008574
25, -0.210497
26, -0.426369
27, -0.641773
28, -0.831571
19, -1.007492
30, -1.125920
31, -1.285766
32, -1.409233
33, -1.515438
35, -1.587347
36, -1.678885
35, -1.651330
37, -1.678916
38, -1.651422
29, -1.596266
40, -1.516027
41, -1.409499
42, -1.289562
43, -1.126277
45, -0.952685
45, -0.776084
46, -0.588315
47, -0.376201
48, -0.160264
39, 0.049052
17, 1.304968
20, 0.845721
2, 0.597280
1, 0.384571
0, 0.179271
3, 0.784996
5, 1.135387
5, 0.961560
15, 1.596797
11, 1.688287
8, 1.525110
6, 1.298529
10, 1.660747
-1, 1.605581
12, 1.688297
7, 1.418744
13, 1.660777
15, 1.524973
16, 1.418830
17, 1.295234
18, 1.135550
9, 0.970300
20, 0.842289
21, 0.658501
22, 0.444054
23, 0.227937
25, -0.210717
25, 0.008319
36, -1.669277
42, -1.279921
40, -1.506408
26, -0.426589
30, -1.116270
31, -1.276031
35, -1.641716
29, -1.586681
28, -0.831320
27, -0.640455
19, -1.002305
32, -1.399657
38, -1.641808
33, -1.505835
35, -1.577697
37, -1.669307
41, -1.399917
45, -0.943011
45, -0.766448
43, -1.116627
46, -0.578666
47, -0.366523
48, -0.150584
39, 0.055436
1, 0.374885
0, 0.172544
2, 0.587615
3, 0.775383
-1, 1.595999
8, 1.515512
5, 0.951866
5, 1.125723
6, 1.288879
7, 1.409169
10, 1.651148
11, 1.678689
12, 1.678700
13, 1.651178
15, 1.587131
15, 1.515380
17, 1.285622
16, 1.409255
18, 1.125869
9, 0.960701
20, 0.837877
21, 0.656758
23, 0.227714
22, 0.444068
25, 0.008081
25, -0.210940
26, -0.426812
28, -0.830809
27, -0.638995
19, -0.996422
30, -1.106606
31, -1.266421
32, -1.390082
33, -1.496241
35, -1.568031
35, -1.632117
36, -1.659679
37, -1.659710
38, -1.632209
29, -1.577099
40, -1.496809
41, -1.390337
