ID, Distance
1, 0.444695
2, 0.653700
3, 0.852546
5, 1.038098
5, 1.207429
6, 1.357869
7, 1.487046
8, 1.592922
-1, 1.673829
10, 1.728489
11, 1.756042
12, 1.756052
13, 1.728520
15, 1.673879
15, 1.592992
16, 1.487133
17, 1.357973
18, 1.207547
9, 1.038229
20, 0.852688
21, 0.653851
22, 0.444852
23, 0.228988
25, 0.009662
25, -0.209666
27, -0.634549
26, -0.425538
28, -0.833404
19, -1.018967
30, -1.188311
31, -1.338766
32, -1.467959
33, -1.573853
35, -1.654779
35, -1.709459
36, -1.737032
37, -1.737062
38, -1.709550
29, -1.654929
40, -1.574061
41, -1.468220
42, -1.339076
43, -1.188665
45, -1.019360
45, -0.833830
46, -0.635001
47, -0.426009
48, -0.210148
39, 0.009176
2, 0.653669
0, 0.227315
1, 0.441767
3, 0.846653
5, 1.030992
5, 1.199900
6, 1.350756
7, 1.479517
-1, 1.666300
13, 1.720991
16, 1.479604
9, 1.031126
12, 1.748523
11, 1.748513
10, 1.720960
15, 1.585462
17, 1.350857
18, 1.200018
20, 0.846797
15, 1.666350
8, 1.585393
22, 0.441923
23, 0.227475
21, 0.653819
25, 0.009651
26, -0.422738
25, -0.208280
27, -0.634539
28, -0.827648
19, -1.012003
33, -1.566342
30, -1.180800
31, -1.331795
32, -1.460448
35, -1.647268
36, -1.729521
45, -1.012398
45, -0.828074
48, -0.208760
29, -1.647418
42, -1.332101
46, -0.634991
47, -0.423206
39, 0.009166
35, -1.701948
37, -1.729551
38, -1.702039
43, -1.181154
41, -1.460709
40, -1.566550
0, 0.229217
1, 0.441036
2, 0.653306
3, 0.835262
5, 1.017519
5, 1.189115
6, 1.337269
7, 1.468732
8, 1.574608
-1, 1.655514
10, 1.710175
11, 1.737728
12, 1.737738
13, 1.710205
16, 1.468819
15, 1.574677
15, 1.655565
17, 1.337368
18, 1.189233
20, 0.835408
21, 0.653455
9, 1.017658
22, 0.441190
23, 0.229375
25, 0.009623
25, -0.210403
26, -0.422224
27, -0.634514
19, -0.998742
28, -0.816462
31, -1.318523
32, -1.449649
33, -1.555543
35, -1.636468
35, -1.691148
36, -1.718721
37, -1.718752
38, -1.691240
29, -1.636619
40, -1.555750
41, -1.449909
43, -1.170355
45, -0.999141
45, -0.816888
42, -1.318821
46, -0.634965
48, -0.210878
47, -0.422688
39, 0.009138
30, -1.170000
1, 0.438154
2, 0.652569
0, 0.235528
3, 0.825167
5, 1.009827
5, 1.178334
7, 1.457951
8, 1.563827
6, 1.329584
10, 1.699394
-1, 1.644733
12, 1.726957
11, 1.726946
13, 1.699424
15, 1.644784
15, 1.563896
16, 1.458038
25, 0.009512
31, -1.310713
21, 0.652717
18, 1.178452
22, 0.438308
25, -0.210903
28, -0.806417
32, -1.438864
20, 0.825314
9, 1.009963
27, -0.634065
19, -0.990926
17, 1.329685
35, -1.625683
26, -0.419605
23, 0.229624
33, -1.544758
30, -1.159216
35, -1.680364
36, -1.707936
37, -1.707967
41, -1.439125
40, -1.544965
29, -1.625834
43, -1.159570
38, -1.680455
46, -0.634510
45, -0.991323
42, -1.311015
45, -0.806843
48, -0.211373
47, -0.420064
39, 0.009035
0, 0.240606
1, 0.432087
2, 0.651442
3, 0.816467
5, 1.168720
6, 1.319499
8, 1.554213
7, 1.448337
-1, 1.635119
11, 1.717332
12, 1.717343
5, 0.999743
10, 1.689780
15, 1.635169
13, 1.689810
15, 1.554282
16, 1.448423
17, 1.319600
18, 1.168838
20, 0.816613
9, 0.999879
21, 0.651591
22, 0.432242
23, 0.227131
25, 0.009315
25, -0.208709
26, -0.413846
27, -0.633258
19, -0.980852
28, -0.797180
30, -1.149601
32, -1.429250
31, -1.300638
33, -1.535144
35, -1.616069
35, -1.670749
36, -1.698322
41, -1.429510
29, -1.616220
40, -1.535351
42, -1.300939
43, -1.149956
37, -1.698353
38, -1.670841
45, -0.981249
45, -0.797606
47, -0.414300
48, -0.209173
39, 0.008850
46, -0.633700
0, 0.246782
1, 0.424677
2, 0.649932
3, 0.806676
5, 0.990252
5, 1.159134
6, 1.310011
8, 1.544627
7, 1.438751
-1, 1.625533
10, 1.680194
11, 1.707746
12, 1.707757
13, 1.680224
15, 1.625584
15, 1.544696
16, 1.438838
17, 1.310112
18, 1.159252
9, 0.990387
21, 0.650080
20, 0.806821
22, 0.424832
23, 0.224809
25, 0.009086
25, -0.206709
26, -0.406786
27, -0.632090
28, -0.787512
19, -0.971310
30, -1.140015
31, -1.291099
32, -1.419664
33, -1.525558
35, -1.606483
35, -1.661164
36, -1.688736
37, -1.688767
38, -1.661255
29, -1.606634
40, -1.525765
41, -1.419924
42, -1.291402
43, -1.140370
45, -0.971707
45, -0.787938
46, -0.632529
47, -0.407235
48, -0.207168
39, 0.008634
0, 0.254124
3, 0.796831
2, 0.648088
1, 0.418039
5, 0.980797
5, 1.149565
13, 1.670655
7, 1.429182
10, 1.670625
-1, 1.615965
15, 1.616015
12, 1.698188
16, 1.429269
11, 1.698178
15, 1.535127
8, 1.535058
6, 1.300560
17, 1.300662
18, 1.149683
30, -1.130447
32, -1.410095
35, -1.596915
35, -1.651595
31, -1.281591
33, -1.515989
9, 0.980931
22, 0.417885
20, 0.796975
21, 0.648237
25, 0.008834
23, 0.219889
26, -0.400205
25, -0.202135
19, -0.961799
28, -0.777829
27, -0.630715
36, -1.679167
37, -1.679198
38, -1.651686
40, -1.516196
41, -1.410356
42, -1.281896
43, -1.130801
46, -0.631154
45, -0.778255
48, -0.202587
47, -0.400648
39, 0.008395
29, -1.597065
45, -0.962195
1, 0.411395
2, 0.646141
3, 0.786975
0, 0.261188
5, 0.971239
5, 1.139998
6, 1.291003
7, 1.419615
10, 1.661058
11, 1.688611
12, 1.688621
8, 1.525491
-1, 1.606398
13, 1.661088
15, 1.606448
15, 1.525560
16, 1.419702
17, 1.291105
18, 1.140116
9, 0.971373
20, 0.787118
21, 0.646297
22, 0.410553
25, 0.008574
23, 0.215537
25, -0.198162
26, -0.393247
28, -0.768140
27, -0.628965
19, -0.952290
30, -1.120880
31, -1.272085
32, -1.400528
33, -1.506422
48, -0.198608
37, -1.669631
36, -1.669600
40, -1.506629
42, -1.272392
46, -0.629408
38, -1.642119
43, -1.121234
45, -0.768566
39, 0.008147
45, -0.952685
35, -1.642028
29, -1.587498
47, -0.393686
41, -1.400789
35, -1.587347
1, 0.404619
0, 0.267950
2, 0.642611
3, 0.777357
5, 0.961560
11, 1.678960
5, 1.130347
6, 1.281323
12, 1.678970
-1, 1.596747
7, 1.409964
8, 1.515840
10, 1.651407
13, 1.651437
15, 1.596797
15, 1.515909
16, 1.410051
17, 1.281424
26, -0.385893
18, 1.130465
21, 0.642766
19, -0.942616
28, -0.758453
32, -1.390877
25, 0.008319
23, 0.211174
30, -1.111229
27, -0.625658
33, -1.496771
22, 0.402818
25, -0.194183
20, 0.777501
31, -1.262409
9, 0.961695
35, -1.577697
35, -1.632377
36, -1.659949
37, -1.659980
38, -1.632468
29, -1.577847
40, -1.496978
41, -1.391138
42, -1.262715
43, -1.111583
45, -0.943011
46, -0.626095
48, -0.194624
45, -0.758880
39, 0.007903
47, -0.386326
1, 0.399231
0, 0.273436
2, 0.638161
3, 0.767766
5, 0.951866
5, 1.120681
6, 1.271626
12, 1.669304
-1, 1.587081
8, 1.506175
15, 1.587131
13, 1.641772
15, 1.506244
7, 1.400298
10, 1.641741
11, 1.669294
16, 1.400385
17, 1.271727
18, 1.120799
9, 0.952001
20, 0.767911
21, 0.638317
23, 0.205931
22, 0.395041
31, -1.252711
25, 0.003866
27, -0.621429
33, -1.487106
25, -0.189323
19, -0.932920
28, -0.748777
36, -1.650284
32, -1.381211
30, -1.101563
26, -0.378500
35, -1.622711
37, -1.650314
38, -1.622802
29, -1.568181
40, -1.487313
41, -1.381472
42, -1.253015
