ID, Distance
, 1.592922
5, 1.038098
5, 1.207429
6, 1.357869
7, 1.487046
3, 0.852546
-1, 1.673829
10, 1.728489
11, 1.756042
12, 1.756052
13, 1.728520
15, 1.673879
15, 1.592992
16, 1.487133
17, 1.357973
18, 1.207547
9, 1.038229
20, 0.852688
21, 0.653851
22, 0.444852
23, 0.228988
25, 0.009662
25, -0.209666
26, -0.425538
27, -0.634549
28, -0.833404
19, -1.018967
30, -1.188311
31, -1.338766
32, -1.467959
33, -1.573853
35, -1.709459
35, -1.654779
36, -1.737032
29, -1.654929
38, -1.709550
37, -1.737062
40, -1.574061
41, -1.468220
42, -1.339076
43, -1.188665
45, -1.019360
45, -0.833830
46, -0.635001
47, -0.426009
48, -0.210148
39, 0.009176
1, 0.444695
0, 0.228827
2, 0.657814
5, 1.203842
3, 0.852336
6, 1.359708
7, 1.486554
5, 1.030992
-1, 1.673377
10, 1.728467
8, 1.592642
11, 1.756016
12, 1.756026
13, 1.728498
15, 1.592711
15, 1.666350
16, 1.486640
17, 1.359810
9, 1.038034
18, 1.203963
20, 0.852481
21, 0.657965
23, 0.228988
22, 0.444852
25, -0.209666
25, 0.009651
28, -0.833194
27, -0.638668
19, -1.018768
30, -1.184728
33, -1.573573
31, -1.340606
32, -1.467467
35, -1.647268
35, -1.709437
36, -1.737006
38, -1.709528
37, -1.737036
29, -1.654477
40, -1.573780
26, -0.425538
42, -1.340914
43, -1.185085
45, -0.833623
45, -1.012398
46, -0.639122
47, -0.426009
48, -0.210148
39, 0.009176
41, -1.467728
0, 0.221988
1, 0.437856
2, 0.657279
3, 0.843098
5, 1.017519
5, 1.193791
6, 1.356057
7, 1.476845
8, 1.583226
-1, 1.663676
10, 1.718817
11, 1.746355
13, 1.718847
12, 1.746365
15, 1.583045
17, 1.355602
15, 1.655565
18, 1.193913
16, 1.476931
20, 0.851908
9, 1.028386
22, 0.444841
21, 0.660733
23, 0.228977
25, -0.209677
25, 0.009623
33, -1.563907
35, -1.699786
28, -0.832780
32, -1.457758
19, -1.018383
31, -1.336424
30, -1.174675
35, -1.636468
38, -1.699878
36, -1.727345
26, -0.425548
27, -0.641556
37, -1.727375
29, -1.644777
40, -1.564524
41, -1.458024
43, -1.175032
42, -1.337392
45, -0.999141
45, -0.824547
46, -0.638652
47, -0.419309
39, 0.015882
48, -0.203448
1, 0.431057
2, 0.646820
0, 0.215184
3, 0.833426
5, 1.009827
-1, 1.653929
16, 1.467176
10, 1.709125
11, 1.736652
8, 1.573543
13, 1.709156
